abandon	v::离弃；放弃	with abandon::恣意地，放纵地¦abandon ship::弃船
squeeze	vt&vi::榨，挤	squeeze casting::模压铸造，压挤铸造¦squeeze out::挤出；榨出；排出¦credit squeeze::贷款紧缩，银根紧缩¦squeeze in::榨出，挤出；挤进去¦squeeze into::挤入…；硬塞进…¦put the squeeze on::对…施加压力¦tight squeeze::n. 处境困难；极度拥挤；狭道¦squeeze through::挤过；勉强通过¦liquidity squeeze::头寸紧张；流动性短缺¦squeeze head::压头；压板
stabilize	v::使稳定，使坚固，使安定	stabilize prices::稳定物价；平抑物价¦stabilize the market::稳定市场
stack	n::堆；大量；书库	a stack of::一堆；一摞¦protocol stack::协议栈；协定堆¦stack up::堆积；累计；加起来¦stack room::书库¦stack gas::烟道气，废气；烟囱废气¦call stack::调用栈¦stack up against::争胜负；较量¦stack overflow::栈溢出；堆叠溢位；堆栈上限溢位¦stack pointer::栈指针；栈指示器；堆栈指示字¦stack trace::堆叠追踪；堆栈踪迹¦chimney stack::总合烟囱，仅一通道之烟囱¦stack effect::烟囱效应¦stack frame::堆栈结构；栈框架¦flare stack::火把烟囱
stadium	n::露天运动场	olympic stadium::奥林匹克体育场¦emirates stadium::酋长球场；阿联酋航空球场¦indoor stadium::体育馆，室内运动场
staff	n::木棍；杆；工作人员	technical staff::技术人员¦teaching staff::教育工作者（总称）¦medical staff::医务人员¦staff member::职员¦professional staff::专门人员¦sales staff::销售人员¦nursing staff::护理人员¦administrative staff::管理人员；行政人员¦production staff::生产人员¦office staff::职员；办公室工作人员¦chief of staff::参谋长；司令；办公室主任¦general staff::n. 总参谋部¦staff management::员工管理；教职员管理；[经]参谋管理¦senior staff::高级职员；高级人员¦support staff::支持人员；支援幕僚；后勤人员¦marketing staff::市场专员；市场销售员¦staff development::职员培训；人员发展¦maintenance staff::维修人员¦workers and staff members::职工¦managerial staff::管理人员
stagger	v&n::摇晃；蹒跚	
stagnant	adj::不流动的；不变的，不景气的	stagnant water::积水；死水；滞水；停滞水；静水
stain	n&v::染料，着色剂，污点，沾污处	stain resistance::抗着色污染；防沾污性¦oil stain::油渍；油斑；油性着色剂¦gram stain::革兰氏染色剂¦blue stain::[生物学]蓝着色；蓝变¦wood stain::木材着色剂¦blood stain::血痕¦black stain::黑色颜料
stake	n::木桩；赌注；利害关系	at stake::危如累卵；处于危险中；在紧要关头¦stake someone to something::为某人取得某物而提供金钱(或援助)，资助某人取得某物¦equity stake::股权¦go to the stake::◎(被绑在火刑柱上)受火刑¦have a stake in::与…利害攸关¦stake out::监视；立桩标出；派警察监视¦stake on::在...上打赌；把赌注押在...上面
stale	adj::食品不新鲜的；陈旧的	
stall	n::分隔栏；售货摊；前排座位	market stall::街市档位
stand	n&v::架；看台；站；立；处于；忍受	stand up::v. 站起来；坚持；竖立；站得住脚；拥护¦stand in::定位替身；代演员站位¦stand on::坚持；依靠；位于；拘泥于；[航]持续向同一方向航行¦stand or fall::好坏；成败¦stand for::代表；支持；象征；担任…的候选人¦stand out::突出；站出来；坚持到底；坚决反对¦stand by::支持；袖手旁观；准备；站在旁边¦can't stand::无法忍受¦stand at::达到；踌躇¦stand on one's dignity::保持自己的尊严；坚持受到应有的礼遇；拒绝做有失身份的事¦stand behind::后援，做后盾¦as it stands::按这种样子；以现状来说¦stand up for::支持，坚持；拥护¦stand still::站着不动；静止不动¦stand firm::挺立；站稳立场¦stand against::vt. 反对；抵抗¦stand guard::站岗¦stand in the way::阻碍¦make a stand::进行抵抗；停下¦stand back::退后；往后站；不介入
stroke	n::击；划；一笔；中风	one stroke::一行程；一次行程¦on the stroke::准时地¦long stroke::长冲程¦heat stroke::中暑¦lightning stroke::雷击¦at one stroke::一举；一笔；马上¦stroke unit::卒中单元；中风单元¦at a stroke::一下子¦vertical stroke::垂直行程¦two stroke::二冲程的¦brush stroke::笔触，绘画的技巧；画笔描边¦a stroke of luck::一次好运，幸运的机缘¦stroke play::比杆赛；划桨法；击球法¦stroke control::行程控制；冲程调节，行程调节¦stroke length::[化]行程长度¦breast stroke::n. 蛙泳¦stroke volume::心博量；冲程容积¦stroke order::笔划顺序¦short stroke::短行程，短气体活塞行程；短时雷击¦return stroke::回程；反冲程
structural	adj::结构的，构造的	structural adjustment::结构调整，薪级结构调整¦structural design::结构设计¦structural analysis::结构分析¦structural system::结构系统；构造/结构体系¦structural model::结构模型；几何相似模型¦structural feature::结构特征；构造形态¦structural damage::结构损伤¦structural steel::结构钢；钢架；结构用钢材¦structural change::结构变化；结构改变，构造转换¦structural equation::结构方程式¦structural parameter::结构参数¦structural form::构造形态¦structural frame::结构构架，构架¦structural engineering::结构工程；（桥梁等的）结构工程学；建筑工程¦structural strength::结构强度¦structural mechanics::结构力学¦structural stability::结构稳定性¦structural style::结构形式；构造型式¦structural geology::构造地质学¦structural equation model::结构方程模型
stubborn	adj::顽固的，坚定的	facts are stubborn things::事实是不容改变的东西
studio	n::工作室；摄影棚；播音室	film studio::电影制片厂¦photo studio::照相馆；摄像工作室¦recording studio::录音室；录音棚¦art studio::美术工作室，艺术工作室¦visual studio::可视化工作室¦tv studio::电视演播室¦television studio::电视演播室¦studio apartment::n. 一个房间的小公寓住宅¦photographic studio::摄影室
stuff	n::原料，材料；素质；东西¦v::把装满	and stuff::等等；诸如此类¦food stuff::粮食¦stuff with::用…把…堵住；用…装/填/塞¦old stuff::adj. 很普通的；不足为奇的¦small stuff::小事；小绳¦hot stuff::n. [俚]奇才；非凡的事物；黄色书籍或电影¦stuff up::填塞；堵住¦rough stuff::暴力行为；色情文学¦hard stuff::[俚]烈性酒¦on the stuff::[美国俚语]吸毒成瘾的¦garden stuff::n. 蔬菜类；水果类¦same old stuff::陈旧货色
stuffing	n::填料，填充物，填充剂	stuffing box::填料函
stumble	v::绊跌，绊倒；结结巴巴说话	stumble upon::偶然发现¦stumble on::无意中发现；偶然遇到，碰巧找到¦stumble over::给…绊倒；结结巴巴地说¦stumble across::偶然发现
stuntman	n::替身演员	
sturdy	adj::强健的，坚实的	
style	n::风格；文体；式样	in style::流行；时髦地¦life style::生活方式，生活习惯；格调¦new style::n. 新历¦unique style::独特的风格¦out of style::过时的¦artistic style::艺术风格¦architectural style::建筑风格¦style of work::工作作风¦european style::欧式期权；欧洲式¦learning style::学习方式，学习类型；学习风格¦hair style::n. 发型¦in the style of::风格（文体）¦literary style::文言体；文艺语体¦western style::西方风格的；西方式；欧美风格¦modern style::现代风格¦style of writing::文风；文笔¦leadership style::领导风格；领袖风格¦fashion style::时样，服装风格；流行款式¦structural style::结构形式；构造型式¦japanese style::日本式
subdue	v::使屈服、征服，克制；使柔和，使安静	
subject	n::国民；主题¦adj::隶属的，受支配的¦v::征服	on the subject of::涉及…时¦subject matter::主题；主旨¦on the subject::就某话题¦subject to change::弦外之音（专辑）¦special subject::特殊主体¦research subject::研究课题¦main subject::主体；主课¦subject area::主题区，主题范围；职务范围¦major subject::专业；主科¦subject to approval::需经批准；以确认为准¦basic subject::基础学科¦subject research::课题研究¦subject line::标题；主题行；主题栏；事由¦change the subject::改变话题¦civil subject::民事主体¦subject investigated::研究对象¦subject study::课题研究¦interdisciplinary subject::边缘学科¦subject of crime::[法]犯罪主体¦subject to tax::负缴税义务
subjective	adj::主观的	subjective initiative::主观能动性¦subjective judgement::n. 主观判断¦subjective value::主观价值¦subjective probability::主观概率；主观频率¦subjective assume::主观臆断¦subjective test::主观测验
submarine	adj::水下的¦n::潜水艇	submarine pipeline::海底管道；水下管道¦nuclear submarine::核潜艇¦submarine cable::海底电缆¦submarine structure::海底构造；潜艇结构¦submarine fan::海底扇；海底陆源沉积扇；海底扇形地¦submarine gate::潜入式浇口；潜伏浇口；下浇口¦submarine base::潜艇基地；潜水舰基地¦submarine warfare::潜艇战
submerge	v::放于水下；使沉没	
submit	v::(使)服从；提交	submit registration::提交登记表；提交注册¦submit applications::提交申请
subordinate	adj::下级的，次要的,从属的¦n::部下，下级职员	subordinate body::下属机构；附属机构¦subordinate clause::从句¦subordinate staff::下属人员；从属人员
subscribe	vt&vi::捐款，捐助；订阅；同意，赞成	
subsequent	adj::接着的，然后的	subsequent events::财务报表编制后发生的事项¦subsequent handling::后续工序
subside	v::洪水退落；土地下沉；建筑物沉降	
subsidiary	adj::辅助的；附属的¦n::子公司，附属机构	subsidiary company::附属公司，子公司¦wholly owned subsidiary::全资子公司；全资附属机构；全资拥有子公司¦wholly-owned subsidiary::全资附属公司；全部控股子公司¦subsidiary products::副产品；辅助产品¦subsidiary bank::分行¦subsidiary ledger::明细分类帐；辅助分类帐¦subsidiary legislation::附属法例¦subsidiary facilities::附属设施
subsidy	n::补助金；津贴费	government subsidy::政府补助金，政府补贴¦export subsidy::出口补贴
symposium	n::专题论文集，讨论会	annual symposium::年会
symptom	n::症状，症候，征兆	symptom complex::症候群
synchronize	v::使同时发生，使同步发生	
synonym	n::同义词	
synthesis	n::合成法；综合，合成物	organic synthesis::[化]有机合成¦synthesis method::合成法，综合法¦chemical synthesis::化学合成¦ammonia synthesis::氨合成；氨合成法¦protein synthesis::蛋白质合成¦synthesis gas::合成气¦asymmetric synthesis::不对称合成¦speech synthesis::语音合成；言语合成¦ammonia synthesis catalyst::氨合成催化剂¦custom synthesis::[生]委托合成¦unscheduled dna synthesis::期外DNA合成；非常规DNA合成
synthetic	adj::人工合成的	synthetic method::综合法；合成法¦synthetic aperture::合成孔径¦synthetic rubber::合成橡胶¦synthetic process::合成过程¦synthetic fiber::n. 人造纤维，合成纤维¦synthetic leather::合成革¦synthetic resin::合成树脂，人造树脂¦synthetic diamond::人造金刚石；人造钻石¦synthetic materials::合成材料¦synthetic fibre::合成纤维¦synthetic reaction::合成反应¦synthetic detergent::n. [化]合成洗涤剂¦synthetic oil::合成油；合成机油¦synthetic fabric::混合纤维¦synthetic polymer::合成聚合物；合成高分子¦synthetic judgment::综合判断
systematic	adj::有系统的，系统的；有计划有步骤的	systematic analysis::系统分析¦systematic study::系统研究¦systematic approach::系统观点，系统研究法¦systematic error::系统误差¦systematic risk::系统性风险；不可避免的风险¦systematic sampling::系统抽样¦systematic desensitization::系统脱敏疗法；系統減敏法¦systematic observation::系统观察，系统观测¦adequate and systematic service::配套服务¦systematic obstacles::体制性障碍
tablet	n::碑，书板；药片	stone tablet::碑碣¦buccal tablet::口腔片，颊含片¦tablet press::压片机¦calcium tablet::钙片¦tablet pc::平板电脑¦memorial tablet::牌位¦chewable tablet::咀嚼片；口嚼片
taboo	n::(宗教迷信)禁忌¦adj::禁忌的，禁止的	
tacit	adj::心照不宣的	tacit knowledge::隐性知识；默会知识¦tacit understanding::默契¦tacit agreement::默示协议¦tacit cooperation::配合默契¦tacit approval::默认
tackle	vt&vi::处理，对付；抓住	fishing tackle::n. 渔具；钓鱼用具¦block and tackle::滑车组；滑轮组¦tackle box::工具盒；钓具盒¦lifting tackle::起重滑车；提升滑轮；滑轮起吊设备¦sliding tackle::铲球
tactic	n::策略；战术	
tag	n::标签	price tag::价格标签；标价¦name tag::胸牌；名称标签¦tag along::紧跟；尾随¦claim tag::n. 行李票¦tag line::n. 时髦用语；收尾语¦luggage tag::行李牌¦tag question::附加疑问句；反意疑问句¦identification tag::美军官兵套在颈上的军籍号码牌¦hang tag::挂卡；吊牌；商品上使用保养说明书¦dog tag::狗牌；[计]卡箍标记；身分识别证
take	vt&vi::紧跟，尾随	take some::不大容易¦take care of oneself::照顾自己；颐养¦take part::参与， 参加¦take part in::参加，参与¦take on::承担；呈现；具有；流行；接纳；雇用；穿上¦take up::拿起；开始从事¦take effect::生效；起作用¦take off::起飞；脱下；离开¦take a look::看一下¦take out::v. 取出；去掉；出发；抵充¦take into::考虑到；说服¦take in::接受；理解；拘留；欺骗；让…进入；改短¦take seriously::重视；认真对待…¦take away::带走，拿走，取走¦take a look at::[口]看一看；检查¦take over::接管；接收¦take for granted::认为…理所当然¦take the lead::v. 带头；为首¦take charge of::接管，负责¦take good care::好好照顾；珍重
thermal	adj::热的；热量的	thermal power::火力；火力发电；热功率；热电站¦thermal stability::热稳定性，耐热性；热稳性¦thermal conductivity::导热系数；热导率¦thermal insulation::隔热；绝热；热绝缘¦thermal stress::热应力¦thermal analysis::热分析；热学分析¦thermal expansion::热膨胀¦thermal power plant::火力发电厂；热电厂¦thermal efficiency::热效率¦thermal decomposition::热分解；热解¦thermal shock::温度急增，热冲击¦thermal energy::热能；温热热能法，热能专业¦thermal resistance::热阻；热变电阻，热敏电阻¦thermal deformation::热变形；热形变¦thermal environment::热环境¦thermal performance::热力性能¦thermal fatigue::热疲劳¦thermal comfort::热舒适，温暖；人的热舒适¦thermal transfer::热转印；传热；热传递¦thermal recovery::热回收
thermometer	n::温度计	infrared thermometer::红外测温仪；红外线温度计¦digital thermometer::数字（式）温度计¦clinical thermometer::体温计，体温表¦resistance thermometer::电阻温度计¦bimetallic thermometer::双金属温度计
thermostat	n::恒温器	
thesaurus	n::词典，同类词汇编	
thesis	n::(学位)论文	graduation thesis::毕业论文；毕业设计¦thesis writing::论文写作¦scientific thesis::科学论点¦thesis defense::论文答辩
thigh	n::大腿，股	thigh bone::股骨；腿节
thirst	vt&n::渴；渴望	thirst for::v. 渴望；热望¦thirst for knowledge::渴望求知，求知欲¦have a thirst::[口语]想喝杯酒¦die of thirst::口渴死¦thirst for revenge::渴望复仇¦thirst after::非常渴望
thorn	n::刺，荆棘	
thorough	adj::彻底的；详尽的	
thoughtful	adj::深思的，关心的	
threshold	n::门槛；开始；开端，入门	threshold value::[计]阈值；门限值；界限值¦damage threshold::损伤阈值，损坏阈¦pain threshold::[生理]痛阈¦threshold voltage::阈值电压；[物]阈电压¦on the threshold of::在...的开端¦threshold current::[电]阈值电流¦lower threshold::n. 下辨别阈¦detection threshold::探测限界，检测阈¦threshold level::阈电平¦threshold effect::门槛效应；识阈效应¦visual threshold::视觉阈¦tax threshold::所得税起征点¦hearing threshold::听阈¦alarm threshold::报警阈值；警戒点¦threshold energy::能限；阈能¦excitation threshold::兴奋阈；激励阈值¦threshold dose::[放射]阈剂量
thrill	n&v::激动；震颤	
thrive	v::兴旺，繁荣	thrive on::以……成长
throat	n::咽喉，嗓子	sore throat::咽喉痛¦have a sore throat::嗓子疼¦nozzle throat::喷嘴喉；喷嘴喉部¦throat radius::n. 喉道半径¦throat diameter::喉径；炉喉直径¦deep throat::内幕消息来源，内部检举人¦strep throat::链球菌性喉炎；脓毒性咽喉炎
throbbing	adj::跳动的，悸动的	throbbing pain::[病]搏动痛
throng	n::人群，群众¦v::拥挤，群集	
throughout	prep::遍及	
thrust	n::猛推；冲锋，突击；推力	thrust bearing::推力轴承；止推轴承¦thrust force::推力¦axial thrust::轴向推力¦thrust in::闯入；不恰当地插入¦thrust out::逐出；推出；解雇¦main thrust::主力冲击¦thrust ball bearing::推力滚珠轴承；止推滚珠轴承¦thrust fault::逆冲断层¦cut and thrust::肉搏战，激烈的争论¦thrust washer::止推垫圈；推力垫圈¦thrust oneself forward::使自己被注意；出头露面¦thrust block::推力轴承；止推轴承；斜撑底座¦thrust stage::伸出式舞台；凸出舞台¦upward thrust::向上打腿
thumb	n::大拇指	rule of thumb::经验法则¦thumbs down::vt. 拇指向下；责备¦green thumb::有特殊园艺才能¦rules of thumb::经验法则；拇指规则¦tom thumb::n. 大拇指汤姆（英民间故事中只有拇指大的主人公）¦under the thumb::被控制¦thumb drive::指状储存器；拇指驱动器¦thumb down::[口]贬低；[口]拒绝
thunder	n::雷，雷声；轰隆声	thunder and lightning::雷电；指责¦spring thunder::春雷¦thunder storm::n. 雷雨
tick	n::(钟表)滴答声；一刹那¦v::用勾作为记号	tick off::列举；用记号标出¦in a tick::[口语]一会儿，一刹那间，一转眼间
tide	n::潮汐，(舆论，公众情绪)潮流趋势	spring tide::大潮；涨潮¦turn the tide::扭转局势；转变运气¦high tide::高潮；满潮；高潮时间¦red tide::赤潮¦low tide::低潮；（事物发展的）低落期¦tide over::克服，度过；度过困难时期¦time and tide::岁月；顺流逆流¦rising tide::涨潮¦flood tide::涨潮；高峰¦at high tide::处于高潮中¦storm tide::风暴潮¦ebb tide::退潮，落潮¦tide level::潮位；潮面¦double tides::◎(常与roar连用)猛烈地，狂怒地¦tide gauge::n. 检潮仪¦astronomical tide::n. 天文潮；特大潮汐
translucent	adj::透明的，半透明的	translucent paper::半透明纸，半透媒；不透明纸
transmission	n::传递，播送电视节目；汽车传动系统	data transmission::数据传输¦transmission system::[计]传输系统；输电系统；传递系统¦transmission line::n. [无][电]传输线；波导线¦power transmission::电力传输¦information transmission::信息传输¦transmission mechanism::传导机制；传动装置¦transmission electron microscopy::透射电子显微镜法¦signal transmission::信号传输；信号发送¦transmission electron microscope::透射式电子显微镜¦gear transmission::齿轮传动¦transmission network::传输网络；电力网¦mechanical transmission::机械传动；机械性传播¦automatic transmission::自动换档；自动变速装置；自动驾驶¦transmission and distribution::输电和配电；传输与分配¦transmission rate::传输速度；传输率¦transmission efficiency::传输效率，通话效率¦transmission equipment::传输设备；输电设备¦video transmission::视频传输；视频发送¦transmission ratio::传动比；总齿轮比；传输比¦heat transmission::传热；热传递，热传导
transparent	adj::透明的	transparent glass::透明玻璃¦transparent plastic::透明塑胶¦transparent film::透明薄膜；透谩膜；透明胶片¦transparent window::透冒；透明观察孔线¦transparent color::透明颜色¦transparent soap::透明皂¦transparent paper::透明纸；玻璃纸¦transparent body::透缅；透明体
transplant	n&v::移植，移种；人工移植(心,胃)；迁移 "	organ transplant::器官移植¦heart transplant::心脏移植；心脏移植手术¦hair transplant::头发移植
transport	n::运输¦v::运输	passenger transport::客运¦public transport::公交车¦transport system::运输系统；传输系统¦air transport::航空运输¦container transport::集装箱运输¦transport network::[计]运输网¦road transport::公路运输；铁路运输；陆路运输¦means of transport::运输工具¦water transport::水路运输¦freight transport::货物运输¦railway transport::铁路运输¦sediment transport::沉积物运移；泥沙流移；土砂流送¦rail transport::铁路运输¦cargo transport::货运；运货船/机¦transport service::传输业务；传送服务¦transport capacity::n. 运输能力，输送能力¦transport company::转运（货运）公司¦storage and transport::储运¦international transport::[经]国际运输¦transport equipment::运输设备，运输器材
trap	n::陷阱；圈套；双轮轻便马车	on trap::可得的；随时可用的¦steam trap::疏水阀；疏水器；汽水分离器；凝汽阀¦ion trap::离子阱¦trap door::[建]天窗；陷阱门；[建]地板或屋顶上的活门¦set a trap::设陷阱¦gas trap::气体收集器；气体分离器；气阱¦fall into a trap::落入圈套¦sand trap::分沙器；[美]沙坑障碍¦poverty trap::贫困陷阱¦condensate trap::[化]冷凝阱；冷凝槽¦stratigraphic trap::地层圈闭；地层封闭¦fault trap::[地质]断层圈闭；断层封闭¦cold trap::冷阱；冷却抽集器¦booby trap::恶作剧；[军]诡雷；诱杀装置¦steel trap::捕兽夹¦death trap::危险建筑；危险场所
trauma	n::损伤，精神创伤	trauma center::创伤中心；外伤中心¦psychic trauma::精神创伤¦emotional trauma::情绪创伤¦trauma surgery::创伤外科
traverse	v::横越，穿过	traverse survey::导线测量¦rapid traverse::快速移位；快速横动；快速行程
treatise	n::专题论文	
treatment	n::对待，待遇；处理，治疗	heat treatment::热处理¦water treatment::水处理；水的处理¦wastewater treatment::污水处理¦medical treatment::治疗，医疗¦sewage treatment::废水处理；污水处理法¦surface treatment::表面处理¦treatment plant::污水净化厂¦after treatment::后处理；辅助工人；相继加工¦treatment group::治疗组；试验组¦waste water treatment::废水处理，污水处理¦treatment equipment::治疗设备¦treatment effect::治疗效果；处理效应¦biological treatment::生物处理¦waste treatment::废物处理¦sewage treatment plant::污水处理厂¦comprehensive treatment::综合治理；综合治疗；综合处理¦foundation treatment::地基处理，基础处理¦special treatment::特殊处理；特别待遇¦sludge treatment::污泥处理¦emergency treatment::急诊；急症治疗
treaty	n::条约；协定	peace treaty::和平条约¦international treaty::国际条约¦north atlantic treaty::北大西洋公约¦patent cooperation treaty::专利合作条约¦north atlantic treaty organization::北大西洋公约组织（等于NATO）¦antarctic treaty::南极条约¦treaty port::通商口岸；根据条约开放的口岸¦maastricht treaty::马斯特里赫特条约¦private treaty::财产转让契约
treble	adj::三倍(重)的	
trek	v::长途跋涉；旅行	
tremble	vi&n::发抖，震颤	
tremendous	adj::巨大的，极大的；非常的，极好的	
trench	n::地沟	in the trenches::◎在第一线，在现场¦cable trench::电缆沟；电缆槽¦trench cover::沟盖板¦trench warfare::堑壕战¦trench coat::n. 军用防水短上衣¦pipe trench::管沟
trend	n::倾向，趋势	market trend::市场趋势；市场趋向¦general trend::一般趋势¦trend analysis::趋势分析¦trend towards::vt. 趋向（倾向）¦downward trend::向下趋势，下跌趋势¦follow the trend::跟随时尚¦economic trend::[经]经济趋势¦trend line::趋势线；走向线；瞧直线¦common trend::共同趋势；总趋向，总走向¦linear trend::线性趋势¦sales trend::销售趋势；销售动向¦trend growth::趋势增长¦buck the trend::反潮流¦trend analysis method::趋势分析法¦trend growth rate::趋势增长率¦trend test::趋势检验；趋向试验¦secular trend::长期趋势
trespass	v::非法侵入；侵夺，侵占	trespass on::侵犯；非法侵入；妨碍；打扰
trial	n::试验；试用；审讯，受审	on trial::在试验中；在受审¦clinical trial::临床试验；诊治试验¦trial production::产品试制¦trial and error::反复试验；尝试错误法¦trial run::试车；试验；测试运行¦free trial::免费试用¦trials and tribulations::艰难困苦；痛苦与磨难¦trial period::试用期¦trial order::试订单；试用订货¦first trial::初审；初次试验¦trial implementation::试行¦criminal trial::刑事审判¦fair trial::[法]公平审判¦field trial::（新产品等的）现场试验；（猎狗）实地追猎选拔或测试¦trial version::试用版¦civil trial::民事审判¦time trial::计时赛；计时游；计时测验¦by trial and error::反复试验，不断摸索¦stand trial::在受审¦court trial::法庭审判
triangle	n::三角，三角形；三角关系	golden triangle::金三角¦love triangle::三角恋爱¦equilateral triangle::等边三角形¦right triangle::直角三角形¦isosceles triangle::等腰三角形¦regular triangle::正三角形；等边三角形¦iron triangle::铁三角；铁三角架¦triangle belt::三角皮带，三角带¦triangle inequality::三角形公理；三角不等式¦triangle trade::三角贸易¦right-angled triangle::直角三角形
tributary	n&a::支流(的)	
trick	n::诡计；恶作剧；技艺	do the trick::获得成功¦trick or treat::不招待就使坏（指万圣节孩子们挨家逐户要糖果等礼物，如不遂愿便恶作剧一番的风俗）¦hat trick::帽子戏法（指连入三球），[板球]连中三柱（使对方三击球手退场）¦play a trick::（搞）恶作剧，捉弄¦dirty trick::卑鄙手段¦play a trick on::开……的玩笑；捉弄……¦clever trick::高明的把戏；聪明的花招；熟练的伎俩¦trick question::偏题¦confidence trick::骗局；欺诈¦trick or treating::不给糖果就捣蛋
trickle	v&n::(使)滴流，(使)细流	trickle down::向下滴流¦trickle irrigation::滴灌；滴灌系统
unravel	v::拆散(线团)；解决	
unrest	n::不安；动荡	social unrest::社会动荡；社会不安
untold	adj::数不清的，无数的	
upbringing	n::抚育，抚养；教养	
update	v::使现代化；使靠最近	update information::更新信息；修正信息¦dynamic update::动态更新；动态升级¦last update::最新更新¦update now::立即更新
uphold	v::支持；赞成；确认	
upkeep	n::保养费，维修费	
upright	adj::垂直的，直立的；正直的	upright position::正浮位置；直坐式¦upright post::立柱¦an upright man::正直的人
uprising	n::叛乱	
upset	v&n::倾覆，打乱	upset stomach::肚子痛¦get upset::伤心；感到不安¦stomach upset::n. 肠胃不适，消化不良¦upset forging::顶锻；平锻模¦upset the apple cart::美梦破灭
utility	n::有用，实用；公用事业(煤气，水电)	utility model::实用新型（约十个国家法律承认的一种保护发明名称，期限五年）¦public utility::公用设施；公用事业公司¦utility function::效用函数；应用函数¦utility value::实用价值，利用价值¦utility theory::效用理论¦marginal utility::边际效用¦utility boiler::电站锅炉，动力锅炉；公用锅炉¦utility system::实用系统；应用系统；公用系统¦expected utility::期望效用¦utility vehicle::多用途运载车¦utility ratio::利用率；实用率¦utility program::[计]应用程序；通用程序；实用程序¦utility maximization::效用极大化，效用最大值；极大化¦electric utility::电气设施；电业¦sport utility vehicle::运动型多用途车¦total utility::[经济]总效用；总效果¦social utility::社会效用；社会福利事业¦utility company::公用事业公司¦economic utility::经济效用¦practical utility::实用性；实用价值
utmost	adj::最远的，最大的，极度的	to the utmost::极度；尽力¦do one's utmost::尽全力，竭力¦utmost good faith::最大诚信；绝对信任¦at the utmost::至多
utterly	adv::完全地，十足地	
vacant	adj::空的；未被占用的；空虚的，无表情的	vacant space::空舱位；未用空间¦vacant room::空房¦vacant position::职位空缺；空座¦vacant land::空地；闲置地¦vacant lot::空地¦vacant seat::空位，未被占座位
vacation	n::假期;休庭期;腾空	summer vacation::暑假¦on vacation::在度假中¦winter vacation::寒假¦long vacation::大学暑假；法院夏季休庭¦go on vacation::去度假¦take a vacation::去度假¦paid vacation::带薪休假（如事假、病假、休假等）¦spring vacation::春假
vacuum	n::真空	vacuum pump::[机]真空泵¦in a vacuum::似在真空中¦high vacuum::高度真空，高真空¦vacuum distillation::真空蒸馏¦vacuum cleaner::吸尘器；真空吸尘器；真空清洁器¦vacuum system::真空系统¦vacuum degree::真空度¦vacuum drying::真空干燥¦vacuum packaging::真空包装¦vacuum furnace::真空炉；退火炉¦vacuum filter::真空滤器¦vacuum tube::真空管；电子管¦vacuum packing::真空包装¦vacuum circuit breaker::真空断路器¦vacuum equipment::真空设备¦vacuum chamber::真空室；压力室¦vacuum evaporation::真空蒸发；真空蒸镀；真空涂膜¦vacuum heat treatment::真空热处理；化学热处理¦vacuum interrupter::真空断续器；真空隔离开关¦vacuum forming::真空成型
vain	adj::徒劳的，无效果的；自负的；不尊敬的	in vain::徒然；无效¦vain glory::虚荣
validity	n::有效，正当	period of validity::有效期¦validity period::有效期¦term of validity::有效期；有效期间¦construct validity::结构效度；建构效度¦legal validity::法律上的效力¦content validity::内容效度；内容有效性，内容正确性¦external validity::外在效度，外部效度；外部有效性；外部真实性¦validity of contract::契约效力，合同效力¦validity check::有效性检查；效果检验¦predictive validity::预测效度；预测有效性¦internal validity::内部效度；固有效力¦criterion validity::效标效度
valuation	n::定价，估价；评定的价值	market valuation::上市公司股票市值；市场估价¦asset valuation::资产估价，资产估值¦business valuation::经济评价，企业评估¦stock valuation::股票估价¦inventory valuation::存货估价¦customs valuation::海关估值
valley	n::深谷，山谷	river valley::河谷；山涧¦happy valley::欢乐谷（游乐场）；跑马地（香港一高级住宅区）¦napa valley::纳帕谷（美国加州葡萄酒的主要产地）¦mountain valley::山谷¦optical valley::光谷¦rift valley::裂谷；地堑¦central valley::n. [地质学]中央谷，裂谷¦lily of the valley::铃兰¦dry valley::干谷；涸谷¦death valley::死谷（美国西南部一地区，是世界最低和最干旱的地区之一）¦the nile valley::尼罗河流域¦loire valley::卢瓦尔河谷¦sun valley::太阳谷（美国爱达荷州中南部一座村庄）¦valley floor::谷底¦valley water::河谷水
valve	n::阀，活门	control valve::n. [化]控制阀¦ball valve::球阀，弹子阀；球形阀¦check valve::止回阀，止逆阀¦butterfly valve::蝶形阀¦solenoid valve::电磁阀¦relief valve::安全阀；减压阀¦gate valve::闸门阀；闸式阀¦safety valve::安全阀，安全活门¦valve body::[机]阀体¦valve seat::阀座，气门座¦electromagnetic valve::电磁阀¦pressure valve::施压阀；压力控制阀，压力増压阀¦throttle valve::节流阀¦regulating valve::调节阀；溢流阀；第阀¦air valve::空气阀；通气管之活瓣¦valve control::阀门控制，阀控制器；调节阀，气门控制¦mitral valve::n. [解]二尖瓣；僧帽瓣¦valve core::阀心；气门芯¦exhaust valve::[化]排气阀¦heart valve::心脏瓣膜；人工心瓣
wail	v::vi大声哀号，恸哭；呼啸，尖啸	
wander	v::漫游；迷路；离题	wander off::漫步；漫游；离群走散¦wander about::徘徊；流浪；漫步¦wander from::离题¦baseline wander::基线漂移
wane	v::月亮变小，月亏；衰退	on the wane::逐渐衰落
