abandonment	ə'bændənmənt	əˈbændənmənt	n::放弃		...memories of her father's complete abandonment of her.::…她父亲对她的彻底抛弃的那些记忆。
rebellion	rɪ'bɛljən	rɪ'beljən	n::叛逆	boxer rebellion::义和团运动	an armed rebellion::武装叛乱
lofty	'lɔfti	'lɒftɪ	adj::崇高的		He stayed at the Four Seasons Hotel, from whose lofty heights he could see across New York.::他住在四季酒店，从酒店高处可以看到纽约的全景。
render	'rɛndɚ	'rendə	v::给予	account rendered::[经]结欠清单¦render services::提供服务¦render an account::报帐；开送账单	an obligation to render assistance to those in need::为有困难的人提供援助的义务¦a bill of $3,200 for services rendered::一张3,200美元服务费的账单
recyclable	,ri'saɪkləbl	riː'saɪkləbl	adj::可回收利用的		recyclable cardboard packaging::可回收利用的纸板包装材料
trick	trɪk	trɪk	n::骗局，诡计	do the trick::获得成功¦trick or treat::不招待就使坏（指万圣节孩子们挨家逐户要糖果等礼物，如不遂愿便恶作剧一番的风俗）¦hat trick::帽子戏法（指连入三球），[板球]连中三柱（使对方三击球手退场）¦play a trick::（搞）恶作剧，捉弄¦dirty trick::卑鄙手段¦play a trick on::开……的玩笑；捉弄……¦clever trick::高明的把戏；聪明的花招；熟练的伎俩¦trick question::偏题¦confidence trick::骗局；欺诈¦trick or treating::不给糖果就捣蛋	Pretending he doesn’t remember is an old trick of his.::假装不记得是他的老花招了。¦He didn’t really lose his wallet - that’s just a trick.::他并没有真的丢了钱包——这只是一个骗局。
certification	,sɝtɪfɪ'keʃən	,sɜːtɪfɪ'keɪʃən	n::证明，保证	quality certification::质量认证¦quality certification system::质量保证制度¦certification body::认证机构¦certification mark::证明商标；商品标志¦professional certification::专业资证¦china compulsory certification::中国强制认证（3C认证）¦conformity certification::合格认证	We successfully completed the certification for open water diving.::我们成功地拿到了开放水域潜水证书。
prevailing	pri'velɪŋ	prɪ'veɪlɪŋ	adj::流行的	prevailing wind::主风；恒风；盛行风¦prevailing circumstances::当时环境¦prevailing rate::市价；现行汇率¦prevailing market price::现行市价¦prevailing party::胜诉的一方¦prevailing price::现价，当时价格；普遍价格	The prevailing mood of public opinion remained hostile.::公众仍普遍持敌对情绪。¦the prevailing economic conditions in Northern Ireland::北爱尔兰普遍的经济状况
misled	mis'led	,mɪs'led	::(mislead过去式)误导		He noted that a Scientologist hearing this would feel, with some justification, that he had misled his auditors about his progress.::他指出，山达基信徒听到这些之后，会有一些理由，感觉他在关于进展方面误导了听析师。¦Sometimes he may be “misinformed, ” or “misled by others, ” but he is never, ever, wrong.::他间或可能会“信息有误”或是“被他人误导”，但他永远不会有错。¦I defy any one to assign an incident wherein reason will not direct us what we are to say or do in company, if we are not misled by pride or ill nature.::如果我们不被骄傲之情和坏脾气给误导，我相信理智将在社交活动，他人交往中对我们的言行举止做出正确的指引。 这一事实无可辩驳。
elimination	ɪ,lɪmə'neʃən	ɪ,lɪmɪ'neɪʃən	n::消除，淘汰	noise elimination::消声；噪声消除¦elimination method::[数]消去法；消元法¦gaussian elimination::高斯消去法，高斯消元法¦elimination reaction::消除反应；消去反应¦gauss elimination::高斯消去法¦successive elimination::逐次消元	If you need to remove an agent you will have to do it by a process of elimination.::如果您需要删除代理，将必须通过消除进程的方式进行此工作。¦I recommend that you be relentless in the elimination of the backlog of defects and feature enhancements.::我建议你在消除积压的缺陷和不断膨胀的特征时毫不留情。¦In all, the new president selected 150 individual programs for cuts or elimination.::总而言之,新的总统150个人项目选择削减或者消除。
unqualified	,ʌn'kwɑlɪfaɪd	ʌn'kwɒlɪfaɪd	adj::不合格的，不胜任的		unqualified staff::不合格的员工
subconscious	,sʌb'kɑnʃəs	sʌb'kɒnʃəs	adj::下意识的，潜意识的		a subconscious fear of failure::对失败下意识的恐惧
incompetent	ɪn'kɑmpɪtənt	ɪn'kɒmpɪt(ə)nt	adj::无能力的，不胜任的		an incompetent manager::不称职的经理¦weak incompetent leadership::软弱不称职的领导
discriminate	dɪ'skrɪmɪnet	dɪ'skrɪmɪneɪt	v::歧视；区别	discriminate against::歧视；排斥	He is incapable of discriminating between a good idea and a terrible one.::他没能力在一个好主意和一个坏主意之间进行区分。
elegant	'ɛləgənt	'elɪg(ə)nt	adj::高雅的，雅致的	elegant appearance::美观大方¦elegant demeanour::风采¦elegant shape::式样优雅	a tall, elegant young woman::身材高挑、举止优雅的年轻女子¦You can dine in elegant surroundings.::你可以在雅致的环境中进餐。
gown	ɡaʊn	gaʊn	n::长袍	wedding gown::结婚礼服；新娘礼服¦evening gown::n. 女子夜礼服¦dressing gown::晨衣，便袍¦bridal gown::新娘服装，新娘礼服¦cap and gown::n. 方帽长袍¦ball gown::舞会袍¦silk gown::[英国英语]	The new ball gown was a great success.::那件新款长礼服非常成功。
bride	braɪd	braɪd	n::新娘	bride and groom::新娘和新郎¦child bride::童养媳；年轻的新娘	Guests toasted the bride and groom with champagne.::客人们以香槟为新娘新郎敬酒。
costume	'kɑstum	'kɒstjuːm	n::服装	costume jewelry::（用作服饰的）人造珠宝¦costume design::最佳服装设计¦national costume::民族服装¦chinese costume::中式装；唐装；中装¦costume jewellery::人造珠宝饰物；服装饰物¦costume designer::服装设计师¦costume party::化妆舞会；化装舞会¦costume designing::服装设计	the film’s lavish costumes and spectacular sets::影片中奢华的戏装和壮观的场景¦Hallowe’en costumes::万圣节前夕化装服
trade	tred	treɪd	v::做买卖；交换	foreign trade::外贸，对外贸易¦international trade::国际贸易¦world trade::世界贸易¦trade in::买卖；抵价购物¦trade something for something::用某物换某物，用某货换某货¦free trade::[经]自由贸易¦export trade::出口贸易；出口商¦world trade organization::世界贸易组织（产生于关贸总协定的乌拉圭谈判， 其目的是为促进多边贸易谈判和协议而成立的。）¦trade with::从事贸易；和…做贸易；与…做生意¦trade center::贸易中心¦trade union::工会¦processing trade::加工贸易；委托加工贸易¦carrying trade::海外贸易，转口贸易¦trade mark::商标；特征¦trade policy::贸易政策¦service trade::服务业；劳务贸易¦trade surplus::贸易顺差；贸易盈余¦trade fair::商品交易会；贸易展销会¦trade off::权衡；卖掉；交替使用；交替换位¦trade for::以…换得；贸易交换	They had to travel into town to trade the produce from their farm.::他们不得不到镇上去出售他们农场的产品。¦We traded necklaces.::我们交换了项链。
deal	dil	diːl	v::买卖毒品	deal with::处理；涉及；做生意¦great deal::大量¦a great deal of::大量¦deal in::v. 经营¦good deal::划算，好交易¦big deal::n. 大人物；了不起的事¦new deal::新政（美国总统罗斯福的国内政策和政府）¦a good deal of::大量的；很多的¦business deal::交易；生意¦make a deal with::与…做生意，和…妥协¦make a deal::成交；达成交易¦deal out::分给；分配¦fair deal::公平交易；公平政策¦package deal::一揽子交易；[经]整批交易；成套交易¦close the deal::完成交易；达成协议¦close a deal::成交；做成一笔交易¦cut a deal::达成协议，达成交易；最后达成决定性的协议¦raw deal::不公平待遇¦deal or no deal::一掷千金（电视节目）¦square deal::n. [口]公平交易；诚实交易	Many users end up dealing to support their habit.::许多吸毒者最后都是靠做毒品买卖来供自己吸毒。
hike	haɪk	haɪk	v::作长途徒步旅行	price hike::提价；物价上涨¦take a hike::走路；滚开；哪凉快那歇着去¦hike up::飘起¦tax hike::赋税增加¦wage hike::n. 工资的增加	He wants to hike round the world.::他打算徒步旅行环游世界一周。
action	'ækʃən	'ækʃ(ə)n	n::行动	take action::采取行动；提出诉讼¦action on::对…的作用¦in action::在活动；在运转¦action plan::行动计划；行动方案¦mechanism of action::作用机制；作用机理¦course of action::做法；行动步骤¦legal action::法律诉讼¦action research::行动研究；行为研究；动作研究¦civil action::n. 民事诉讼¦pharmacological action::药理作用¦corrective action::n. 校正动作¦administrative action::行政诉讼；行政裁定¦joint action::联合行动；[机]接合动作；接合作用¦collective action::集体行动；集体行为¦combined action::共同作用；联合行动；复合作用¦direct action::直接行动；直接作用¦action potential::动作电位；动诅位¦out of action::损坏；不运转；失去作用¦control action::控制作用；控制动作¦disciplinary action::纪律处分；训练活动	The government must take action (=do something) now to stop the rise in violent crime.::政府现在必须采取行动遏止暴力犯罪的上升。
resultant			adj::作为结果而发生的		She is still trying to get over the attack and the resultant injuries.::她仍在努力从袭击以及由此造成的伤害中恢复过来。
consequent	'kɑnsəkwənt	'kɒnsɪkw(ə)nt	adj::作为结果的；必然的	consequent on::随之而来；跟着…发生的	the rise in inflation and consequent fall in demand::通货膨胀的加剧和随之而来的需求下降
composer	kəm'pozɚ	kəm'pəʊzə	n::作曲家		...music by Strauss, Mozart, Beethoven, and other great composers.::…施特劳斯、莫扎特、贝多芬及其他伟大作曲家创作的音乐。
slave	sleɪv	sleɪv	v::作苦工；奴役		When you're busy all day the last thing you want to do is spend hours slaving over a hot stove.::当你忙碌了一整天后，你最不愿意做的事就是花好几个钟头在灼热的火炉边辛苦地劳作。
grunt	ɡrʌnt	grʌnt	v::作呼噜声；咕哝		Grunting with effort, she lifted me up.::她哼哧着费力地把我抱起来。
abide	ə'baɪd	ə'baɪd	v::忍受；遵守	abide by::遵守；信守；承担…的后果¦abide in::安住¦abide by the law::遵守法律¦abide by the contract::遵守合同	I can't abide people with no sense of humour.::我讨厌和没有幽默感的人打交道。¦You'll have to abide by the rules of the club.::你必须遵守俱乐部的规定。
value	'vælju	'væljuː	v::尊重，重视；估价	of value::adj. 贵重的（重要的）¦reference value::参考值；标准值；参照值¦practical value::实际价值¦value chain::价值链¦in value::在价值上¦economic value::经济价值；经济有效值¦market value::n. [商]（有别于帐面价值的）市场价值；市价¦high value::高价值；高影调¦added value::附加值；增值价值¦value on::签发；向某人开出汇票¦boundary value::边值；边界值¦value added::增值；附加价值¦of great value::很有价值的¦value system::价值体系；价值系统¦peak value::峰值¦social value::社会价值¦numerical value::数值¦core value::核心价值¦theoretical value::理论值¦threshold value::[计]阈值；门限值；界限值	Shelley valued her privacy.::谢利很重视自己的隐私。¦We decided to get the house valued.::我们决定给房子估一估价。
dignity	'dɪɡnəti	'dɪgnɪtɪ	n::庄重；尊严；体面		We do this because we believe in the dignity and value of every person.::我们这样做是因为我们相信每个人的尊严和价值。¦They have to be treated well, with dignity.::必须善待申请人，让人有尊严。¦This award must be shared with everyone who strives for justice and dignity.::我一定要与所有为正义和尊严奋斗的人分享此奖。
outermost	'aʊtɚ'most	'aʊtəməʊst	adj::最外面的，最远的	outermost layer::最外层	the outermost stars::最远的恒星
optimum	'ɑptəməm	'ɒptɪməm	adj::最优的，最适宜的	optimum design::最佳设计，最优设计¦optimum condition::最适条件；最佳工况¦optimum solution::最佳（优）解¦optimum control::最优控制；最佳控制¦global optimum::总体最优值¦local optimum::局部最优¦optimum value::最佳值；最优值¦optimum performance::最佳操作特性¦optimum temperature::最适温度；最佳温度¦optimum structure::n. 最佳结构¦optimum matching::最佳匹配¦optimum seeking method::优选法¦optimum efficiency::最佳效率¦pareto optimum::帕累托最优¦optimum size::最佳规模；最适规模；最佳尺寸；最佳粒度¦optimum programming::最佳编程；最佳程序设计¦optimum moisture::最佳水分¦optimum output::最佳输出¦optimum density::最佳密度；最适密度¦optimum balance::n. 最佳的平衡，最适均衡	optimum conditions for growth::最适宜生长的条件
initially	ɪ'nɪʃəli	ɪ'nɪʃ(ə)lɪ	adv::最初，开始		Stan initially wanted to go to medical school.::斯坦最初想进医学院。¦Initially, I thought I would only stay there a year.::起初，我以为我只会在那儿待一年。
makeup	'mek,ʌp	meɪkʌp	n::化妆品；性格；构造；组成	makeup water::补充水¦makeup remover::卸妆水	Normally she wore little makeup, but this evening was clearly an exception.::通常她很少化妆，可今晚显然是个例外。¦There was some fatal flaw in his makeup, and as time went on he lapsed into long silences or became off-hand.::他性格中有某种致命的缺陷，随着时间的推移，他要么陷入长时间沉默要么行为随便。¦The ideological makeup of the unions is now radically different from what it had been.::这些协会的意识形态构成如今与过去大相径庭。
integral	'ɪntɪɡrəl	ˈɪntɪɡrəl	adj::作为组成部分的；内置的	integral part::积分部分；整数部份；主要的部分¦integral equation::积分方程¦integral method::积分法¦integral structure::整体结构¦definite integral::定积分¦integral calculus::积分学¦singular integral::奇异积分，奇解¦integral transform::积分变换；积分转换¦integral solution::整数解¦integral type::整体式；整型；整数类¦surface integral::面积分；球面积分¦double integral::二重积分¦indefinite integral::不定积分¦integral transformation::积分变换¦convolution integral::卷积积分；褶合积分¦integral control::积分控制；整体控制；积分动棕制¦integral time::积分时间¦triple integral::三重积分¦multiple integral::多重积分¦integral value::整数值	a TV and integral video recorder::内置录像机的电视
composition	,kɑmpə'zɪʃən	kɒmpə'zɪʃ(ə)n	n::组成，构成，结构	chemical composition::化学成分；化学组成¦mineral composition::矿物组成，矿物成分¦phase composition::相组成；相成分；相位成分¦species composition::物种组成；种类成分¦gas composition::气体组分，气体成分¦body composition::身体组成¦musical composition::乐曲¦internal composition::内部合成¦product composition::产品构成¦music composition::音乐写作；音乐合成¦elemental composition::构成的化学元素¦group composition::族组成；团体组成¦composition of a picture::画面结构¦color composition::色彩构成；铯彩构图；彩色合成¦grain composition::颗粒级配；颗粒组成；粒度组成¦ethnic composition::种族构成¦floristic composition::植物区系组成；植物种类成分¦atmospheric composition::大气成分，大气组成¦age composition::年龄结构；年龄组成；年龄分布¦mechanical composition::机械组成	Some minerals have complex chemical compositions.::有些矿物的化学构成很复杂。
block	blɑk	blɒk	n::阻塞；障碍物	in block::块装；整批¦block in::草拟，画草图¦block up::阻碍；垫高；停用；阻塞¦fault block::断块；故障闭塞；断裂地块¦block diagram::框图；方块图¦a block of::一块，一大块…¦on the block::出售中；在拍卖中¦building block::n. 积木；构件，基础材料¦cylinder block::气缸体；气缸柱；气缸座¦stumbling block::绊脚石；障碍¦block copolymer::嵌段共聚物¦concrete block::混凝土砌块；混凝土砖；混凝土趸；水泥砖¦slide block::滑块；滑架¦one block::整体；一节¦data block::数据块¦hollow block::空心块，空心砖¦block out::封闭；概略画出¦sliding block::滑块¦block structure::程序块结构，分程序结构；方块图¦block cipher::分组密码	a major block to progress::进步的重大阻碍
damn	dæm	dæm	v::谴责	damn well::非常地¦not worth a damn::不值一文，毫无价值¦god damn::该死的¦damn and blast::该死¦damn all::丝毫不，一点没有	...a sensational book in which she damns the ultraright party.::…她谴责极右党派的一本耸人听闻的书。
ample	'æmpl	'æmp(ə)l	adj::足够的；宽敞的	ample evidence::充分证据	There'll be ample opportunity to relax, swim and soak up some sun.::将会有充足的机会来放松、游泳和接受一些阳光。
suffice	sə'faɪs	sə'faɪs	v::足够	suffice for::满足……的需要	A light lunch will suffice.::简单的午餐就够了。
lease	lis	liːs	n::租约，契约，租契	lease contract::租契；租赁契约¦lease term::租赁期¦financial lease::融资性租赁；财务租赁¦land lease::批地契约；土地批租；土地契约¦financing lease::融资租贷；筹资性租赁¦finance lease::融资租赁¦lease agreement::租赁合同¦operating lease::经营性租赁；维护性租赁¦on lease::以租借方式¦lease financing::n. 租赁筹资¦net lease::净租赁¦a lease of life::寿命¦lease out::出租¦lease purchase::租借购买，分期付款购买¦capital lease::筹资租赁；资本租赁	The landlord refused to renew his lease.::房东拒绝和他续签租约。¦The 99-year lease expired in 1999.::99年期的租约于1999年到期。¦Do you understand all the terms of the lease?::租约条款你都理解吗？
charter	'tʃɑrtɚ	'tʃɑːtə	v::包租（飞机、船等）	charter party::佣船契约；包船契约；租船方¦olympic charter::奥林匹克宪章¦charter flight::包机¦time charter::定期租船契约¦corporate charter::公司执照；公司注册证¦bareboat charter::空船租赁¦charter school::特许学校，契约学校；委办学校¦voyage charter::程租船；计程包船；航程佣船¦royal charter::皇家宪章（英国法律）¦atlantic charter::n. 大西洋宪章¦great charter::大宪章（等于Magna Charta）	We chartered a boat to take us to some of the smaller islands.::我们包了一条船带我们到一些较小的岛上去。
headquarters	'hɛdkwɔrtɚz	hed'kwɔːtəz	n::总部	general headquarters::陆军总司令部	the headquarters of the United Nations::联合国总部
executive	ɪɡ'zɛkjətɪv	ɪg'zekjʊtɪv; eg-	n::（机构或公司的）主管，经理	chief executive::行政长官；董事长；美国总统；（美国的）州长¦executive director::执行理事；常务董事¦executive committee::执行委员会¦executive officer::主任参谋，执行官¦chief executive officer::首席执行官；总裁¦executive search::猎头（等于headhunting）；搜寻高级管理人员（的做法）¦executive power::行政权；执行权；行政管理权¦executive yuan::行政院¦executive vice president::执行副总裁¦executive council::执行委员会¦executive branch::行政部门¦executive board::执行委员会¦senior executive::高级主管；高级执行官¦executive ability::执行力；行政能力¦executive function::行政上的职能¦executive compensation::管理层薪资水平¦executive program::可执行程序¦executive management::行政管理；高级管理层；主管经理管理层¦executive chairman::执行主席；执行总裁¦executive office::办公室；行政办公室；经理办公室	a marketing executive::营销主管
main		meɪn	n::总管道，干线	main products::主要产品¦main body::主体，主要部分；主船体；机身¦main reason::主要原因¦main content::主要内容¦main effect::主效应¦main task::主任务¦in the main::基本上¦main purpose::主要目的¦main part::主要部分，主体；主要零件¦main idea::主要意思，主旨¦main feature::主要特征；主要特点；主景；功能特点¦main force::主力；主力军；主力部队¦main line::干线；[俚]大静脉¦main material::[经]主要材料¦main point::主点，主穴；大纲¦main structure::主要结构¦main street::大街¦main character::主要人物；主要角色¦main shaft::n. 主轴；总轴¦main circuit::主电路；主回路；昼路	The report found that many of Yorkshire’s water mains needed replacing.::报告中说约克郡的很多自来水总管道需要更换。¦a burst gas main::破裂的煤气总管道
overall	,ovə'rɔl	'əʊvərɔːl	adj::总的	overall situation::大局；总体形势¦overall quality::综合质量；总的质量¦overall development::综合开发¦overall planning::整体规划；全面规划¦overall design::总体设计；总设计¦overall performance::整体性能；总指标¦overall level::总电平¦overall structure::总体结构，整体结构¦overall plan::总体规划¦overall analysis::全分析¦overall system::[计]总体系统¦overall strength::总强度¦overall evaluation::综合评价¦overall strategy::全面战略¦overall efficiency::总效率¦overall budget::总体预算¦overall cost::总成本；全部成本；总值¦overall view::全景；透视图¦overall project::整个项目；全面计划方案¦overall risk::综合险，整体风险	...the overall rise in unemployment.::…失业人数的总体上升。
conceit	kən'sit	kən'siːt	n::自负，自高自大	full of conceit::自高自大，十分自负	The conceit of the woman!::这个自负的女人！
ultraviolet	,ʌltrə'vaɪələt	ʌltrə'vaɪələt	adj::紫外（线）的	ultraviolet radiation::紫外线；紫外线照射¦ultraviolet light::紫外线¦ultraviolet ray::紫外线¦ultraviolet irradiation::紫外线照射¦ultraviolet spectrum::[化]紫外光谱¦ultraviolet absorption::紫外吸收；紫外线吸收；紫外光吸收¦ultraviolet lamp::紫外线灯¦ultraviolet spectrophotometer::紫外分光光度计¦ultraviolet laser::紫外线激光器，紫外激光器；紫外雷射¦ultraviolet detector::[化]紫外光检测器¦solar ultraviolet radiation::太阳紫外辐射；阳光紫外缐照射	The sun's ultraviolet rays are responsible for both tanning and burning.::太阳的紫外线是皮肤晒黑和晒伤的原因。
descendant	dɪ'sɛndənt	dɪ'send(ə)nt	n::子孙，后裔		He was a direct descendant of Napoleon Bonaparte.::他是拿破仑·波拿巴的嫡系后裔。
endow	ɪn'daʊ	ɪn'daʊ; en-	v::资助；赋予	endow with::赋予；具有	The ambassador has endowed a $1 million public-service fellowships programme.::大使资助了一个100万美元的公共服务奖学金项目。¦You are endowed with wealth, good health and a lively intellect.::你天生赋有财富、健康，和敏锐的智力。
datum	ˈdetəm ; ˈdætəm ; (also) ˈdɑtəm	ˈdeɪtəm ; ˈdɑːtəm	n::资料；数据；已知数	datum plane::n. 基准面¦datum line::基准线¦datum point::基准点¦reference datum::参考基准面¦height datum::高程基准，高程基准面¦datum mark::基准点	
qualification	,kwɑlɪfɪ'keʃən	,kwɒlɪfɪ'keɪʃ(ə)n	n::资格；学历	qualification certificate::资格证书¦professional qualification::专业资格；职称等级¦qualification test::资格考试；合格试验；质量鉴定试验¦procedure qualification::工艺评定；程序评定¦welding procedure qualification::焊接工艺评定；焊接程序评定¦enterprise qualification::企业资质¦qualification and experience::资历¦academic qualification::学历；学术资格¦certificate of qualification::合格证书	He left school without any qualifications.::他离校时没有拿到任何文凭。
bourgeois	,bʊr'ʒwɑ	'bʊəʒwɑː	adj::中产阶级的；庸俗的；资产阶级的	bourgeois liberalization::[法]资产阶级自由化¦petty bourgeois::小资产阶级分子	She came from a bourgeois family.::她来自一个中产阶级家庭。¦bourgeois morality::中产阶级的道德准则¦the backlash against bourgeois materialism::对世俗的物质主义的鞭挞¦bourgeois ideology::资产阶级意识形态
woodpecker	'wʊdpɛkɚ	'wʊdpekə	n::啄木鸟		A woodcutter and a woodpecker lived in the forest.::森林里居住着一个樵夫和一个啄木鸟。¦Of course, it took years for the Army to hit on a workable strategy for the woodpecker — a lesson that is informing its conservation work today.::当然，拿出一套对保护啄木鸟行之有效的方案，军方花了几年的功夫 ---- 这对于今天的生态保护工作不失为是一个教训。¦Savour the silence, if that's what nature serves up, or thrill to the tap-tap of the woodpecker.::如果这是大自然奉上的一份佳肴，给这份宁静加点作料吧，或是因为啄木鸟的叩击声而兴奋起来吧。
bump	bʌmp	bʌmp	v::撞上	bump into::无意中遇到、碰到¦with a bump::意外地，突然¦bump against::撞；碰¦bump up::突然增加；提升¦bump off::干掉]¦bump mapping::凹凸贴图；凸凹处理；凹凸映射	They stopped walking and he almost bumped into them.::他们停下了脚步，这下他几乎撞到他们。¦She bumped her head against a low branch.::她的头撞到一根低矮的树枝上。
crash	kræʃ	kræʃ	v::（发出巨响的） 猛撞	car crash::车祸；汽车碰撞¦air crash::飞机失事¦stock market crash::股市崩盘；股市行情暴跌¦crash course::速成课（等于cram course）¦crash into::v. 闯入；撞到…上¦crash test::碰撞试验¦crash program::应急计划；紧急措施¦crash helmet::安全帽；（飞行员，摩托车驾驶员等的）防撞头盔¦crash landing::迫降；紧急着陆¦disk crash::磁碟毁灭	The door swung inwards to crash against a chest of drawers behind it.::门摆向里面，砰的一声猛力撞上了门后的五斗橱。¦My words were lost as the walls above us crashed down, filling the cellar with brick dust.::随着上面的墙体轰隆一声倒塌下来，地窖里充满砖灰，我吓得说不出话来。
way	we	weɪ	n::（特定的）状态，状况	way of::方式¦in this way::这样；用这种方法¦best way::最佳方法¦by the way::顺便说说，顺便问一下；在途中¦on the way::adj. 在……途中¦way in::入口；由此进入¦in the way::妨碍；挡道¦by way::n. 经由¦by way of::经由；当作¦that way::那样，那边¦no way::决不；一点也不¦same way::同样；同样的方法；同样的感受¦all the way::一路上；自始至终¦one way::单向的；单程的；单方面的¦long way::远路¦way out::出口；解决之道¦way of life::生活方式；行为准则¦in a way::在某种程度上；有点儿；[口]十分激动¦in the way of::妨碍；关于…方面¦any way::无论如何	My family was in a bad way financially.::我家当时经济窘迫。¦The chicken’s nice and crispy – just the way I like it.::这鸡肉很脆，正是我喜欢的口味。¦It’s worth thinking how you can improve the way things are.::你应该想想如何让现状变得更好。
superb	/suːˈpɜːrb/	suː'pɜːb; sjuː-	adj::壮丽的；超等的		The food was superb.::食物好吃极了。
ornament	'ɔrnəmənt	'ɔːnəm(ə)nt	n::装饰物		a shelf covered with books and ornaments::摆满书籍和装饰品的架子
decorative	'dɛkəretɪv	'dek(ə)rətɪv	adj::装饰的；可作装饰的	decorative design::装饰设计¦decorative lighting::装饰照明；装饰灯具¦decorative art::装饰艺术；装饰性艺术饰品¦decorative glass::装饰玻璃；镶嵌玻璃¦decorative paint::装饰涂料¦decorative paper::装饰纸；装饰纸品¦decorative laminate::[材料]装饰性层压板¦decorative sheet::n. 树脂装饰板，装饰薄片	a decorative panel above the door::门楣上的饰板
ornamental	,ɔrnə'mɛntl	ɔːnə'ment(ə)l	adj::装饰的	ornamental plant::观赏植物¦ornamental stone::饰石，装饰石	...an ornamental fountain.::…一个装饰性喷泉。
mount	maʊnt	maʊnt	v::装配	mount everest::埃佛勒斯峰（喜马拉雅山主峰之一，中国称珠穆朗玛峰）¦surface mount::表面黏着方式¦mount up::增长；上升¦mount qomolangma::珠穆朗玛峰¦mount fuji::n. （日本）富士山¦engine mount::引擎脚；发动机架¦sermon on the mount::登山宝训（指圣经马太福音中耶稣在山上所说的话）；山上宝训¦mount olympus::奥林匹斯山，奥林帕斯山（塞浦路斯的最高峰）¦mount rushmore::拉什莫尔山（位于美国南达科他州）；总统山；罗斯摩尔山¦rubber mount::橡胶垫架；橡胶减振座¦lens mount::透镜支架；物镜，支座	Her husband mounts the work on velour paper and makes the frame.::她丈夫把作品装裱到丝绒纸上，又做了框架。
shipment	'ʃɪpmənt	'ʃɪpm(ə)nt	n::装载的货物；装货	date of shipment::装船日期；发料日期¦partial shipment::分批装运，部分装运¦time of shipment::交货时间；装运时间¦shipment date::装船日期；装运期¦port of shipment::装货港；出发港；起运港¦effect shipment::交货¦shipment quantity::够装运的数量¦prompt shipment::即期装船¦late shipment::延迟装运；前批装船货物¦advice of shipment::装船通知；装运通知；船运通知¦advance shipment::提前装船¦shipment value::进出口货物金额¦immediate shipment::立即装船¦received for shipment::储运；收货候装；待装船¦actual shipment::实际装运；实际载货量	The goods are ready for shipment.::货物已经准备好装运。
can	kæn	kæn	v::装罐头	can be::可能；可以是¦we can::我们可以¦can do::能做到；做得到¦how can::怎么能够；哪能；怎会¦can only::只得¦can tell::能感觉到；能看出来¦how can i::我岂能…；我怎么能…¦can afford::买得起；有能力负担¦can you help me::你能帮我吗¦as you can see::正如你所看到的；你是知道的¦oil can::油壶；加油器¦can not help::禁不住，忍不住；情不自禁¦yes we can::是的，我们可以（奥巴马竞选口号）¦gas can::汽油桶，汽油罐；煤气罐¦what can you see::你能看见什么¦cannot but::不得不，禁不住¦fiber can::棉条桶；纸板桶；纤维罐；纤维板桶¦can do with::需要，希望得到；能对付，将就¦in the can::[美俚]电影杀青¦can not but::不得不	...fruits and vegetables that will be canned, skinned, diced, or otherwise processed.::…将要经过装罐、去皮、切块或其他加工程序的水果和蔬菜。
array	ə're	ə'reɪ	v::（美观地）排列¦n::陈列	an array of::一排；一批；大量¦phased array::相控阵；相位排列¦antenna array::天线阵¦gate array::[计]门阵列；门数组¦linear array::一维数组；线性排列；[电磁]直线天线阵¦array antenna::阵列天线¦phased array radar::相控阵雷达¦sensor array::感测器阵列；阵列传感器¦orthogonal array::正交阵列¦disk array::磁盘阵列¦diode array::二极管矩阵¦array element::数组元素¦line array::线阵列；线性排列¦detector array::探测器阵列；检波器组合¦planar array::平面阵列¦solar array::太阳能电池阵；太阳电池板；太阳组¦electrode array::电极系；电极排列¦in battle array::(军队)列成战阵的，进入战斗序列的¦two-dimensional array::二维阵列；二维数组¦square array::方格；方陈列	make-up arrayed on the bathroom counter::盥洗台上摆放整齐的化妆品¦We visited the local markets and saw wonderful arrays of fruit and vegetables.::我们参观了当地的市场，看到了漂亮地摆放着的水果蔬菜。
diversion	dəˈvɝʒən; dəˈvɝʃən; daɪˈvɝʒən; daɪˈvɝʃən	daɪ'vɜːʃ(ə)n; dɪ-	n::转移；改道；娱乐	south-to-north water diversion::南水北调¦diversion tunnel::导流洞；导流隧洞¦river diversion::导流；河流改道¦trade diversion::贸易转移，贸易转向；贸易多样化¦diversion channel::分水渠，泄水渠	A slight diversion in the road is causing major headaches for businesses along El Camino Real.::马路上的一小段绕行道让国王大道沿街的商家十分头疼。¦The party will make a pleasant diversion.::晚会会是个很不错的消遣。
convert	kən'vɝt	kən'vɜːt	v::转变，改变，变换	convert into::使转变；把…转化成；折合	a 19th-century converted barn::由19世纪谷仓改建的房子
