revolt	n. 反抗；造反，起义 v. 起义；反抗
chain	n. 链；束缚；枷锁 v. 束缚；囚禁；用铁链锁住
painful	adj. 痛苦的；疼痛的；令人不快的
enlarge	v. 扩大；放大；详述
shoulder	n. 肩，肩膀；肩部 v. 肩负，承担
tentative	adj. 试验性的，暂定的；踌躇的 n. 假设，试验
odd	adj. 奇数的；古怪的；剩余的；临时的；零散的 n. 奇数；怪人；奇特的事物
statesman	n. 政治家；国务活动家
abandon	n. 放任；狂热 v. 遗弃；放弃
correlate	v. 关联 n. 相关物；相关联的人 adj. 关联的
differ	v. 使…相异；使…不同 n. (Differ)人名；(法)迪费
certainly	adv. 当然；行（用于回答）；必定
heavy	adj. 沉重的；繁重的，巨大的；拥挤的；阴沉的 n. 重物；严肃角色 adv. 大量地；笨重地
durable	adj. 耐用的，持久的 n. 耐用品
prevail	v. 盛行，流行；战胜，获胜
ambition	n. 野心，雄心；抱负，志向 v. 追求；有…野心
honor	n. 荣誉；信用；头衔 v. 尊敬（等于honour）；给…以荣誉
split	v. 分离；使分离；劈开；离开；分解 n. 劈开；裂缝 adj. 劈开的
index	n. 指标；指数；索引；指针 v. 做索引
foreign	adj. 外国的；外交的；异质的；不相关的
supply	n. 供给，补给；供应品 v. 供给，提供；补充
disposition	n. 处置；[心理] 性情；[军] 部署；倾向
rain	n. 雨；下雨；雨天；雨季 v. 下雨；降雨
consent	v. 同意；赞成；答应 n. 同意；（意见等的）一致；赞成
unity	n. 团结；一致；联合；个体
sober	adj. 冷静的，清醒的；未醉的 v. 使严肃；使醒酒，使清醒 n. (Sober)人名；(英)索伯
housing	n. 房屋；住房供给；[机] 外壳；遮盖物；机器等的防护外壳或外罩
table	n. 桌子；表格；平地层 v. 制表；搁置；嵌合 adj. 桌子的
recur	v. 复发；重现；采用；再来；循环；递归
programme	n. 计划，规划；节目；程序 v. 编程序；制作节目
palace	n. 宫殿；宅邸；豪华住宅
caution	n. 小心，谨慎；警告，警示 v. 警告
moderate	adj. 稳健的，温和的；适度的，中等的；有节制的 v. 变缓和，变弱
nonetheless	adv. 尽管如此，但是
channel	v. 引导，开导；形成河道 n. 通道；频道；海峡
unfold	v. 打开；呈现
partly	adv. 部分地；在一定程度上
emphasis	n. 重点；强调；加强语气
turbulent	adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
compensation	n. 补偿；报酬；赔偿金
client	n. [经] 客户；顾客；委托人
rally	v. 团结；重整；恢复；（网球等）连续对打 n. 集会；回复；公路赛车会
lab	n. 实验室，研究室
feeble	adj. 微弱的，无力的；虚弱的；薄弱的
appearance	n. 外貌，外观；出现，露面
announce	v. 宣布；述说；预示；播报
clean	adj. 清洁的，干净的；清白的 v. 使干净 adv. 完全地 n. 打扫
consist	v. 由…组成；在于；符合
condemn	v. 谴责；判刑，定罪；声讨
aspire	v. 渴望；立志；追求
evident	adj. 明显的；明白的
sunday	n. 星期日；礼拜日
fitting	n. 装配，装置；试穿，试衣 adj. 适合的，适宜的；相称的
comply	v. 遵守；顺从，遵从；答应
render	v. 致使；提出；实施；着色；以…回报 n. 打底；交纳；粉刷
percentage	n. 百分比；百分率，百分数
existence	n. 存在，实在；生存，生活；存在物，实在物
participant	adj. 参与的；有关系的 n. 参与者；关系者
limitation	n. 限制；限度；极限；追诉时效；有效期限；缺陷
trap	v. 诱捕；使…受限制；使…陷入困境 n. 陷阱；圈套；[建] 存水湾
stable	n. 马厩；牛棚 adj. 稳定的；牢固的；坚定的 v. 被关在马厩
purpose	n. 目的；用途；意志 v. 决心；企图；打算
pool	n. 联营；撞球；水塘；共同资金 v. 联营，合伙经营
senator	n. 参议员；（古罗马的）元老院议员；评议员，理事
hospital	n. 医院
lounge	n. 休息室；闲逛；躺椅；（英）酒吧间 v. 闲逛；懒洋洋地躺卧；闲混
numerical	adj. 数值的；数字的；用数字表示的（等于numeric）
evaluate	v. 评价；估价；求…的值
fashion	n. 时尚；时装；样式；时髦人物 v. 使用；改变；做成…的形状
realise	v. 认识到，明白
marriage	n. 结婚；婚姻生活；密切结合，合并
credit	n. 信用，信誉；[金融] 贷款；学分；信任；声望 v. 相信，信任；把…归给，归功于；赞颂
transition	n. 过渡；转变；[分子生物] 转换；变调
disaster	n. 灾难，灾祸；不幸
reverse	n. 背面；相反；倒退；失败 v. 颠倒；倒转 adj. 反面的；颠倒的；反身的
institute	v. 开始（调查）；制定；创立；提起（诉讼） n. 学会，协会；学院
confirm	v. 确认；确定；证实；批准；使巩固
confine	n. 界限，边界;约束；限制 v. 限制；禁闭
frame	n. 框架；结构；[电影] 画面 v. 设计；建造；陷害；使…适合 adj. 有木架的；有构架的
cent	n. 分；一分的硬币；森特（等于半音程的百分之一）
muscle	n. 肌肉；力量 v. 加强；使劲搬动；使劲挤出
mature	adj. 成熟的；充分考虑的；到期的；成年人的 v. 成熟；到期
physician	n. [医] 医师；内科医师
identity	n. 身份；同一性，一致；特性；恒等式
amaze	v. 使吃惊
reduction	n. 减少；下降；缩小；还原反应
shark	n. 鲨鱼；骗子 v. 诈骗
massive	adj. 大量的；巨大的，厚重的；魁伟的
steady	adj. 稳定的；不变的；沉着的 v. 稳固 adv. 稳定地；稳固地 n. 关系固定的情侣；固定支架
literacy	n. 读写能力；精通文学
ignorance	n. 无知，愚昧；不知，不懂
invisible	adj. 无形的，看不见的；无形的；不显眼的，暗藏的
consultant	n. 顾问；咨询者；会诊医生
suspend	v. 延缓，推迟；使暂停；使悬浮
infant	n. 婴儿；幼儿；未成年人 adj. 婴儿的；幼稚的；初期的；未成年的
jaw	n. 颌；下巴；狭窄入口；唠叨 v. 教训；唠叨
column	n. 纵队，列；专栏；圆柱，柱形物
deduce	v. 推论，推断；演绎出
fuel	v. 得到燃料 n. 燃料；刺激因素
suspicious	adj. 可疑的；怀疑的；多疑的
embody	v. 体现，使具体化；具体表达 n. (Embody)人名；(英)恩博迪
hamburger	n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
embark	v. 从事，着手；上船或飞机
road	n. 公路，马路；道路；手段 vt. （狗）沿臭迹追逐（猎物） adj. （美）巡回的
jog	v. 慢跑；轻推；蹒跚行进；使颠簸 n. 慢跑；轻推，轻撞
shortcoming	n. 缺点；短处
analyse	v. 分析；分解；细察
telephone	n. （美）电话；电话机；电话耳机 v. 打电话
calorie	n. 卡路里（热量单位）
poisonous	adj. 有毒的；恶毒的；讨厌的
vain	adj. 徒劳的；自负的；无结果的；无用的
interference	n. 干扰，冲突；干涉
violent	adj. 暴力的；猛烈的
instrument	n. 仪器；工具；乐器；手段；器械
clinic	n. 临床；诊所
shelter	n. 庇护；避难所；遮盖物 v. 保护；使掩蔽
charter	v. 特许；包租；发给特许执照 n. 宪章；执照；特许状
republican	adj. 共和国的；共和政体的；共和主义的；拥护共和政体的 n. 共和主义者
minimum	n. 最小值；最低限度；最小化；最小量 adj. 最小的；最低的
absolute	adj. 绝对的；完全的；专制的 n. 绝对；绝对事物
negligible	adj. 微不足道的，可以忽略的
emergency	n. 紧急情况；突发事件；非常时刻 adj. 紧急的；备用的
curious	adj. 好奇的，有求知欲的；古怪的；爱挑剔的
declaration	n. （纳税品等的）申报；宣布；公告；申诉书
spark	n. 火花；朝气；闪光 v. 发动；鼓舞；求婚
cast	v. 投，抛；计算；浇铸；投射（光、影、视线等） n. 投掷，抛；铸件，[古生] 铸型；演员阵容；脱落物
cash	n. 现款，现金 v. 将…兑现；支付现款
thumb	v. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄 n. 拇指
garment	n. 衣服，服装；外表，外观 v. 给…穿衣服
undoubtedly	adv. 确实地，毋庸置疑的
strength	n. 力量；力气；兵力；长处
confusion	n. 混淆，混乱；困惑
saturate	v. 浸透，使湿透；使饱和，使充满 adj. 浸透的，饱和的；深颜色的
visual	adj. 视觉的，视力的；栩栩如生的
stream	n. 溪流；流动；潮流；光线 v. 流；涌进；飘扬
backward	adj. 向后的；反向的；发展迟缓的 adv. 向后地；相反地
assembly	n. 装配；集会，集合
resolve	v. 决定；溶解；使…分解；决心要做… n. 坚决；决定要做的事
coordinate	n. 坐标；同等的人或物 adj. 并列的；同等的 v. 调整；整合
remind	v. 提醒；使想起
purse	n. (女士)手提袋；(国家、家庭、团体等的) 财力 v. （嘴巴）皱起，使缩拢；撅嘴
cake	n. 蛋糕；块状物；利益总额 v. 使结块
hearing	n. 听力；审讯，听讯 v. 听见（hear的ing形式）
dissolve	v. 使溶解；使分解；使液化 n. 叠化画面；画面的溶暗
calm	adj. 静的，平静的；沉着的 v. 使平静；使镇定 n. 风平浪静
equality	n. 平等；相等；[数] 等式
glare	n. 刺眼；耀眼的光；受公众注目 v. 瞪眼表示
deprive	v. 使丧失，剥夺
fume	v. 冒烟；发怒 n. 烟；愤怒，烦恼
preface	n. 前言；引语 v. 为…加序言；以…开始
convention	n. 大会；[法] 惯例；[计] 约定；[法] 协定；习俗
soar	v. 高飞；高耸；往上飞舞 n. 高飞；高涨
boat	n. 小船；轮船 v. 划船
canal	n. 运河；[地理] 水道；[建] 管道；灌溉水渠 v. 在…开凿运河
bound	adj. 有义务的；必定的；受约束的；装有封面的 v. 束缚；使跳跃 n. 范围；跳跃
edition	n. 版本
rocket	v. 飞驰，飞快地移动；迅速增加 n. 火箭
fleet	adj. 快速的，敏捷的 n. 舰队；港湾；小河 v. 飞逝；疾驰；掠过
oral	adj. 口头的，口述的 n. 口试
imitation	n. 模仿，仿造；仿制品 adj. 人造的，仿制的
walk	n. 步行，走；散步 v. 散步；走过
convenience	n. 便利；厕所；便利的事物
accuracy	n. [数] 精确度，准确性
instruct	v. 指导；通知；命令；教授
childhood	n. 童年时期；幼年时代
civilize	v. 使文明；教化；使开化
esteem	v. 尊敬；认为；考虑；估价 n. 尊重；尊敬
diligent	adj. 勤勉的；用功的，费尽心血的 n. (Diligent)人名；(法)迪利让
reception	n. 接待；接收；招待会；感受；反应
constitute	v. 组成，构成；建立；任命
invitation	n. 邀请；引诱；请帖；邀请函
bore	v. 钻孔 n. 孔；令人讨厌的人
intrinsic	adj. 本质的，固有的
surplus	n. 剩余；[贸易] 顺差；盈余；过剩 adj. 剩余的；过剩的
mixture	n. 混合；混合物；混合剂
confer	v. 授予；给予 n. (Confer)人名；(英)康弗
worthy	adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的 n. 杰出人物；知名人士
practitioner	n. 开业者，从业者，执业医生
empirical	adj. 经验主义的，完全根据经验的；实证的
engineering	n. 工程，工程学 v. 设计；管理（engineer的ing形式）；建造
illiterate	adj. 文盲的；不识字的；没受教育的 n. 文盲
abundant	adj. 丰富的；充裕的；盛产
distort	v. 扭曲；使失真；曲解
whisper	n. 私语；谣传；飒飒的声音 v. 耳语；密谈；飒飒地响
typewriter	n. 打字机
memorial	n. 纪念碑，纪念馆；纪念仪式；纪念物 adj. 记忆的；纪念的，追悼的
ward	n. 病房；保卫；监视 v. 避开；保卫；守护
flesh	n. 肉；肉体 v. 喂肉给…；使发胖
steal	v. 剽窃；偷偷地做；偷窃 n. 偷窃；便宜货；偷垒；断球
stun	v. 使震惊；打昏；给以深刻的印象 n. 昏迷；打昏；惊倒；令人惊叹的事物
ponder	v. 仔细考虑；衡量 n. (Ponder)人名；(英)庞德
accuse	v. 控告，指控；谴责；归咎于
sportsman	n. 运动员；运动家；冒险家
boot	v. 引导；踢；解雇；使穿靴 n. 靴子；踢；汽车行李箱
steep	adj. 陡峭的；不合理的；夸大的；急剧升降的 v. 泡；浸；使…充满 n. 峭壁；浸渍
manual	adj. 手工的；体力的 n. 手册，指南
steer	v. 控制，引导；驾驶 n. 阉牛
pencil	n. 铅笔；笔状物 v. 用铅笔写；用眉笔涂
sequence	n. [数][计] 序列；顺序；续发事件 v. 按顺序排好
broadcast	v. 播送，播放；（无线电或电视）广播；播撒（种子） n. 广播；播音；广播节目 adj. 广播的
aboard	adv. 在飞机上；[船] 在船上；在火车上 prep. 在…上
perfection	n. 完善；完美
pilot	n. 飞行员；领航员 adj. 试点的 v. 驾驶；领航；试用
package	n. 包，包裹；套装软件，[计] 程序包 adj. 一揽子的 v. 打包；将…包装
gallery	n. 画廊；走廊；旁听席；地道 vt. 在…修建走廊；在…挖地道 vi. 挖地道
finance	n. 财政，财政学；金融 v. 负担经费，供给…经费
fatal	adj. 致命的；重大的；毁灭性的；命中注定的 n. (Fatal)人名；(葡、芬)法塔尔
incidentally	adv. 顺便；偶然地；附带地
dinner	n. 晚餐，晚宴；宴会；正餐
east	n. 东方；东风；东方国家 adj. 东方的；向东的；从东方来的 adv. 向东方，在东方
enrich	v. 使充实；使肥沃；使富足 n. (Enrich)人名；(西)恩里奇
nice	adj. 精密的；美好的；细微的；和蔼的 n. (Nice)人名；(英)尼斯
doze	v. 打瞌睡；假寐 n. 瞌睡
blood	n. 血，血液；血统 v. 从…抽血；使先取得经验
fashionable	adj. 流行的；时髦的；上流社会的
theft	n. 盗窃；偷；赃物
extinct	adj. 灭绝的，绝种的；熄灭的 vt. 使熄灭
prolong	v. 延长；拖延
formation	n. 形成；构造；编队
disperse	v. 分散；使散开；传播 adj. 分散的
initiate	v. 开始，创始；发起；使初步了解 n. 开始；新加入者，接受初步知识者 adj. 新加入的；接受初步知识的
shadow	n. 阴影；影子；幽灵；庇护；隐蔽处 v. 遮蔽；使朦胧；尾随；预示 adj. 影子内阁的
laptop	n. 膝上型轻便电脑，笔记本电脑
block	n. 块；街区；大厦；障碍物 v. 阻止；阻塞；限制；封盖 adj. 成批的，大块的；交通堵塞的
delete	v. 删除
mystery	n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
disguise	v. 掩饰；假装；隐瞒 n. 伪装；假装；用作伪装的东西
july	n. 七月
swing	n. 摇摆；摆动；秋千；音律；涨落 v. 摇摆；转向；悬挂；大摇大摆地行走 adj. 旋转的；悬挂的；强节奏爵士音乐的
enterprise	n. 企业；事业；进取心；事业心
strip	v. 剥夺；剥去；脱去衣服 n. 带；条状；脱衣舞
june	n. 六月；琼（女名）
complicated	adj. 难懂的，复杂的
orderly	adj. 有秩序的；整齐的；值班的 n. 勤务兵；传令兵；护理员 adv. 顺序地；依次地
acceptance	n. 接纳；赞同；容忍
grandmother	n. 祖母；女祖先 vt. 当…的祖母 vi. 当祖母
tower	n. 塔；高楼；堡垒 v. 高耸；超越
organ	n. [生物] 器官；机构；风琴；管风琴；嗓音
river	n. 河，江
arrogant	adj. 自大的，傲慢的
deem	v. 认为，视作；相信 n. (Deem)人名；(英)迪姆
deep	n. 深处；深渊 adj. 深的；低沉的；深奥的 adv. 深入地；深深地；迟
favorable	adj. 有利的；良好的；赞成的，赞许的；讨人喜欢的
harness	v. 治理；套；驾驭；披上甲胄；利用 n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
breast	n. 乳房，胸部；胸怀；心情 v. 以胸对着；与…搏斗
excellent	adj. 卓越的；极好的；杰出的
handsome	adj. （男子）英俊的；可观的；大方的，慷慨的；健美而端庄的
wallet	n. 钱包，皮夹
dock	n. 码头；船坞；被告席；尾巴的骨肉部分 v. 使靠码头；剪短
dignity	n. 尊严；高贵
suggestion	n. 建议；示意；微量，细微的迹象
therapy	n. 治疗，疗法
enforce	v. 实施，执行；强迫，强制
depress	v. 压抑；使沮丧；使萧条
restraint	n. 抑制，克制；约束
sample	v. 取样；尝试；抽样检查 n. 样品；样本；例子 adj. 试样的，样品的；作为例子的
crab	n. 螃蟹；蟹肉；脾气乖戾的人；起重机 v. 抱怨；破坏；使偏航
privilege	n. 特权；优待 v. 给与…特权；特免
doom	n. 厄运；死亡；判决；世界末日 v. 注定；判决；使失败
tuition	n. 学费；讲授
cliff	n. 悬崖；绝壁
abide	v. 忍受，容忍；停留；遵守
masterpiece	n. 杰作；绝无仅有的人
route	v. 按某路线发送 n. 路线；航线；通道
recognition	n. 识别；承认，认出；重视；赞誉；公认
eminent	adj. 杰出的；有名的；明显的
glance	n. 一瞥；一滑；闪光 v. 扫视，匆匆一看；反光；瞥闪，瞥见
endure	v. 忍耐；容忍
insight	n. 洞察力；洞悉
continent	n. 大陆，洲，陆地 adj. 自制的，克制的
defy	v. 藐视；公然反抗；挑衅；使落空 n. 挑战；对抗
spot	n. 地点；斑点 v. 认出；弄脏；用灯光照射 adj. 现场的；现货买卖的 adv. 准确地；恰好
knee	n. 膝盖，膝 v. 用膝盖碰
cling	v. 坚持，墨守；紧贴；附着
hop	v. 单足跳跃〔跳行〕 n. 蹦跳,跳跃；跳舞；一次飞行的距离
climb	v. 爬；攀登；上升 n. 爬；攀登
denote	v. 表示，指示
discourse	n. 论述；谈话；演讲 v. 演说；谈论；讲述
facilitate	v. 促进；帮助；使容易
reasonable	adj. 合理的，公道的；通情达理的
tv	abbr. 电视（television）
messenger	n. 报信者，送信者；先驱
signify	v. 表示；意味；预示
palm	n. 手掌；棕榈树；掌状物 v. 将…藏于掌中
birthday	n. 生日，诞辰；诞生的日子
liberty	n. 自由；许可；冒失
pant	v. 喘息；渴望；气喘吁吁地说出某事 n. 气喘；喘息；喷气声
perpetual	adj. 永久的；不断的；四季开花的；无期限的
acquaintance	n. 熟人；相识；了解；知道
energetic	adj. 精力充沛的；积极的；有力的
clarify	v. 澄清；阐明
essay	n. 散文；试图；随笔 v. 尝试；对…做试验
extinguish	v. 熄灭；压制；偿清
viewpoint	n. 观点，看法；视角
pair	n. 一对，一双，一副 v. 把…组成一对
alive	adj. 活着的；活泼的；有生气的
refusal	n. 拒绝；优先取舍权；推却；取舍权
consideration	n. 考虑；原因；关心；报酬
push	v. 推动，增加；对…施加压力，逼迫；按；说服 n. 推，决心；大规模攻势；矢志的追求
repertoire	n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
urgent	adj. 紧急的；急迫的
incentive	n. 动机；刺激 adj. 激励的；刺激的
banquet	n. 宴会，盛宴；宴请，款待 v. 宴请，设宴款待
vivid	adj. 生动的；鲜明的；鲜艳的
pessimistic	adj. 悲观的，厌世的；悲观主义的
luck	n. 运气；幸运；带来好运的东西 v. 靠运气，走运；凑巧碰上
borrow	v. 借；借用；从其他语言中引入 n. (Borrow)人名；(英)博罗
fascinate	v. 使着迷，使神魂颠倒
surgeon	n. 外科医生
inside	n. 里面；内部；内情；内脏 adj. 里面的；内部的；秘密的 adv. 在里面 prep. 少于；在…之内
reporter	n. 记者
mechanical	adj. 机械的；力学的；呆板的；无意识的；手工操作的
formidable	adj. 强大的；可怕的；令人敬畏的；艰难的
clue	n. 线索；（故事等的）情节 v. 为…提供线索；为…提供情况
retreat	n. 撤退；休息寓所；撤退 v. 撤退；退避；向后倾
punch	n. 冲压机；打洞器；钻孔机 v. 开洞；以拳重击
dictate	v. 命令；口述；使听写 n. 命令；指示
dress	v. 给…穿衣 n. 连衣裙；女装
penny	n. （美）分；便士
monotonous	adj. 单调的，无抑扬顿挫的；无变化的
relevant	adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
lonely	adj. 寂寞的；偏僻的 n. 孤独者
luxury	n. 奢侈，奢华；奢侈品；享受 adj. 奢侈的
anxious	adj. 焦虑的；担忧的；渴望的；急切的
eve	n. 夏娃； 前夕；傍晚；重大事件关头
tissue	n. 组织；纸巾；薄纱；一套 v. 饰以薄纱；用化妆纸揩去
likelihood	n. 可能性，可能
foresee	v. 预见；预知
bewilder	v. 使迷惑，使不知所措
glue	v. 粘合；似胶般固着于 n. 胶；各种胶合物
repeatedly	adv. 反复地；再三地；屡次地
cloak	n. 斗蓬；宽大外衣；托词 v. 遮掩；隐匿
era	n. 时代；年代；纪元
grateful	adj. 感谢的；令人愉快的，宜人的
multiple	adj. 多重的；多样的；许多的 n. 倍数；[电] 并联
multiply	v. 乘；使增加；使繁殖；使相乘 adv. 多样地；复合地 adj. 多层的；多样的
representative	adj. 典型的，有代表性的；代议制的 n. 代表；典型；众议员
ferry	n. 渡船；摆渡；渡口 v. （乘渡船）渡过；用渡船运送；空运
lodge	n. 旅馆；门房；集会处；山林小屋 v. 提出；寄存；借住；嵌入
solid	adj. 固体的；可靠的；立体的；结实的；一致的 n. 固体；立方体
satisfaction	n. 满意，满足；赔偿；乐事；赎罪
readily	adv. 容易地；乐意地；无困难地
observation	n. 观察；监视；观察报告
mask	n. 面具；口罩；掩饰 v. 掩饰；戴面具；化装
skip	v. 跳跃；跳绳；遗漏；跳读 n. 跳跃；跳读
presently	adv. （美）目前；不久
attribute	n. 属性；特质 v. 归属；把…归于
adolescent	adj. 青春期的；未成熟的 n. 青少年
vision	n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄） vt. 想象；显现；梦见
tense	adj. 紧张的；拉紧的 v. 变得紧张；使拉紧 n. 时态
amuse	v. 娱乐；消遣；使发笑；使愉快
protein	n. 蛋白质；朊 adj. 蛋白质的
ordinary	adj. 普通的；平凡的；平常的 n. 普通；平常的人（或事）
stake	n. 桩，棍子；赌注；火刑；奖金 v. 资助，支持；系…于桩上；把…押下打赌
division	n. [数] 除法；部门；分配；分割；师（军队）；赛区
accommodate	v. 容纳；使适应；供应；调解
swamp	n. 沼泽；湿地 v. 使陷于沼泽；使沉没；使陷入困境
stain	v. 沾污；败坏；给…着色 n. 污点；瑕疵；着色剂
wealthy	adj. 富有的；充分的；丰裕的 n. 富人
grave	adj. 重大的；严肃的；黯淡的 n. 墓穴，坟墓；死亡 v. 雕刻；铭记
reflection	n. 反射；沉思；映象
wit	n. 智慧；才智；智力 v. <古>知道；即
fragment	n. 碎片；片断或不完整部分 v. 使成碎片
mission	n. 使命，任务；代表团；布道 vt. 派遣；向……传教
impose	v. 利用；欺骗；施加影响
screen	n. 屏，幕；屏风 v. 筛；拍摄；放映；掩蔽
prime	adj. 主要的；最好的；基本的 adv. 极好地 n. 初期；青年；精华；全盛时期 v. 使准备好；填装
underestimate	v. 低估；看轻 n. 低估
residence	n. 住宅，住处；居住
fabricate	v. 制造；伪造；装配
location	n. 位置（形容词locational）；地点；外景拍摄场地
revolve	v. 旋转；循环出现；反复考虑 n. 旋转；循环；旋转舞台
manufacture	n. 制造；产品；制造业 v. 制造；加工；捏造
dust	n. 灰尘；尘埃；尘土 v. 撒；拂去灰尘
army	n. 陆军，军队
tailor	v. 剪裁；使合适 n. 裁缝
retrospect	n. 回顾，追溯 v. 回顾，追溯；回想
instinct	n. 本能，直觉；天性 adj. 充满着的
neighborhood	n. 附近；街坊；接近；街区
copyright	n. 版权，著作权 adj. 版权的；受版权保护的 v. 保护版权；为…取得版权
discard	v. 抛弃；放弃；丢弃 n. 抛弃；被丢弃的东西或人
fur	n. 皮，皮子；毛皮；软毛 v. 用毛皮覆盖；使穿毛皮服装
hair	n. 头发；毛发；些微 vt. 除去…的毛发 vi. 生长毛发；形成毛状纤维 adj. 毛发的；护理毛发的；用毛发制成的
explosion	n. 爆炸；爆发；激增
anger	n. 怒，愤怒；忿怒 v. 使发怒，激怒；恼火
dumb	adj. 哑的，无说话能力的；不说话的，无声音的
geography	n. 地理；地形
clip	n. （塑料或金属的）夹子；回纹针；修剪；剪报 v. 剪；剪掉；缩短；给…剪毛（或发）用别针别在某物上，用夹子夹在某物上
indispensable	adj. 不可缺少的；绝对必要的；责无旁贷的 n. 不可缺少之物；必不可少的人
nest	n. 巢，窝；安乐窝；温床 v. 筑巢；嵌套
grain	n. 粮食；颗粒；[作物] 谷物；纹理 v. 成谷粒
guilty	adj. 有罪的；内疚的
compile	v. 编译；编制；编辑；[图情] 汇编
visitor	n. 访问者，参观者；视察者；候鸟
fog	n. 雾；烟雾，尘雾；迷惑 v. 使模糊；使困惑；以雾笼罩
cloud	n. 云；阴云；云状物；一大群；黑斑 v. 使混乱；以云遮敝；使忧郁；玷污
lump	n. 块，块状；肿块；瘤；很多；笨人 v. 混在一起；使成块状；忍耐；笨重地移动 adj. 成团的；总共的 adv. 很；非常
dialect	n. 方言，土话；同源语；行话；个人用语特征 adj. 方言的
restrict	v. 限制；约束；限定
pepper	n. 胡椒；辣椒；胡椒粉 v. 加胡椒粉于；使布满
film	n. 电影；薄膜；胶卷；轻烟 v. 在…上覆以薄膜；把…拍成电影
cherry	n. 樱桃；樱桃树；如樱桃的鲜红色；处女膜，处女
outer	adj. 外面的，外部的；远离中心的 n. 环外命中
pants	n. 裤子
float	v. 使漂浮；实行 n. 彩车，花车；漂流物；浮舟；浮萍
parade	n. 游行；阅兵；炫耀；行进；阅兵场 v. 游行；炫耀；列队行进
pocket	n. 口袋；钱；容器 v. 隐藏；忍受；将…放入衣袋 adj. 小型的，袖珍的；金钱上的
till	n. [地理][水文] 冰碛；放钱的抽屉；备用现金 prep. 直到 conj. 直到为止 v. 耕种；犁
elegant	adj. 高雅的，优雅的；讲究的；简炼的；简洁的
competent	adj. 胜任的；有能力的；能干的；足够的
dam	v. 控制；筑坝 n. [水利] 水坝；障碍
deteriorate	v. 恶化，变坏
coal	v. 上煤；加煤 n. 煤；煤块；木炭
complaint	n. 抱怨；诉苦；疾病；委屈
photo	n. 照片
orient	v. 使适应；确定方向；使朝东 n. 东方；东方诸国 adj. 东方的
bind	v. 结合；装订；有约束力；过紧 n. 捆绑；困境；讨厌的事情；植物的藤蔓
perish	v. 使麻木；毁坏
refresh	v. 更新；使……恢复；使……清新；消除……的疲劳
pledge	n. 保证，誓言；抵押；抵押品，典当物 v. 保证，许诺；用……抵押；举杯祝……健康
probability	n. 可能性；机率；[数] 或然率
primitive	adj. 原始的，远古的；简单的，粗糙的 n. 原始人
hole	n. 洞，孔；洞穴，穴；突破口 v. 凿洞，穿孔；（高尔夫球等）进洞
peaceful	adj. 和平的，爱好和平的；平静的
dozen	n. 十二个，一打 adj. 一打的
robot	n. 机器人；遥控设备，自动机械；机械般工作的人
frequent	adj. 频繁的；时常发生的；惯常的 v. 常到，常去；时常出入于
extraordinary	adj. 非凡的；特别的；离奇的；临时的；特派的
conversely	adv. 相反地
census	v. 实施统计调查 n. 人口普查，人口调查
assist	n. 帮助；助攻 v. 参加；出席
tire	v. 疲劳；厌倦 n. 轮胎；头饰
winter	n. 冬季；年岁；萧条期 v. 过冬 adj. 冬天的；越冬的
depict	v. 描述；描画
dentist	n. 牙科医生
copy	v. 复制；复印；抄袭 n. 副本；一册；摹仿
cook	v. 烹调，煮 n. 厨师，厨子
hamper	v. 妨碍；束缚；使困累 n. 食盒，食篮；阻碍物
packet	n. 数据包，信息包；小包，小捆 vt. 包装，打包
startle	v. 使吓一跳；使惊奇 n. 惊愕；惊恐
goodness	int. 天哪 n. 善良，优秀 ；精华，养分
lifetime	n. 一生；寿命；终生；使用期 adj. 一生的；终身的
defend	v. 辩护；防护
period	n. 周期，期间；时期；月经；课时；（语法学）句点，句号 adj. 某一时代的
summarize	v. 总结；概述
core	n. 核心；要点；果心；[计] 磁心 v. 挖的核
assign	v. 分配；指派；[计][数] 赋值
loyalty	n. 忠诚；忠心；忠实；忠于…感情
nightmare	n. 恶梦；梦魇般的经历 adj. 可怕的；噩梦似的
dislike	v. 不喜欢，厌恶 n. 嫌恶，反感，不喜爱
nurture	v. 养育；鼓励；培植 n. 养育；教养；营养物
transplant	v. 移植；迁移；使移居 n. 移植；移植器官；被移植物；移居者
phone	n. 电话；耳机，听筒 v. 打电话
saturday	n. 星期六
genius	n. 天才，天赋；精神
suite	n. （一套）家具；套房；组曲；（一批）随员，随从
protest	v. 抗议；断言 n. 抗议 adj. 表示抗议的；抗议性的
convert	v. 使转变；转换…；使…改变信仰 n. 皈依者；改变宗教信仰者
afterward	adv. 以后，后来
principal	adj. 主要的；资本的 n. 首长；校长；资本；当事人
universe	n. 宇宙；世界；领域
withstand	v. 抵挡；禁得起；反抗
studio	n. 工作室；[广播][电视] 演播室；画室；电影制片厂
