pharmacy	n. 药房；配药学，药剂学；制药业；一批备用药品
equilateral	adj. 等边的；等面的 n. 等边形
surety	n. 担保；保证；保证人
theoretical	adj. 理论的；理论上的；假设的；推理的
annotate	v. 注释；给…作注释或评注
replete	adj. 充满的；装满的 n. [昆] 贮蜜蚁
chaste	adj. 纯洁的；贞洁的；有道德的；朴素的 n. (Chaste)人名；(法)沙斯特
laudatory	adj. 赞美的；赞赏的；称赞的
tenure	n. 任期；占有 v. 授予…终身职位
colloquialism	n. 白话，口语；口语体；方言用语
forgo	v. 放弃；停止；对…断念
resplendent	adj. 光辉的；华丽的
eternal	adj. 永恒的；不朽的
suffuse	v. 充满；弥漫
bereave	v. 使……失去；使……孤寂
recessive	adj. 隐性的；逆行的；后退的 n. 隐性性状
lobby	n. 大厅；休息室；会客室；游说议员的团体 v. 对……进行游说
clockwise	adv. 顺时针方向地 adj. 顺时针方向的
verify	v. 核实；查证
sequent	adj. 连续的；其次的；作为结果而产生的 n. 结果；相继发生的事
assonate	v. （使）音相谐，（使）成为准押韵
involve	v. 包含；牵涉；使陷于；潜心于
nuclei	n. 核心，核子；原子核（nucleus的复数形式）
highlight	v. 突出；强调；使显著；加亮 n. 最精彩的部分；最重要的事情；加亮区
singe	v. 烧焦；烤焦 n. 烧焦；烤焦
sensor	n. 传感器
grandiloquent	adj. 夸张的；夸大的；大言不惭的
authenticity	n. 真实性，确实性；可靠性
reagent	n. [试剂] 试剂；反应物
fortify	v. 加强；增强；（酒）的酒精含量；设防于
desperate	adj. 不顾一切的；令人绝望的；极度渴望的
mechanics	n. 力学（用作单数）；结构；技术；机械学（用作单数）
nullify	v. 使无效，作废；取消
ambulate	v. 走动；步行；移动
canto	n. 篇；曲调；长诗的篇章
isolate	v. 使隔离；使孤立；使绝缘 n. [生物] 隔离种群 adj. 隔离的；孤立的
diagnostic	adj. 诊断的；特征的 n. 诊断法；诊断结论
expedite	v. 加快；促进；发出 adj. 畅通的；迅速的；方便的
potentate	n. 统治者，君主；有权势的人
ban	v. 禁止，取缔 n. 禁令，禁忌
transfer	n. 转让；转移；传递；过户 v. 转让；转学；换车
teem	v. 大量出现；充满 n. (Teem)人名；(英)蒂姆
abscond	v. 逃匿，潜逃；避债
prodigious	adj. 惊人的，异常的，奇妙的；巨大的
predestine	v. 注定
addle	v. 使腐坏；使混乱 adj. 腐坏的；糊涂的，昏乱的
siege	n. 围攻；包围；围城；不断袭击；长期努力 vt. 围攻；包围
pointer	n. 指针；指示器；教鞭；暗示
vegetable	n. 蔬菜；植物；植物人 adj. 蔬菜的；植物的
compensate	v. 补偿，赔偿；抵消
tyro	n. 新手，生手；初学者
gargantuan	adj. 庞大的，巨大的
vicissitude	n. 变迁；盛衰；变化无常；变迁兴衰
anemia	n. 贫血；贫血症
obliterate	v. 消灭；涂去；冲刷；忘掉
tropical	adj. 热带的；热情的；酷热的
bulbous	adj. 球根的；球根状的；由球根生长的（等于bulbaceous）
plea	n. 恳求，请求；辩解，辩护；借口，托辞
vegetative	adj. 植物的；植物人状态的，无所作为的；促使植物生长的；有生长力的
gossip	n. 小道传闻；随笔；爱说长道短的人 v. 闲聊；传播流言蜚语
subscribe	v. 订阅；捐款；认购；赞成；签署
anhydrous	adj. 无水的
arbitrate	v. 仲裁；公断
butt	n. 屁股；烟头；笑柄；靶垛；粗大的一端 v. 以头抵撞；碰撞
bibulous	adj. 吸水的；嗜酒的
hierarchy	n. 层级；等级制度
pea	n. 豌豆
impede	v. 阻碍；妨碍；阻止
exceed	v. 超过；胜过
legible	adj. 清晰的；易读的；易辨认的
sedate	adj. 安静的；沉着的 v. 给…服镇静剂
exclude	v. 排除；排斥；拒绝接纳；逐出
archbishop	n. 大主教；总教主
scuttle	n. 天窗；煤桶；筐 v. 逃避；急促地跑
bestial	adj. 兽性的，卑劣的；残忍的；野蛮的 n. 牛
bucolic	adj. 牧歌的；牧羊的；乡下风味的 n. 田园诗；农夫
exhume	v. 发掘；掘出 n. (Exhume)人名；(法)埃克叙姆
conceivable	adj. 可能的；想得到的，可想像的
reasoning	n. 推理；论证；评理 adj. 推理的 v. 推论；说服（reason的ing形式）
acquittal	n. 赦免；无罪开释；履行；尽职；（债务等的）清偿
enthusiast	n. 狂热者，热心家
sulfur	v. 用硫磺处理 n. 硫磺；硫磺色
mellifluous	adj. 流畅的；如蜜般的
force	n. 力量；武力；军队；魄力 v. 促使，推动；强迫；强加
petrify	v. 石化；惊呆
linguistics	n. 语言学
neology	n. 新词；旧词新义（等于neologism）
onus	n. 责任，义务；负担
misdeed	n. 罪行；犯罪
ecosystem	n. 生态系统
disinfect	v. 将…消毒
glimmer	n. 微光；闪光；少许 v. 闪烁；发微光
vegetation	n. 植被；植物，草木；呆板单调的生活
remainder	n. [数] 余数，残余；剩余物；其余的人 adj. 剩余的；吃剩的 v. 廉价出售；削价出售
affluent	adj. 富裕的；丰富的；流畅的 n. 支流；富人
exact	adj. 准确的，精密的；精确的 v. 要求；强求；急需
disseminate	v. 宣传，传播；散布
fusion	n. 融合；熔化；熔接；融合物；[物] 核聚变
rearrange	v. 重新排列；重新整理
fastidious	adj. 挑剔的；苛求的，难取悦的；（微生物等）需要复杂营养地
subvert	v. 颠覆；推翻；破坏
piteous	adj. 可怜的；哀怨的；慈悲的
gloaming	n. 黄昏；夕幕 v. 日落；天变黑（gloam的现在分词）
detach	v. 分离；派遣；使超然
accredit	v. 授权；信任；委派；归因于
addendum	n. 附录，附件；补遗；附加物
miser	n. 守财奴；吝啬鬼；（石油工程上用的）凿井机
ashen	adj. 灰色的；苍白的
unruly	adj. 不守规矩的；任性的；难驾驭的
profligate	adj. 放荡的，不检点的；恣意挥霍的 n. 放荡者；享乐者
notorious	adj. 声名狼藉的，臭名昭著的
fertilization	n. [农] 施肥；[胚] 受精；肥沃
larvae	n. 幼虫；幼体（larva的复数形式）
animosity	n. 憎恶，仇恨，敌意
profiteer	v. 赚大钱；牟取暴利 n. [贸易] 奸商；牟取暴利的人
coddle	v. 娇养；溺爱（等于mollycoddle）；用文火煮
discredit	v. 不信；使……丢脸 n. 怀疑；无信用；名声的败坏
ambush	n. 埋伏，伏击；伏兵 v. 埋伏，伏击
ribaldry	n. 猥亵的话；粗俗下流的言语
digest	v. 消化；吸收；融会贯通 n. 文摘；摘要
tribute	n. 礼物；[税收] 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
braggart	n. 吹嘘；好自夸者；大言者 adj. 吹牛的；自夸的
tolerate	v. 忍受；默许；宽恕
path	n. 道路；小路；轨道
macrophage	n. [组织] 巨噬细胞
fugacious	adj. 无常的；短暂的；易逃逸的
quantitative	adj. 定量的；量的，数量的
pretentious	adj. 自命不凡的；炫耀的；做作的
subordinate	n. 下属，下级；部属，属下 adj. 从属的；次要的 v. 使……居下位；使……服从
vacuum	n. 真空；空间；真空吸尘器 adj. 真空的；利用真空的；产生真空的 v. 用真空吸尘器清扫
promiscuous	adj. 混杂的；杂乱的 adv. 偶然地；胡乱地
germination	n. 发芽；发生；伟晶作用
despair	n. 绝望；令人绝望的人或事 v. 绝望，丧失信心
avuncular	adj. 伯父的；叔伯的；慈祥的
annual	adj. 年度的；每年的 n. 年刊，年鉴；一年生植物
outlast	v. 比…长久；从…中逃生
agreement	n. 协议；同意，一致
inject	v. 注入；注射
modify	v. 修改，修饰；更改
finch	n. 雀科鸣鸟；雀类
impregnable	adj. 无法攻取的；不受影响的；要塞坚固的；不可受孕的
halve	v. 二等分；把……减半 n. (Halve)人名；(芬)哈尔韦
illuminate	v. 阐明，说明；照亮；使灿烂；用灯装饰
treachery	n. 背叛；变节；背叛行为
enrage	v. 激怒；使暴怒
spore	n. 孢子 vi. 长孢子
competitive	adj. 竞争的；比赛的；求胜心切的
appraise	v. 评价，鉴定；估价
energy	n. [物] 能量；精力；活力；精神
residential	adj. 住宅的；与居住有关的
exterior	adj. 外部的；表面的；外在的 n. 外部；表面；外型；外貌
glorious	adj. 光荣的；辉煌的；极好的
parch	v. 烤，烘；使干透
deluge	n. 洪水；泛滥；暴雨 v. 使泛滥；压倒
temerity	n. 鲁莽，冒失；蛮勇
meritorious	adj. 有功绩的；有价值的；值得称赞的
vaccinate	v. 接种疫苗 n. 被接种牛痘者
quantity	n. 量，数量；大量；总量
nominee	n. 被任命者；被提名的人；代名人
convergence	n. [数] 收敛；会聚，集合
impeccable	adj. 无瑕疵的；没有缺点的
submarine	n. 潜水艇；海底生物 adj. 海底的；水下的 v. 用潜水艇攻击
frowzy	adj. 不整洁的（等于frowsy）；有臭味的；霉臭的
integrate	v. 使…完整；使…成整体；求…的积分；表示…的总和 adj. 整合的；完全的 n. 一体化；集成体
outlive	v. 比…活得长；比…经久；经受住；渡过…而存在
cardinal	n. 红衣主教；枢机主教；鲜红色；【鸟类】(北美)主红雀 adj. 主要的，基本的；深红色的
halcyon	adj. 宁静的；平稳的 n. 翡翠鸟；神翠鸟
consistency	n. [计] 一致性；稠度；相容性
feasible	adj. 可行的；可能的；可实行的
supersede	v. 取代，代替；紧接着……而到来
stanza	n. 演出期；局；场；诗的一节
absurd	adj. 荒谬的；可笑的 n. 荒诞；荒诞作品
intermediate	v. 起媒介作用 adj. 中间的，中级的 n. [化学] 中间物；媒介
secant	adj. 割的；切的；交叉的 n. 割线；正割
penchant	n. 嗜好；倾向
badger	n. 獾；獾皮；（大写）獾州人（美国威斯康星州人的别称）；<动><澳>毛鼻袋熊 v. 纠缠不休；吵着要；烦扰
becalm	v. 使安静；使停滞；因无风而使停航
vacuous	adj. 空的；空虚的；空洞的；无意义的
euphemism	n. 委婉语；委婉说法
permutation	n. [数] 排列；[数] 置换
cataract	n. [眼科] 白内障；大瀑布；暴雨，洪水；奔流 vt. 倾注
tantrum	n. 发脾气；发怒
pheromone	n. 信息素（用于生化领域）；费洛蒙（昆虫分泌以刺激同种昆虫之化合物质）
extinct	adj. 灭绝的，绝种的；熄灭的 vt. 使熄灭
precipice	n. 悬崖；绝壁；险境
complex	adj. 复杂的；合成的 n. 复合体；综合设施
contestant	n. 竞争者；争辩者
intercept	v. 拦截；截断；窃听 n. 拦截；[数] 截距；截获的情报
berate	v. 严责；申斥
genotype	n. 基因型；遗传型
irrelevant	adj. 不相干的；不切题的
beneficiary	n. [金融] 受益人，受惠者；封臣 adj. 拥有封地的；受圣俸的
influential	adj. 有影响的；有势力的 n. 有影响力的人物
aggrieve	v. 使悲痛；冒犯；侵害…的合法权利
proxy	n. 代理人；委托书；代用品
electron	n. 电子
washout	n. 冲刷；失败者
reptile	adj. 爬虫类的；卑鄙的 n. 爬行动物；卑鄙的人
perspire	v. 流汗；分泌；渗出
repress	v. 抑制；镇压（叛乱等）；约束
catalogue	n. 目录；（美）大学情况一览 v. 把…编入目录
deter	v. 制止，阻止；使打消念头 n. (Deter)人名；(德)德特尔
complicity	n. 共谋；串通；共犯关系
idealist	n. 空想家，理想主义者；唯心主义者 adj. 理想主义的；唯心主义的
anesthetic	adj. 麻醉的；感觉缺失的 n. 麻醉剂，麻药
verdant	adj. 青翠的；翠绿的；没有经验的；不老练的 n. (Verdant)人名；(法)韦尔当
allocate	v. 分配；拨出；使坐落于
translucent	adj. 透明的；半透明的
divide	v. 划分；除；分开；使产生分歧 n. [地理] 分水岭，分水线
lurid	adj. 可怕的，耸人听闻的；火烧似的；苍白的；血红的；华丽而庸俗的
optimism	n. 乐观；乐观主义
reckless	adj. 鲁莽的，不顾后果的；粗心大意的 n. (Reckless)人名；(英)雷克利斯
mercurial	adj. 水银的；水星的；墨丘利神的；雄辩机智的；活泼善变的 n. 汞剂；水银剂
relapse	v. 故态复萌；旧病复发；再度堕落；再陷邪道 n. 复发，再发；故态复萌；回复原状
apothecary	n. 药剂师；药师；药材商
rampant	adj. 猖獗的；蔓延的；狂暴的；奔放的 n. (Rampant)人名；(法)朗庞
scholastic	adj. 学校的；学者的；学术的（等于scholastical） n. 学者；学生；墨守成规者；经院哲学家
saponaceous	adj. 圆滑的；肥皂似的；口齿伶俐的
assonant	adj. 类韵的；谐音的
arbitrary	adj. [数] 任意的；武断的；专制的
proportion	n. 比例，占比；部分；面积；均衡 v. 使成比例；使均衡；分摊
crass	adj. 愚钝的；粗鲁的；非常的 n. (Crass)人名；(英)克拉斯
botanical	adj. 植物学的 n. 植物性药材
urine	n. 尿
grief	n. 悲痛；忧伤；不幸
annihilation	n. 灭绝；消灭
audible	adj. 听得见的
bigamist	n. 重婚者
metal	n. 金属；合金 v. 以金属覆盖 adj. 金属制的
humane	adj. 仁慈的，人道的；高尚的
catholicity	n. 普遍性；宽容
acoustic	adj. 声学的；音响的；听觉的 n. 原声乐器；不用电传音的乐器
engender	v. 使产生；造成
idealize	v. 理想化；形成思想
disorient	v. 使…迷惑；使…失去方向感
evoke	v. 引起，唤起；博得
mainstream	n. 主流
belief	n. 相信，信赖；信仰；教义
discontinue	v. 停止；使中止
nucleon	n. [高能] 核子
sensitivity	n. 敏感；敏感性；过敏
dignify	v. 使高贵；增威严；授以荣誉
dividend	n. 红利；股息；[数] 被除数；奖金
prolong	v. 延长；拖延
diplomatic	adj. 外交的；外交上的；老练的
refugee	n. 难民，避难者；流亡者，逃亡者
resourceful	adj. 资源丰富的；足智多谋的；机智的
economic	adj. 经济的，经济上的；经济学的
electrode	n. 顽皮雷弹
difference	n. 差异；不同；争执
nauseous	adj. 令人作呕的；厌恶的
protract	v. 绘制；延长；伸展
inebriate	v. 灌醉；使陶醉；使兴奋 adj. 酒醉的；醉醺醺的；陶醉的 n. 酒鬼；醉汉
myopia	n. [眼科] 近视；目光短浅，缺乏远见
dour	adj. 严厉的；顽强的；阴沉的；不爱讲话的 n. (Dour)人名；(法)杜尔
innovative	adj. 革新的，创新的；新颖的；有创新精神的
penumbra	n. 半影
canon	n. 标准；教规；正典圣经；教士
volt	n. 伏特（电压单位）；环骑；闪避
tangible	adj. 有形的；切实的；可触摸的 n. 有形资产
stability	n. 稳定性；坚定，恒心
autopsy	n. 验尸；[病理][特医] 尸体解剖；[病理][特医] 尸体剖检
foreordain	v. 注定；预定命运
corpse	n. 尸体
midpoint	n. 中点；正中央
quandary	n. 困惑；窘境；为难
transmit	v. 传输；传播；发射；传达；遗传
emit	v. 发出，放射；发行；发表
atonement	n. 赎罪；补偿，弥补
altar	n. 祭坛；圣坛；圣餐台
hoary	adj. 久远的，古老的；灰白的
isothermal	adj. 等温的；等温线的 n. 等温线
corpulent	adj. 肥胖的
interrupt	v. 中断；打断；插嘴；妨碍 n. 中断
immediate	adj. 立即的；直接的；最接近的
complication	n. 并发症；复杂；复杂化；混乱
grandeur	n. 壮丽；庄严；宏伟
altruist	n. 爱他主义者；利他主义者
genetic	adj. 遗传的；基因的；起源的
canny	adj. 精明的，谨慎的；节约的 n. (Canny)人名；(英)坎尼
economical	adj. 经济的；节约的；合算的
wean	v. 使断奶；使断念；使放弃 n. （苏格兰）幼儿
latest	adv. 最迟地；最后地 n. 最新的事物 adj. 最新的，最近的；最迟的，最后的
altruism	n. 利他；利他主义
munificence	n. 慷慨给与；宽宏大量
curve	n. 曲线；弯曲；曲线球；曲线图表 v. 弯；使弯曲 adj. 弯曲的；曲线形的
antagonism	n. 对抗，敌对；对立；敌意
convoluted	adj. 复杂的；费解的；旋绕的 v. 盘绕；缠绕（convolute的过去分词）
polyglot	n. 通晓数种语言的人；用通晓数种语言记载的书 adj. 通数国语言，数国语言的
antagonist	n. 敌手；[解剖] 对抗肌；[生化] 拮抗物；反协同试剂
opaque	adj. 不透明的；不传热的；迟钝的 n. 不透明物 vt. 使不透明；使不反光
initiate	v. 开始，创始；发起；使初步了解 n. 开始；新加入者，接受初步知识者 adj. 新加入的；接受初步知识的
inexplicable	adj. 费解的；无法说明的；不能解释的
glucose	n. 葡萄糖；葡糖（等于dextrose）
perilous	adj. 危险的，冒险的
soporific	n. 催眠剂；安眠药 adj. 催眠的；想睡的
ingredient	n. 原料；要素；组成部分 adj. 构成组成部分的
pithy	adj. 有髓的，多髓的；精练的；简洁有力的
frugal	adj. 节俭的；朴素的；花钱少的
abbey	n. 大修道院，大寺院；修道院中全体修士或修女
refract	v. 使折射
disclose	v. 公开；揭露
comestibles	n. 食物 adj. 可吃的，可食的
undersell	v. 抛售；以低于市价售出
arrear	n. 欠款，逾期债款；待完成的工作
sumptuous	adj. 华丽的，豪华的；奢侈的
mendacious	adj. 虚假的；说谎的
gaiety	n. 快乐，兴高采烈；庆祝活动，喜庆；（服饰）华丽，艳丽
bisect	v. 平分；二等分
alcohol	n. 酒精，乙醇
syndrome	n. [临床] 综合症状；并发症状；校验子；并发位
mediator	n. 调停者；传递者；中介物
radius	n. 半径，半径范围；[解剖] 桡骨；辐射光线；有效航程
invective	adj. 谩骂的；恶言的 n. 恶言漫骂
tonic	n. 补药；主调音或基音 adj. 滋补的；声调的；使精神振作的
loquacious	adj. 饶舌的，多话的
legacy	n. 遗赠，遗产
intrepid	adj. 无畏的；勇敢的；勇猛的
egoism	n. 利己主义，自我主义
trestle	n. [交] 栈桥，高架桥；支架，搁凳
switch	v. 转换；用鞭子等抽打 n. 开关；转换；鞭子
probation	n. 试用；缓刑；查验
bulwark	n. 壁垒；保障；防波堤 v. 保护；筑垒保卫
fluctuate	v. 波动；涨落；动摇
slothful	adj. 怠惰的，懒惰的；迟钝的
rectitude	n. 公正；诚实；清廉
gyrate	v. 旋转 adj. 旋涡状的
zephyr	n. 和风；西风；轻薄织物
furbish	v. 磨光；恢复；更新
artery	n. 动脉；干道；主流
equivocate	v. 说模棱两可的话；支吾， 躲闪；推诿；含糊其词
irreverent	adj. 不敬的，无礼的
pedagogy	n. 教育；教育学；教授法
prelude	n. 前奏；序幕；前奏曲 v. 成为…的序幕；演奏…作为前奏曲
tedious	adj. 沉闷的；冗长乏味的
tarnish	n. 晦暗，无光泽；污点 v. 玷污；使……失去光泽；使……变灰暗
kernel	n. 核心，要点；[计] 内核；仁；麦粒，谷粒；精髓
factual	adj. 事实的；真实的
venial	adj. 可原谅的；（罪过）轻微的；可宽恕的
interrogate	v. 审问；质问；[计] 询问
endemic	adj. 地方性的；风土的 n. 地方病
degree	n. 程度，等级；度；学位；阶层
verity	n. 真实；真理；事实；真实性
sonorous	adj. 响亮的；作响的；能发出响亮声音的
crystallization	n. 结晶化；具体化
bug	n. 臭虫，小虫；故障；窃听器 v. 烦扰，打扰；装窃听器
ratiocination	n. 推理；推论
monocracy	n. 独裁政治
reversible	adj. 可逆的；可撤消的；可反转的 n. 双面布料
beget	v. 产生；招致；引起；当…的父亲
swift	n. 褐雨燕 adj. 快的；迅速的；敏捷的；立刻的 adv. 迅速地
inflammable	adj. 易燃的；易怒的；易激动的 n. 易燃物
hydrate	n. 水合物；氢氧化物 v. 使成水化合物
demur	v. 反对；抗辩；提出异议 n. 异议；反对
aroma	n. 芳香
incommodious	adj. 不便的；狭窄的
latent	adj. 潜在的；潜伏的；隐藏的
submission	n. 投降；提交（物）；服从；（向法官提出的）意见；谦恭
disguise	v. 掩饰；假装；隐瞒 n. 伪装；假装；用作伪装的东西
geology	n. 地质学；地质情况
reproduce	v. 复制；再生；生殖；使…在脑海中重现
stratum	n. （组织的）层；[地质] 地层；社会阶层
regenerate	v. 使再生；革新 adj. 再生的；革新的
engrave	v. 雕刻；铭记
epistolary	adj. 书信的；书信体的；用书信的
enterprise	n. 企业；事业；进取心；事业心
mollify	v. 平息，缓和；使…平静；使…变软
facetious	adj. 诙谐的；爱开玩笑的；滑稽的；(尤指在不合适的时候)开玩笑的
nutrition	n. 营养，营养学；营养品
cognitive	adj. 认知的，认识的
auspice	n. 赞助，主办；吉兆
outstretch	vt. 拉长；伸展得超出的范围
pitch	v. 倾斜；投掷；搭帐篷；坠落 n. 沥青；音高；程度；树脂；倾斜；投掷；球场
encumber	v. 阻塞；妨害；拖累
exposure	n. 暴露；曝光；揭露；陈列
litmus	n. [试剂] 石蕊
audacity	n. 大胆；厚颜无耻
imbue	v. 灌输；使感染；使渗透
armful	n. 一抱之量；双手合抱量
eject	v. 喷射；驱逐，逐出
hilarious	adj. 欢闹的；非常滑稽的；喜不自禁的
complement	n. 补语；余角；补足物 v. 补足，补助
recurrent	adj. 复发的；周期性的，经常发生的
immortal	adj. 不朽的；神仙的；长生的 n. 神仙；不朽人物
comprehend	v. 理解；包含；由…组成
predetermine	v. 预先确定；预先决定；预先查明
cramp	n. 痉挛，绞痛；[五金] 铁夹钳 v. 束缚，限制；使…抽筋；以铁箍扣紧 adj. 狭窄的；难解的；受限制的
harbinger	n. 先驱；前兆；预告者 v. 预告；充做…的前驱
boycott	v. 联合抵制；拒绝参加 n. 联合抵制
aphorism	n. 格言；警句
rampart	n. 壁垒；垒；防御土墙 vt. 用壁垒围绕；防卫
afoot	adj. 在进行中的；徒步的；准备中 adv. 在进行中，在准备中
bacterium	n. [微] 细菌；杆菌属
potential	n. 潜能；可能性；[电] 电势 adj. 潜在的；可能的；势的
eschew	v. 避免；避开；远避
dogmatic	adj. 教条的；武断的
bombardier	n. 投弹手；炮兵下士
inheritance	n. 继承；遗传；遗产
pillage	v. 掠夺；抢劫 n. 掠夺；掠夺物
blunder	v. 跌跌撞撞地走；犯大错 n. 大错
uproarious	adj. 骚动的；喧嚣的
centiliter	n. [计量] 厘升，公勺
antagonize	v. 使…敌对；使…对抗；对…起反作用
homogeneity	n. 同质；同种；同次性（等于homogeneousness）
belittle	v. 轻视；贬低；使相形见小
magnanimous	adj. 宽宏大量的；有雅量的；宽大的
abyss	n. 深渊；深邃，无底洞，地狱
belated	adj. 迟来的；误期的
kidney	n. [解剖] 肾脏；腰子；个性
fledgling	n. 无经验的人；刚会飞的幼鸟
monk	n. 僧侣，修道士；和尚
indomitable	adj. 不屈不挠的；不服输的；不气馁的
solemn	adj. 庄严的，严肃的；隆重的，郑重的
arrogant	adj. 自大的，傲慢的
upheaval	n. 剧变；隆起；举起
personality	n. 个性；品格；名人
rescind	v. 解除；废除；撤回
allude	v. 暗指，转弯抹角地说到；略为提及，顺便提到
sapiential	adj. 智慧的；明智的；赋予智慧的
mutilate	v. 切断，毁坏；使…残缺不全；使…支离破碎
ravage	v. 毁坏；破坏；掠夺 n. 蹂躏，破坏
prophetic	adj. 预言的，预示的；先知的
instant	adj. 立即的；紧急的；紧迫的 n. 瞬间；立即；片刻
charlatan	n. 吹牛者；江湖医生 adj. 骗人的
wreak	v. 发泄；报仇；造成（巨大的破坏或伤害）
portfolio	n. 公文包；文件夹；证券投资组合；部长职务
cathartic	adj. 导泻的；通便的 n. [药] 泻药；[药] 通便药
wretch	n. 可怜的人，不幸的人；卑鄙的人
image	n. 影像；想象；肖像；偶像 v. 想象；反映；象征；作…的像
residual	n. 剩余；残渣 adj. 剩余的；残留的
eloquence	n. 口才；雄辩；雄辩术；修辞
causal	adj. 因果关系的；有原因的 n. 表示原因的连词
transmission	n. 传动装置，[机] 变速器；传递；传送；播送
pragmatic	adj. 实际的；实用主义的；国事的
indecipherable	adj. 无法解释的；破译不出的；难辨认的
explicit	adj. 明确的；清楚的；直率的；详述的
valor	n. 英勇；勇猛（等于valour）
vermicide	n. 杀蠕虫药；打虫药
citadel	n. 城堡；大本营；避难处
adjutant	n. 副官，助手 adj. 辅助的
cadent	adj. 有节奏的；降落的
resolute	adj. 坚决的；果断的
hemoglobin	n. [生化] 血红蛋白（等于haemoglobin）；血红素
beck	n. 招手；点头；（英）小河
fatalism	n. 宿命论
immense	adj. 巨大的，广大的；无边无际的；非常好的
blithe	adj. 愉快的；快乐无忧的
florid	adj. 绚丽的；气色好的
satisfy	v. 令人满意；令人满足
superior	adj. 上级的；优秀的，出众的；高傲的 n. 上级，长官；优胜者，高手；长者
treatise	n. 论述；论文；专著
exclusive	adj. 独有的；排外的；专一的 n. 独家新闻；独家经营的项目；排外者
excellent	adj. 卓越的；极好的；杰出的
extensive	adj. 广泛的；大量的；广阔的
loot	n. 战利品；抢劫；掠夺品 v. 抢劫，洗劫；强夺
repute	n. 名誉；声望 v. 名誉；认为；把…称为
battery	n. [电] 电池，蓄电池
loop	v. 打环；翻筋斗 n. 环；圈；弯曲部分；翻筋斗
domain	n. 领域；域名；产业；地产
carrion	adj. 腐肉的；腐朽的 n. 腐肉；臭尸；不洁之物
biennial	adj. 两年一次的 n. [植] 二年生植物
postwar	adj. 战后的 n. 战后时期 adv. 战后；在战后
intruder	n. 侵入者；干扰者；妨碍者
populace	n. 大众；平民；人口
monologue	n. 独白
needy	adj. 贫困的；贫穷的；生活艰苦的 n. (Needy)人名；(英)尼迪
sheer	adj. 绝对的；透明的；峻峭的；纯粹的 adv. 完全；陡峭地 v. 偏航 n. 偏航；透明薄织物
intensive	adj. 加强的；集中的；透彻的；加强语气的 n. 加强器
linear	adj. 线的，线型的；直线的，线状的；长度的
beau	n. 花花公子；喜修饰者；情郎 adj. 美的；好的
inhospitable	adj. 荒凉的；冷淡的，不好客的；不适居留的
suggestive	adj. 暗示的；提示的；影射的
affix	v. 粘上；署名；将罪责加之于 n. [语] 词缀；附加物
exceptional	adj. 异常的，例外的 n. 超常的学生
opportune	adj. 适当的；恰好的；合时宜的
molt	v. 脱毛；换毛 n. 换毛；脱皮；换毛期
independent	adj. 独立的；单独的；无党派的；不受约束的 n. 独立自主者；无党派者
succor	n. 救援；援助者 v. 救援；援助
earthworm	n. [无脊椎] 蚯蚓
rightful	adj. 合法的；正当的；公正的；正直的
murderous	adj. 杀人的，残忍的；凶残的；蓄意谋杀的
beam	n. 横梁；光线；电波；船宽；[计量] 秤杆 v. 发送；以梁支撑；用…照射；流露
pervert	v. 使堕落；滥用；使反常 n. 堕落者；行为反常者；性欲反常者；变态
docile	adj. 温顺的，驯服的；容易教的
waive	v. 放弃；搁置
deficient	adj. 不足的；有缺陷的；不充分的
almanac	n. 年鉴；历书；年历
autocratic	adj. 专制的；独裁的，专横的
chilly	adj. 寒冷的；怕冷的 n. (Chilly)人名；(法)希伊
accusatory	adj. 非难的，指责的；控诉的，控告的
fungible	adj. 代替的；可取代的 n. 代替物
propriety	n. 适当；礼节；得体
endurance	n. 忍耐力；忍耐；持久；耐久
abominate	v. 痛恨；憎恶
caitiff	adj. 卑劣的；胆小的 n. 卑鄙的人；胆小鬼
turgid	adj. 肿胀的；浮夸的；浮肿的
twinge	n. 阵痛；悔恨 v. 使刺痛；使感到剧痛
liberal	adj. 自由主义的；慷慨的；不拘泥的；宽大的 n. 自由主义者
comical	adj. 滑稽的，好笑的
dignity	n. 尊严；高贵
buoyant	adj. 轻快的；有浮力的；上涨的
compressible	adj. 可压缩的；可压榨的
ailment	n. 小病；不安
asinine	adj. 驴的；愚蠢的，固执的；驴子似的
kleptomaniac	n. 有窃盗癖的人
stellar	adj. 星的；星球的；主要的；一流的
abbess	n. 女修道院院长；女庵主持
befriend	v. 帮助；待人如友；扶助
sinuous	adj. 蜿蜒的；弯曲的；迂回的
lens	n. 透镜，镜头；眼睛中的水晶体；晶状体；隐形眼镜；汽车的灯玻璃 vt. 给……摄影
sanction	n. 制裁，处罚；认可；支持 v. 制裁，处罚；批准；鼓励
interim	adj. 临时的，暂时的；中间的；间歇的 n. 过渡时期，中间时期；暂定
cadaverous	adj. 尸体样的；惨白的
contemporary	n. 同时代的人；同时期的东西 adj. 当代的；同时代的；属于同一时期的
gestate	v. 使怀孕
arrogate	v. 冒称；霸占；没来由地将…归属于
promulgate	v. 公布；传播；发表
phase	n. 月相
enforce	v. 实施，执行；强迫，强制
redress	v. 救济；赔偿；纠正；重新调整 n. 救济；赔偿；矫正
depress	v. 压抑；使沮丧；使萧条
gall	n. 胆汁；五倍子；怨恨；苦味 v. 烦恼；屈辱；磨伤
poise	n. 平衡；姿势；镇静 v. 使平衡；保持姿势
ornate	adj. 华丽的；装饰的；（文体）绚丽的
