access	v. 获取 n. 接近，入口
destination	n. 目的地，终点
purse	n. 钱包，小钱袋；手袋
feature	n. 特征，特色；面貌
route	n. 路，路线
error	n. 错误，谬误；差错
trust	n. 信任 v. 相信；委托
origin	n. 起源，由来；出身
quick	adj. 快的；敏捷的
hunger	n. 饿，饥饿；渴望
fearful	adj. 害怕的，可怕的
suspicion	n. 怀疑，疑心，猜疑
knowledge	n. 知识，学识；知道
dish	n. 碟，盘子；菜肴
amuse	v. 逗…乐；给…娱乐
cheque	n. 支票
orchestra	n. 管弦乐队
favourite	adj. 特别受喜爱的
centre	n. 中心；中枢 v. 集中
come	v. 来，来到；出现
lion	n. 狮子；勇猛的人
berry	n. 浆果（如草莓等）
edition	n. 版本；版；版次
hatred	n. 憎恶，憎恨，仇恨
poverty	n. 贫穷，贫困
type	n. 型，类型 v. 打字
process	n. 过程；工序 v. 加工
pleasure	n. 愉快，快乐；乐事
banner	n. 横幅；旗，旗帜
experiment	n. 实验；试验
pear	n. 梨子，梨树
Marxism	n. 马克思主义
drip	v. 滴下；漏水 n. 水滴
dictation	n. 口授笔录；听写
advisable	adj. 明智的；可取的
tide	n. 潮，潮汐；潮流
mind	n. 头脑；理智；记忆
blow	v. 吹；吹动；吹响
model	n. 模型；模特儿
compass	n. 罗盘，指南针；圆规
germ	n. 微生物，细菌；幼芽
probably	adv. 或许，大概
library	n. 图书馆；藏书
advance	v. 前进；提高 n. 进展
my	det. 我的
beloved	adj. 为…所爱的 n. 爱人
nephew	n. 侄子，外甥
aluminium	n. 铝
rarely	adv. 很少，难得
subsequent	adj. 随后的，后来的
charity	n. 慈善事业；施舍
itself	pron. 它自己；自身
clue	n. 线索，暗示，提示
jewish	adj. 犹太人的
current	adj. 当前的；通用的
journey	n. 旅行，旅程
sustain	v. 支撑；忍受；供养
enormous	adj. 巨大的，庞大的
bite	v. 咬；咬，叮，螫；剌穿
gift	n. 礼物，赠品；天赋
bullet	n. 枪弹，子弹，弹丸
history	n. 历史；个人经历
list	n. 表，目录 v. 列举
behave	v. 表现，举止；
new	adj. 新的；新近出现的
van	n. 大篷车，运货车
amount	n. 总数；数量；和
calculate	v. 计算；估计
generous	adj. 慷慨的；宽厚的
conventional	adj. 普通的；习惯的
early	adv. 早 adj. 早的，早期的
number	n. 数，数字；号码
hint	n. 暗示，示意；建议
fashionable	adj. 流行的，时髦的
tolerate	v. 忍受，容忍，宽恕
condense	v. 压缩，使缩短
technician	n. 技术员，技师
flash	n. 闪光 v. 闪，闪烁
flour	n. 面粉，粉；粉状物质
catch	v. 捉住；赶上；领会
purple	n. 紫色 adj. 紫的
feed	v. 喂（养）；吃饲料
league	n. 联合会；同盟，联盟
exert	v. 运用；尽（力）
finding	n. 发现；调查的结果
foreign	adj. 外国的；外来的
shave	v. 剃，刮
assume	v. 假定；承担；呈现
response	n. 响应；作答，回答
refine	v. 精炼，提纯
following	adj. 接着的；下列的
play	v. 玩，游戏；演奏
steamer	n. 轮船，汽船
lump	n. 团，块；肿块
prince	n. 王子；亲王
formation	n. 形成；构成；形成物
inward	adj. 内心的 adv. 向内
plentiful	adj. 丰富的，富裕的
mutual	adj. 相互的；共同的
insurance	n. 保险；保险费
humorous	adj. 富于幽默的，诙谐的
dissolve	v. 使溶解；解散
prior	adj. 在先的；优先的
farther	adv. 更远地 adj. 更远的
liner	n. 班船，班机
mist	n. 薄雾
abuse	v. 滥用；虐待 n. 滥用
exceedingly	adv. 极端地，非常
coil	n. （一）卷；线圈 v. 卷
foundation	n. 基础；地基；基金
wit	n. 智力，才智，智能
spin	v. 使旋转；纺 n. 旋转
noise	n. 喧闹声；响声；噪声
anticipate	v. 预料，预期；期望
masterpiece	n. 杰作，名著
illustration	n. 说明，图解；例证
recent	adj. 新近的，最近的
laundry	n. 洗衣房，洗衣店
compute	v. 计算，估计，估算
difficulty	adj. 困难；难事；困境
representative	adj. 代表性的 n. 代表
electricity	n. 电，电学；电流
past	adj. 过去的 n. 过去
alloy	n. 合金；（金属的）成色
temple	n. 圣堂，神殿，庙宇
feast	n. 盛宴；筵席；节日
invitation	n. 邀请，招待；请柬
group	n. 小组，群 v. 聚集
visual	adj. 视觉的，视力的
atmospheric	adj. 大气的；大气层的
annual	adj. 每年的 n. 年报
stranger	n. 陌生人；新来者
present	adj. 现在的 n. 目前
frog	n. 蛙
music	n. 音乐，乐曲；乐谱
simply	adv. 简单地；朴素地
heart	n. 心，内心；勇气
substitute	n. 代替人 v. 用…代替
easily	adv. 容易地
suspend	v. 吊，悬；推迟
burn	v. 烧，燃烧 n. 烧伤
workman	n. 工人，劳动者，工匠
leadership	n. 领导
jealous	adj. 妒忌的
can	n. 罐头，听头；容器
cotton	n. 棉；棉线；棉布
European	adj. 欧洲的 n. 欧洲人
explain	v. 解释；为…辩解
natural	adj. 自然界的；天然的
clean	adj. 清洁的；纯洁的
rebel	v. 造反 n. 造反者
enable	v. 使能够，使可能
evident	adj. 明显的，明白的
rain	n. 雨，雨水 v. 下雨
management	n. 管理；经营，处理
eighth	num. 第八 n. 八分之一
bread	n. 面包；食物，粮食
sorrow	n. 悲痛，悲哀，悲伤
cattle	n. 牛；牲口，家畜
inspect	v. 检查，审查；检阅
mental	adj. 精神的；智力的
mushroom	n. 蘑菇，菌类植物
review	v. 再检查 n. 复习
beautiful	adj. 美的，美丽的
descend	v. 下来，下降；下倾
Fahrenheit	n. 华氏温度
freedom	n. 自由；自主
grave	n. 坟墓 adj. 严重的
lumber	n. 木材；木料；制材
encounter	v. 遭遇，遇到 n. 遭遇
atmosphere	n. 气氛；大气；空气
toe	n. 脚趾；足尖
touch	v. 触摸；触动；感动 n. 触
troublesome	adj. 令人烦恼的；麻烦的
congratulation	n. 祝贺；祝贺词
package	n. 包裹，包，捆
part	n. 一部分；零件
credit	n. 信用贷款；信用
judge	n. 法官；裁判员
original	adj. 最初的；新颖的
decision	n. 决定，决心；果断
compose	v. 创作；组成，构成
rag	n. 破布，碎布，抹布
satellite	n. 人造卫星；卫星
transport	v. 运输 n. 运输
drawing	n. 图画，素描；绘图
protective	adj. 保护的，防护的
ago	adv. 以前
signature	n. 署名，签字，签名
primary	adj. 基本的；最初的
poem	n. 诗，韵文，诗体文
hear	v. 听见；听说；审讯
overall	n. 工装裤 adj. 全面的
freely	adv. 自由地；直率地
creature	n. 生物，动物
specify	v. 详细说明；指定
combine	v. 使结合；兼有
solar	adj. 太阳的，日光的
sort	n. 种类；类别 v. 整理
dishonour	n. 不光彩；丢脸的人
permit	v. 允许 n. 执照
magnificent	adj. 壮丽的；华丽的
drift	v. 漂流；漂泊 n. 趋势；流动
investigate	v. 调查
proper	adj. 适合的；合乎体统的
lame	adj. 跛的；瘸的，残废的
mechanical	adj. 机械的；力学的
vital	adj. 生命的；有生命力的
clumsy	adj. 笨拙的；愚笨的
relieve	v. 减轻；解除
describe	v. 形容；描写，描绘
author	n. 作者，作家
happy	adj. 快乐的；幸福的
glide	v. 滑动 n. 滑行
drain	v. 排去；放水 n. 耗竭
pen	n. 钢笔，自来水笔
fatigue	n. 疲劳，劳累
nonsense	n. 胡说，废话
absolute	adj. 纯粹的；绝对的
sack	n. 袋，麻袋；开除
apparatus	n. 器械，仪器；器官
next	adj. 紧接的；贴近的
grace	n. 优美；文雅；雅致
preface	n. 序言，前言，引语
tone	n. 音；腔调；声调
stove	n. 炉头；炉子
identical	adj. 完全相同的；同一的
adjective	n. 形容词
knee	n. 膝，膝盖，膝关节
artist	n. 艺术家，美术家
choke	v. 使窒息；塞满
regardless	adv. 不顾一切地
reader	n. 读者；读物，读本
horizontal	adj. 地平的；水平的
acceptable	adj. 可接受的，合意的
mail	n. 邮件 v. 邮寄
cloud	n. 云；云状物；阴影
busy	adj. 忙的；繁忙的
secretary	n. 秘书；书记；大臣
deadly	adj. 致命的；死一般的
harbour	n. 海港，港口 v. 庇护
bloom	n. 花；开花，开花期
retain	v. 保持，保留，保有
contest	v. 争夺，争取；辩驳
output	n. 产量；输出量；输出
railroad	n. 铁路
institution	n. 协会；制度，习俗
engine	n. 发动机，引擎；机车
flesh	n. 肉，肌肉；肉体
brother	n. 兄弟；同事，同胞
inch	n. 英寸
aeroplane	n. 飞机
coffee	n. 咖啡，咖啡茶
emit	v. 散发；发射；发表
as	conj. 当…的时候
elementary	adj. 基本的；初级的
editor	n. 编辑，编者，校订者
coin	n. 硬币 v. 铸造（硬币）
definite	adj. 明确的；肯定的
skim	v. 掠过，擦过；略读
tourist	n. 旅游者，观光者
flourish	v. 繁荣，茂盛，兴旺
taste	n. 味觉；品味
ending	n. 结尾，结局
confirm	v. 证实；肯定；批准
nearly	adv. 差不多
away	adv. 离开，远离；…去
puzzle	n. 难题；谜 v. 使迷惑
lawyer	n. 律师；法学家
precision	n. 精确，精密，精密度
debt	n. 债，债务；欠债
promote	v. 促进，发扬；提升
gasp	v. 气喘，喘息
publish	v. 出版；发表；公布
cubic	adj. 立方形的；立方的
smart	adj. 聪颖的，机灵的
floor	n. 地板；楼层
dispute	v. 争论，争执 n. 争论
blackboard	n. 黑板
install	v. 安装，设置
deceit	n. 欺骗，欺诈
forecast	n. 预测，预报 v. 预示
now	adv. 现在；立刻
believe	v. 相信；认为
mile	n. 英里
gap	n. 缺口；间隔；差距
occur	v. 发生；出现；存在
glove	n. 手套
graduate	n. 毕业生 v. 大学毕业
club	n. 〔职业体育的〕俱乐部；俱乐部；夜总会
fierce	adj. 凶猛的；狂热的
dump	v. 倾卸，倾倒；倾销
lag	v. 落后；走得慢
hammer	n. 锤，榔头 v. 锤击
congratulate	v. 祝贺，向…道喜
storage	n. 贮藏；贮藏量
guess	v. 猜测，推测 n. 猜测，推测
desirable	adj. 值得相望的；可取的
critic	n. 批评家；爱挑剔的人
bottom	n. 底，底部，根基
bud	n. 芽，萌芽；蓓蕾
Australia	n. 澳大利亚
resident	adj. 居住的 n. 居民
choose	v. 选择，挑选；情愿
meanwhile	adv. 同时，当时
exclude	v. 把…排除在外
convenience	n. 便利，方便；厕所
rank	n. 排，横行；社会阶层
nowadays	adv. 现今，现在
fall	v. 落下；跌倒；陷落
furious	adj. 狂怒的；狂暴的
tap	n. 轻叩 v. 轻叩
immediate	adj. 立即的；直接的
bruise	n. 青肿，伤痕；擦伤
be	v. 是；在
politics	n. 政治，政纲；政治学
define	v. 给…下定义；限定
heavily	adv. 重重地；大量地
pat	v. 轻拍 n. 轻拍
dose	n. 剂量，用量；一剂
operate	v. 操作；施行手术
observe	v. 看到；遵守；说
auxiliary	adj. 辅助的
proportion	n. 部分；比，比率
record	n. 记录；履历 v. 记录
groan	v. 哼，呻吟 n. 呻吟
faith	n. 信任，信心；信仰
meat	n. 肉
harden	v. 使变硬
particular	adj. 特定的；特殊的
arm	n. 臂；臂状物；武器
lip	n. 嘴唇
fable	n. 寓言；虚构的故事
excuse	v. 原谅；免除 n. 借口
discharge	v. 释放；排出 n. 释放
cellar	n. 地窑，地下室
noisy	adj. 喧闹的；嘈杂的
systematic	adj. 有系统的；有计划的
trail	n. 小径；痕迹 v. 跟踪
her	pron. （宾格）她 determiner.. 她的
rather	adv. 相当；宁可，宁愿
liquid	n. 液体 adj. 液体的
indirect	adj. 间接的；不坦率的
meantime	n. 其时，其间 adv. 当时
portion	n. 一部分；一份
dinner	n. 正餐，主餐；宴会
distribution	n. 分发，分配；分布
African	adj. 非洲的 n. 非洲人
emphasize	v. 强调，着重
kill	v. 杀死；扼杀；消磨
cough	v. 咳，咳嗽 n. 咳嗽
restraint	n. 抑制；遏制；克制
composition	n. 构成；作品；写作
porter	n. 搬运工人
verify	v. 证实，查证；证明
it	pron. 这，那，它
comb	n. 梳子 v. 梳理
conquest	n. 攻取，征服；克服
bristle	n. 短而硬的毛；鬃毛
especially	adv. 尤其；特别，格外
absent	adj. 不在场的；缺乏的
bottle	n. 瓶，酒瓶；一瓶
crush	v. 压碎，碾碎；镇压
delegation	n. 代表团
ourselves	pron. 我们自己
civilization	n. 文明，文化；开化
objective	adj. 客观的；无偏见的
sulphur	n. 硫（磺），硫黄
request	n. 请求，要求 v. 请求，要求
talent	n. 才能；天才；人才
physical	adj. 物质的；物理的
appliance	n. 用具，器具，器械
inspection	n. 检阅；检查，审查
bang	n. 巨响，枪声；猛击
reflect	v. 反射；反映；思考
happiness	n. 幸福，幸运；快乐
attention	n. 注意，留心；注意力
January	n. 一月
venture	n. 冒险 v. 敢于
input	n. 输入；投入的资金
roar	v. 吼叫；呼喊 n. 吼
faithful	adj. 忠诚的；如实的
monkey	n. 猴子，猿
behalf	n. 代表某人
operator	n. 接线员；操作人员
humble	adj. 谦逊的；地位低下的
manufacturer	n. 制造商；制造厂
mug	n. 大杯
goat	n. 山羊
democracy	n. 民主制；民主
represent	v. 代表；象征；描绘
accustom	v. 使习惯
city	n. 城市，都市
spoil	v. 损坏，糟蹋；宠坏
packet	n. 小包（裹），小捆
object	n. 物，物体；目的
rate	n. 比率；速度；价格
American	adj. 美洲的 n. 美国人
pull	v. 拉，拖 n. 拉，拉力
mixture	n. 混合；混合物
October	n. 十月
pigeon	n. 鸽子
conversely	adv. 相反地
multiply	v. 乘；使增加
divorce	n. 离婚，离异 v. 离婚
tray	n. 托盘，碟；（浅）盘
contrast	n. 对比，对照，悬殊
mad	adj. 发疯的；恼火的
sacrifice	n. 牺牲；献祭 v. 牺牲；献祭
various	adj. 各种各样的，不同的
stuff	n. 东西 v. 装，填，塞
rely	v. 依赖，依靠；信赖
diameter	n. 直径
boss	n. 老板，上司 v. 指挥
dying	adj. 垂死的；临终的
indeed	adv. 确实；真正地
ignorant	adj. 不知道的；无知的
occasionally	adv. 偶然；非经常地
decent	adj. 体面的；正派的
human	adj. 人的，人类的 n. 人
glitter	v. 闪闪发光 n. 闪光
receipt	n. 收条，收据；收到
adventure	n. 冒险；惊险活动
lover	n. 情人；情侣；爱好者
infant	n. 婴儿 adj. 婴儿的
muddy	adj. 多泥的，泥泞的
beast	n. 兽，野兽
faint	adj. 微弱的；虚弱的
alarm	n. 警报；惊恐，忧虑
convention	n. 习俗，惯例；公约
durable	adj. 耐久的，耐用的
bed	n. 床，床位；圃；河床
silent	adj. 寂静无声的；沉默的
dislike	v. 不喜爱，厌恶 n. 不喜爱，厌恶
greatly	adv. 大大地，非常
quotation	n. 引用；引文；报价单
pity	n. 遗憾；怜悯 v. 同情
border	n. 边，边缘；边界
panel	n. 专门小组；面，板
wrap	v. 裹，包，捆 n. 披肩
passage	n. 通路，通道；通过
waken	v. 醒来；弄醒
care	v. 介意；关心 n. 小心
major	adj. 较大的 n. 专业
organic	adj. 有机体的；器官的
easy	adj. 容易的；安逸的
improve	v. 改善；使更好
hi	int. 嗨（表示问候等）
tissue	n. 薄绢；薄纸；组织
vigorous	adj. 朝气蓬勃的
fancy	n. 想象力；设想；爱好
income	n. 收入；收益；进款
knot	n. （绳的）结；（树的）节
construction	n. 建造；建筑；建筑物
inquire	v. 打听，询问；调查
spark	n. 火花，火星
aside	adv. 在旁边，到旁边
stripe	n. 条纹，条子
meter	n. 计量器；计，表
frequent	adj. 时常发生的；经常的
pure	adj. 纯粹的；纯洁的
beyond	prep. 在…的那边
eager	adj. 渴望的，热切的
fox	n. 狐狸；狡猾的人
penny	n. （英）便士；（美）分
infer	v. 推论，推断；猜想
steam	n. 蒸汽 v. 蒸发；蒸
file	n. 档案 v. 把…归档
midnight	n. 午夜，子夜，夜半
scientific	adj. 科学（上）的
oil	n. 油；石油 v. 加油于
instruct	v. 指示；教；通知
protest	n. 抗议 v. 抗议
cancer	n. 癌，癌症，肿瘤
instantly	adv. 立即，即刻
Chinese	adj. 中国的 n. 中国人
remedy	n. 治疗；补救 v. 治疗；补救
good	adj. 好的；有本事的
method	n. 方法，办法；教学法
monthly	adj. 每月的 adv. 每月
dream	n. 梦；梦想 v. 做梦
load	v. 装；装满 n. 负载
fuel	n. 燃料 v. 给…加燃料
modern	adj. 现代的，近代的
common	adj. 普通的；共同的
recommend	v. 劝告；推荐，介绍
produce	v. 产生；生产；展现
definition	n. 定义，释义；定界
castle	n. 城堡；巨大建筑物
supreme	adj. 最高的；最大的
ask	v. 问；要求；邀请
dumb	adj. 哑的；无言的
pin	n. 针，饰针 v. 别住
attain	v. 获得；达到
curtain	n. 帘，窗帘；幕（布）
raise	v. 举起；引起；提高
fog	n. 雾；烟雾，尘雾
rotten	adj. 腐烂的，发臭的
mysterious	adj. 神秘的；难以理解的
diary	n. 日记，日记簿
survive	v. 幸免于；活下来
bicycle	n. 自行车，脚踏车
sausage	n. 香肠，腊肠
attack	v. 攻击，进攻 n. 攻击，进攻
saw	n. 锯子 v. 锯，锯开
indication	n. 指示；表示；表明
attempt	v. 尝试，试图 n. 企图
submarine	adj. 水下的 n. 潜水艇
revolution	n. 革命；旋转，绕转
overseas	adv. 海外 adj. 在海外的
oriental	adj. 东方的；东方国家的
for	prep. 给；为；因为
manufacture	v. 制造 n. 制造；产品
healthy	adj. 健康的；有益健康的
multiple	adj. 多的；多种的
cock	n. 公鸡；雄禽；旋塞
actress	n. 女演员
strap	n. 带子 v. 捆扎
economic	adj. 经济的，经济学的
solution	n. 解决，解答；溶解
barrel	n. 桶；圆筒；枪管
hand	n. 手；指针
partly	adv. 部分地，不完全地
paw	n. 脚爪，爪子
upset	v. 弄翻，打翻，倾覆
plunge	v. 使投入；使陷入
injury	n. 损害，伤害；受伤处
hopeless	adj. 没有希望的；绝望的
escape	v. 逃跑；逸出 n. 逃跑
philosophy	n. 哲学；哲理；人生观
thrive	v. 兴旺，繁荣，旺盛
fireman	n. 消防队员
awfully	adv. 令人畏惧的；很
golden	adj. 金色的；极好的
technical	adj. 技术的，工艺的
carrot	n. 胡萝卜
concerning	prep. 关于
lot	pron.. 许多，大量 n. 抽签，抓阄
unlikely	adj. 未必的，未必可能的
liar	n. 说谎的人
family	n. 家，家庭；家族
hay	n. 干草
stress	n. 压力；重音 v. 着重
many	det.. 许多的 pron. 许多人
goal	n. 目的；球门；得分
indefinite	adj. 不明确的；不定的
inner	adj. 内部的；内心的
bear	n. 熊；粗鲁的人
pretty	adj. 漂亮的，标致的
therefore	adv. 因此，所以
goose	n. 鹅；雌鹅
afford	v. 担负得起…；提供
pupil	n. 学生，小学生
dairy	n. 牛奶场 adj. 乳制品
boundary	n. 分界线，边界
afterward	adv. 后来，以后
fan	n. （运动等）狂热爱好者
election	n. 选举；当选
wheat	n. 小麦
plant	n. 植物；工厂 v. 栽种
page	n. 页
spite	3、释义:n. 不顾；恶意，怨恨 v. 刁难，欺侮
relationship	n. 关系；联系
grape	n. 葡萄；葡萄藤
restrain	v. 抑制，遏制；限制
dimension	n. 尺寸，尺度；面积
saucer	n. 茶托，浅碟
observer	n. 观察员，观测者
hero	n. 英雄；勇士；男主角
happen	v. 发生；碰巧，恰好
kick	v. 踢 n. 踢
jet	n. 喷气式飞机；喷嘴
chemistry	n. 化学
interaction	n. 相互作用；干扰
evil	n. 祸害；邪恶 adj. 坏的
sponsor	n. 发起者 v. 发起
gown	n. 长袍，长外衣
shot	n. 发射；弹丸；射门
gay	adj. 快乐的；鲜明的
obstacle	n. 障碍，妨害；障碍物
sometime	adv. 在某一时候；从前
satisfactory	adj. 令人满意的，良好的
particularly	adv. 特别，尤其，格外
distribute	v. 分发，分送；分布
reason	n. 理由；理性 v. 推理
cross	v. 穿过；使交叉
development	n. 发展；生长；开发
sour	adj. 酸的；脾气坏的
disadvantage	n. 不利，不利地位
flush	v. （脸）发红
minor	adj. 较小的；较次要的
canvas	n. 粗帆布；一块油画布
medical	adj. 医学的；内科的
economical	adj. 节约的；经济的
could	modal. 能，会，可以（can的过去式）
oppress	v. 压迫，压制；压抑
acute	adj. 敏锐的
Latin	adj. 拉丁的 n. 拉丁语
rough	adj. 表面不平的；粗略的
merchant	n. 商人；零售商
other	adj. 另外的；其余的
progressive	adj. 进步的；向前进的
heal	v. 治愈；使和解
competition	n. 竞争；比赛
court	n. 法院，法庭；庭院
drink	v. 饮 n. 饮料
ball	n. 球；球状物；舞会
organize	v. 组织；编组
remain	v. 剩下，余留；保持
chart	n. 图，图表；海图
interference	n. 干涉，干预；阻碍
dock	n. 船坞；码头
anchor	n. 锚 v. 抛锚，停泊
breast	n. 乳房；胸脯，胸膛
glance	v. 看一下 n. 一瞥
announce	v. 宣布，宣告，发表
join	v. 参加；连接
poor	adj. 贫穷的；贫乏的
reference	n. 参考；提及
delete	v. 删除；擦掉
digest	v. 消化；领会 n. 文摘
great	adj. 大的；伟大的
nut	n. 坚果，干果；螺母
gun	n. 枪，炮，手枪
urge	v. 催促；推进 n. 冲动
but	conj. 但是，可是
ought	modal. 应当，应该
impossible	adj. 不可能的，办不到的
real	adj. 真的；现实的
score	n. 得分，比数；成绩
devise	v. 设计，发明
equipment	n. 装备，设备；配备
luck	n. 好运，幸运；运气
absolutely	adv. 完全地；绝对地
queue	n. 行列 v. 排队等候
rural	adj. 农村的，田园的
office	n. 办公室；处，局，社
sore	adj. 痛的；恼火的 n. 疮
confuse	v. 使混乱，混淆
neighbourhood	n. 附近地区（的居民）；邻近
Japanese	adj. 日本的 n. 日本人
fulfil	v. 履行；满足；完成
chocolate	n. 巧克力；巧克力糖
chicken	n. 鸡；鸡肉
limited	adj. 有限的
kilometre	n. 千米，公里
separate	adj. 分离的；个别的
campus	n. 校园，学校场地
blanket	n. 毛毯，毯子，羊毛毯
frequently	adv. 时常，常常
thermometer	n. 温度计，寒暑表
undoubtedly	adv. 无容置疑，肯定地
market	n. 市场；集市；销路
big	adj. 大的，巨大的
half	n. 半，一半 adj. 一半的
blade	n. 刀刃，刀片；叶片
afraid	adj. 害怕的；担心的
cinema	n. 电影院；电影，影片
stiff	adj. 硬的；僵直的
librarian	n. 图书馆馆长
lamp	n. 灯
hostile	adj. 不友善的；敌方的
line	n. 线；线条；排；路线
extensive	adj. 广阔的；广泛的
bet	v. 打赌 n. 打赌
prove	v. 证明；结果是
sway	v. 摇动
locomotive	n. 火车头，机车
along	prep. 沿着 adv. 向前
oven	n. 炉，灶；烘箱
bury	v. 埋葬，葬；埋藏
arrow	n. 箭；箭状物；〔指示方向的〕箭号，箭头（符号）
green	adj. 绿色的 n. 绿色
logic	n. 逻辑，推理；逻辑性
fluid	n. 流体，液体
press	v. 压，按；按，揿；催促
firm	n. 商行，商号，公司
funeral	n. 葬礼，丧礼，丧葬
compile	v. 编辑，编制，搜集
grey	adj. 灰色的 n. 灰色
claw	n. 爪，脚爪，螯
fluent	adj. 流利的，流畅的
prominent	adj. 突出的；凸起的
bitterly	adv. 苦苦地；悲痛地
dissatisfy	v. 使不满，使不平
embrace	v. 拥抱；包括
defence	n. 防御；防务；辩护
trade	n. 贸易；职业 v. 交易
owe	v. 欠；应把…归功于
gray	adj. 灰色的 n. 灰色
digital	adj. 数字的，计数的
gradually	adv. 逐渐地，逐步地
ax	n. 斧子
estimate	v. 估计，评价 n. 估计
avoid	v. 避免；躲开
acceleration	n. 加速；加速度
also	adv. 而且，还；亦，也
subway	n. 地道；地下铁路
circumference	n. 圆周，周长，圆周线
seek	v. 寻找，探索；试图
require	v. 需要；要求，命令
bounce	v. 反跳，弹起；跳起
minister	n. 部长，大臣；公使
miracle	n. 奇迹，令人惊奇的人
clothe	v. 给…穿衣服
newly	adv. 新近，最近
confidence	n. 信任；信赖；信心
lack	n. 缺乏，不足 v. 缺乏，不足
bureau	n. 局，司，处；社，所
detection	n. 察觉，发觉；侦察
jury	n. 陪审团；评奖团
difference	n. 差别；差；分歧
hope	v. 希望 n. 希望
grant	n. 授给物 v. 授予
insufficient	adj. 不足的；不适当的
cheerful	adj. 快乐的，愉快的
committee	n. 委员会；全体委员
east	n. 东；东部 adv. 在东方
pronunciation	n. 发音，发音法
photo	n. 照片，相片
occupation	n. 职业；占领，占据
document	n. 公文，文件；证件
popular	adj. 流行的；民众的
resume	v. 重新开始；恢复
eyesight	n. 视力，目力
canal	n. 运河；沟渠；管
obviously	adv. 明显地，显然地
please	v. 使高兴，请满意
breeze	n. 微风，和风
mechanic	n. 技工，机械，机修工
beside	prep. 在…旁边
lid	n. 盖子，盖，囊盖
percent	adj. 百分之…
Englishman	n. 英国男子
mature	adj. 成熟的 v. 使成熟
basketball	n. 篮球运动；篮球
orbit	n. 运行轨道 v. 环绕
govern	v. 统治，治理；支配
expose	v. 使暴露；揭露
nod	v. 点（头）；点头表示
ash	n. 灰，灰末；骨灰
privilege	n. 特权，优惠
grocer	n. 食品商；杂货商
numerous	adj. 为数众多的；许多
swift	adj. 快的；反应快的
arise	v. 出现；由…引起
foremost	adj. 最初的；第一流的
wage	v. 开展（运动）
implication	n. 含义，暗示，暗指
childish	adj. 孩子的；幼稚的
name	n. 名字；名誉 v. 说出
prefer	v. 更喜欢
exact	adj. 确切的；精确的
often	adv. 经常，常常
residence	n. 居住；驻扎；住处
flood	n. 洪水 v. 淹没
generation	n. 一代，一代人；产生
permanent	adj. 永久的；持久的
genius	n. 天才，天赋，天资
desert	n. 沙漠 v. 离弃；擅离
nerve	n. 神经；勇敢，胆量
northern	adj. 北方的，北部的
specialize	v. 成为…专家；专攻
emergency	n. 紧急情况，突然事件
hen	n. 母鸡；雌禽
act	v. 行动；见效 n. 行为
one	num. 一 pron. 一个人
argument	n. 争论，辩论；理由
painter	n. 画家，绘画者；漆工
division	n. 分，分配；除法
burst	v. 使爆裂 n. 爆炸
closely	adv. 紧密地；接近地
church	n. 教堂，礼拜堂；教会
track	n. 行踪；路径；轨道
chase	n. 追逐，追赶；追求
note	n. 笔记；便条；注释
attract	v. 吸引；引起……的兴趣；诱惑
both	pron. 两者（都）
brilliant	adj. 光辉的；卓越的
consume	v. 消耗，消费；消灭
axis	n. 轴，轴线；中心线
plastic	adj. 可塑的 n. 塑料
relation	n. 关系，联系；家属
succession	n. 连续；继任，继承
weaken	v. 削弱
officer	n. 官员；干事；军官
keep	v. 保持；坚持
electronics	n. 电子学
optimistic	adj. 乐观的；乐观主义的
permission	n. 允许，许可，同意
brick	n. 砖，砖块；砖状物
loose	adj. 松的；宽松的
welfare	n. 幸福；福利
paper	n. 纸；官方文件；文章
former	adj. 在前的 n. 前者
truth	n. 事实；真理；真实性
impose	v. 把…强加；征（税）
neglect	v. 疏忽；忽视，忽略
harm	n. 伤害，损害 v. 损害
pie	n. （西点）馅饼
pioneer	n. 拓荒者；先驱者
mystery	n. 神秘；神秘的事物
determination	n. 决心；决定；确定
reply	v. 回答，答复 n. 回答，答复
department	n. 部，司，局，处，系
cake	n. 饼，糕，蛋糕
parcel	n. 包裹，小包，邮包
status	n. 地位，身分
edge	n. 边缘，边；刀口
refusal	n. 拒绝
kettle	n. 水壶；锅
positive	adj. 积极的；确定的
gaze	v. 凝视，盯，注视
close	v. 关，闭；结束
presence	n. 出席，到场；在
production	n. 生产；总产量
foolish	adj. 愚蠢的；鲁莽的
found	v. 创立，创办；建立
whisper	v. 低声地讲
gather	v. 聚集；集合；收集
captive	n. 俘虏，被监禁的人
colonel	n. 陆军上校；中校
hateful	adj. 可恨的，可恶的
routine	n. 例行公事 adj. 日常的
mess	n. 混乱，混杂，肮脏
pronounce	v. 发…的音；宣布
correspond	v. 相符合；相当
blank	adj. 空白的 n. 空白
consequence	n. 结果，后果
hello	int. 喂
slit	n. 裂缝 v. 切开，撕开
chalk	n. 白垩；粉笔
midday	n. 正午，中午
despise	v. 鄙视，蔑视
humour	n. 幽默，诙谐，幽默感
volt	n. 伏特，伏
roller	n. 滚筒，滚轴；滚柱
navigation	n. 航行；航海术
establishment	n. 建立，设立，确立
needle	n. 针；编织针
torch	n. 手电筒；火炬，火把
another	det. 再一个的；别的
bubble	n. 泡 v. 冒泡，沸腾
vary	v. 改变；使多样化
finger	n. 手指；指状物
charming	adj. 迷人的，可爱的
