textbook	'tɛkstbʊk	'teks(t)bʊk	n::教科书；课本::a book that contains information about a subject that people study, especially at school or college		a biology textbook::一本生物教科书	n::教科书，课本::coursebook, schoolbook						
seldom	'sɛldəm	'seldəm	adv::不常；很少::very rarely or almost never	seldom or never::极难得,简直不,几乎不：\n\nHe seldom or never drinks.\n他简直可以说滴酒不沾。	Karen had seldom seen him so angry.::卡伦很少见他这么生气过。	adv::很少，不常::scarcely ever						
proud	praʊd	praʊd	adj::自豪的；骄傲的::feeling pleased about something that you have done or something that you own, or about someone or something you are involved with or related to	proud of::为…而感到骄傲	Seth was the proud owner of a new sports car.::赛思因为有了新跑车而扬扬得意。	adj::自豪的；得意的；自负的::beamish, complacent	adv::proudly::傲慢地，自负地；得意洋洋地		骄傲的(proud)孔雀态度非常傲慢(pride)			
be proud of			::为...骄傲；感到自豪::		You are the pride of us , you will be proud of us in the future.::你现在是我们的骄傲，我们将来才能是你的自豪。	::自豪，高兴；以……而骄傲::glory in, be pleased						
absent	ˈæbsnt;(for v.)əbˈsɛnt	ˈæbsənt;(for v.)əbˈsent	adj::缺席的；不在的::not at work, school, a meeting etc, because you are sick or decide not to go	absent from::缺席¦absent minded::健忘的¦absent from work::旷工；缺勤	students who are regularly absent from school::经常缺课的学生	adj::缺席的；缺少的；心不在焉的；茫然的::missing, vacant	adv::absently::心不在焉地¦n::absence::没有；缺乏；缺席；不注意¦n::absenteeism::旷工；旷课；有计划的怠工；经常无故缺席¦n::absentee::缺席者¦n::absentmindedness::恍惚；心不在焉		ab(离去) ＋ sent(送) → 送走 → 不在场的			
fail	fel	feɪl	v::失败；未能（做到）::to not succeed in achieving something	fail in::失败；缺少¦without fail::务必；必定，无疑¦never fail to::一定会...¦fail to do::失败；未做成¦fail safe::故障保护；失效安全¦fail to resolve::解决未果¦words fail me::说不出话来	It looks likely that the peace talks will fail.::看来和平谈判可能会失败。¦Millions of people have tried to quit smoking and failed miserably (= been completely unsuccessful ).::数百万人戒过烟，都以惨败告终。¦his efforts to save his failing marriage::他挽救自己濒危婚姻的努力¦If all else fails, you may be advised to have an operation.::要是其他方法都不见效的话，恐怕你还是动手术的好。¦The government are failing in their duty to protect people. ＃::该政府未能尽到保护人民的责任。	vi::失败，不及格；破产；缺乏；衰退::flag, founder, tube¦vt::不及格；使失望；忘记；舍弃::disappoint, let down¦n::不及格::flunk	adj::failed::已失败的，不成功的¦adj::failing::失败的¦n::failure::失败；故障；失败者；破产¦n::failing::失败；缺点，过失；弱点¦prep::failing::如果没有…¦v::failed::失败，不成功（fail的过去式和过去分词）¦v::failing::失败；不及格（fail的ing形式）		“飞了”→到手的鸭子飞了→失败			
examination	ɪg'zæmə'neʃən	ɪg,zæmɪ'neɪʃ(ə)n; eg-	n::考试；审查::a spoken or written test of knowledge, especially an important one	entrance examination::入学考试¦examination and approval::审查准许¦college entrance examination::高考；大学入学考试¦physical examination::体格检查¦take an examination::参加考试¦medical examination::体格检查，健康检查¦final examination::期末考试¦metallographic examination::金相检验¦examination questions::试题；考题（examination question的复数）¦examination paper::考试卷¦examination result::考试结果，成绩；核赔结论¦clinical examination::临床检查；临床检验¦on examination::检查中¦examination room::考场；检查室¦microscopic examination::显微镜检查；微观组织检查；金相试验¦laboratory examination::n. 实验室试验¦comprehensive examination::综合考试；综合测验¦routine examination::常规检查¦ultrasonic examination::超声波检查¦written examination::笔试；书写测查	The examination results will be announced in September.::考试成绩将于9月公布。¦He’s already taken the entrance examination.::他已经参加了入学考试。¦The issues need further examination. ＃::这些问题需要进一步考察。	n::考试；检查；查问::inspection, checking, monitoring	n::exam::考试；测验¦n::examiner::检验员；主考人；[专利] 审查员¦n::examinee::应试者；受审查者；受检查者¦vi::examine::检查；调查¦vt::examine::检查；调查； 检测；考试					
boarding school			::寄宿学校::a school where students live as well as study		She and her brother are both at boarding school.::她和她弟弟都在寄宿学校念书。¦"It was school, " she said. "I went to a boarding school.::“都是学校做的好事”，她说，“我去了一所寄宿学校。¦I can stand Janet now. She and her brother are both at boarding school.::维罗尼卡说，“我现在能受得了珍妮特，她兄妹两都在寄宿学校。”	n::寄宿学校::public school, pensione						
leaf	lif	liːf	n::叶子::one of the flat green parts of a plant that are joined to its stem or branches	leaf blade::叶片¦in leaf::有叶子的；叶茂的；长满叶子的¦leaf area::叶面积；叶面¦tobacco leaf::烟叶¦lotus leaf::荷莲叶¦maple leaf::n. 枫叶¦leaf surface::叶面¦tea leaf::茶叶¦leaf spot::[植物病理学]叶斑病¦leaf spring::弹簧片，钢板弹簧¦mulberry leaf::桑叶¦leaf sheath::叶鞘¦gold leaf::n. 金叶；金箔¦leaf margin::叶缘¦red leaf::红叶病；红色的叶子¦leaf base::叶基¦leaf node::叶节点¦door leaf::门扉，门扇¦loquat leaf::枇杷叶，枇杷叶粉末¦leaf through::迅速翻阅	a flowering bush with large shiny leaves::叶子大而油亮的开花灌木	n::叶子；（书籍等的）一张；扇页::foliage¦vi::生叶；翻书页::page	adj::leafy::多叶的；叶状的；叶茂盛的¦adj::leafed::有叶子的¦adj::leafless::无叶的¦adj::leaflike::像叶子的；成薄片的¦n::leafage::（总称）叶子¦v::leafed::生叶，翻...的页（leaf的过去式和过去分词形式）					
in person			::亲身；亲自::if you do sth in person , you go somewhere and do it yourself, instead of doing it by letter, asking sb else to do it, etc.		You have to sign for it in person.::你必须亲自签收。	::亲自；外貌上::in body, in the flesh						
exactly	ɪɡ'zæktli	ɪg'zæk(t)lɪ	adv::确切地；精确地::used when emphasizing that something is no more and no less than a number or amount, or is completely correct in every detail		It’s exactly half past five.::一分不差，正好5点半。¦The figures may not be exactly right, but they’re close enough.::那些数字可能不是非常精确，但也相当接近。	adv::恰好地；正是；精确地；正确地::accurately, correctly, properly, precisely, right	adj::exact::准确的，精密的；精确的¦n::exactness::正确；精确¦vi::exact::勒索钱财¦vt::exact::要求；强求；急需					
pride	praɪd	praɪd	n::自豪；骄傲::a feeling that you are proud of something that you or someone connected with you has achieved	pride in::以…为傲¦the pride of::...的全盛期¦take pride in::v. 以…为傲¦pride and prejudice::《傲慢与偏见》¦pride of place::头等重要的位置；首要地位；傲慢¦national pride::民族自豪感¦false pride::n. 妄自尊大；虚荣¦pride of life::[古语]排场;虚荣[亦作 pride of the world]¦proper pride::自尊心¦in the pride of::处于…的顶峰(或最佳状态)¦pride oneself on sth::以某事物为自豪¦pride oneself on::使得意¦pride of the morning::清晨的薄雾和阵雨(天晴的预兆)¦pride of the desert::骆驼¦pride of one's youth::青春	He wore his medals with pride.::他自豪地戴着奖章。¦The people have a sense of pride in their community.::人们对自己的社区有一种自豪感。¦His heart swelled with pride when his daughter came in.::女儿进来时他的内心充满了自豪感。¦She felt a glow of pride when her name was announced for the prize.::宣布她获奖时她感到非常自豪。¦Success in sport is a source of national pride .::体育方面的成就可以激发民族自豪感。	n::自豪；骄傲；自尊心::selfrespect, pretension¦vt::使得意，以…自豪::exalt¦vi::自豪::glory, be proud of	adj::prideful::高傲的，自傲的		p+ride(骑)→骑在马上的将军趾高气扬→骄傲			
take pride in			::为...感到自豪::		It is right that we should care about and take pride in the way we express ourselves.::我们就应该时时在意自己的表达方式，并且要引以为豪，这也是应有的态度。¦I take pride in your achievements and avail myself of this opportunity to extend to you my best wishes for your success and happiness.::我为你的成绩感到骄傲，并借此机会向您致以良好的祝愿，祝你今后取得更大的成绩，幸福愉快。							
grandson	'ɡrænsʌn	'græn(d)sʌn	n::孙子；外孙::the son of your son or daughter		My grandson's birthday was on Tuesday.::我孙子的生日是星期二。							
general	'dʒɛnrəl	'dʒen(ə)r(ə)l	adj::普遍的；常规的；总的::involving the whole of a situation, group, or thing, rather than specific parts of it¦n::将军::an officer of very high rank in the army or air force	(army) general::将军¦in general::总之，通常；一般而言¦general manager::总经理¦general situation::概况，一般状况¦general public::公众¦general assembly::联合国大会¦general principle::一般原则；一般原理；普遍原理¦general administration::总管理处¦general office::办公厅；总务处¦general purpose::adj. 通用的¦general theory::一般理论；统一理论¦general rule::通则；一般规则¦general education::[法]普通教育¦general plan::总体规划；总图¦general trend::一般趋势¦general design::总体设计¦general hospital::总医院；综合医院¦general information::一般信息；基本资料；总说明¦general idea::大意，梗概¦secretary general::秘书长	There has been a general decline in standards.::道德水准普遍下降。¦ways to improve your general health::全面提高身体素质的方法¦The General's visit to Sarajevo is part of preparations for the deployment of extra troops.::那位将军对萨拉热窝的访问是为部署更多军队所做的准备工作的一部分。	adj::一般的，普通的；综合的；大体的::ordinary, integrated, synthetic, comprehensive, average¦n::一般；将军，上将；常规::strategos, aga	adj::generalized::广义的，普遍的；无显著特点的¦adv::generally::通常；普遍地，一般地¦n::generalization::概括；普遍化；一般化¦n::gen::情报；一般布告¦n::generality::概论；普遍性；大部分¦n::generalist::（有多方面知识和经验的）通才；多面手¦n::generalisation::（英）一般化；归纳；普遍原理（等于generalization）¦n::generalcy::将军任期，军阶，地位或职权¦n::generalship::将才；将官的职位；将军任期¦v::generalized::推广（generalize的过去分词）；对…进行概括；使…一般化¦vi::generalize::形成概念¦vi::generalise::推广；笼统地讲；概括（等于generalize）¦vt::generalize::概括；推广；使...一般化¦vt::generalise::概括；归纳；普及		gen(产生) + er + al → 产生一切的 → 普遍的			
introduction	,ɪntrə'dʌkʃən	,ɪntrə'dʌkʃ(ə)n	n::介绍::the act of formally telling two people each other’s names when they first meet	introduction of::引进；引入¦brief introduction::简介；简短介绍¦letter of introduction::介绍信¦sample introduction::进样；样品导入¦plant introduction::植物引入，植物引种；引进的植物¦introduction of foreign technology::引进外国技术¦introduction to database::数据库概论¦business introduction::业务介绍	Pete, are you going to make the introductions?::皮特，你来作一下介绍吧。¦Our first contestant needs no introduction (= everyone already knows the person ).::我们的第一位参赛者就不用介绍了。	n::介绍；引进；采用；入门；传入::presentation, adoption	adj::introductory::引导的，介绍的；开端的¦n::intro::介绍；简介¦vt::introduce::介绍；引进；提出；采用		来自introduce(vt. 介绍)			
Paula	'pɔ:lə	'pɔ:lə	::葆拉 （女名）::		Peter asks Paula to go to dinner.::彼得请保拉去共进晚餐。¦Peter says, 'We could order some pizza and then watch the golf on TV!' Paula becomes silent.::彼得说：“我们叫比萨饼外卖，然后一边吃一边开电视看高尔夫球！” 保拉不说话了。							
Alfred	'ælfrɪd	'ælfrid; -fred	::艾尔弗雷德（男名）::	alfred nobel::阿尔弗雷德·诺贝尔（瑞典化学家）¦alfred hitchcock::阿尔弗雷德·希区柯克（英国导演）¦alfred north whitehead::怀德海	"On going around with the boys, I guess." said Alfred.::“我想是和朋友们一起出去，”艾尔弗雷德说。¦I admire Jay's and Alfred's translations, but I just do my own thing, my own take on what Murakami should sound like in English.::我很欣赏杰和阿尔弗雷德的译文，但我只会做我自己的事情。 我在翻译中坚持译文应该是地道的目标语言。¦Neither Alfred nor I had had any training as teachers, and I at least had no books for the lessons in French, maths and physics that I was supposed to give.::阿尔弗雷德来自南罗得西亚，我俩谁也没有接受过任何正规的教学培训，至少，我连任何要教授的法语、数学和物理课程的书籍都没有。							
Billy	'bili		::比利（男名）::	billy joel::比利·乔（美国歌手）¦silly billy::[口]傻瓜；笨蛋	Billy：But what if my friends see me.::比利：但要是我朋友看到怎幺办。¦I tell you, Billy, she’s an angel.::我对你说，比利，她真是一个天使。	n::棍棒，警棍；伙伴::partner, comrade, club						
Candy	'kændi:		::坎迪（女名）::	candy store::糖果店¦candy bar::n. 单独包装的块状糖¦cotton candy::棉花糖¦hard candy::硬糖¦rock candy::冰糖¦eye candy::花瓶角色；华而不实¦sugar candy::冰糖；甜蜜的东西¦candy cane::柺杖糖；甘蔗		vt::用糖煮；使结晶为砂糖；美化::glorify, glamorize¦n::[食品]糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品::drug, sweet¦adj::新潮的（服饰）；甜言蜜语的::together, honeylipped	adj::candied::甜蜜的；糖制的；甜言蜜语的¦v::candied::把…制成糖果；美化（candy的过去分词）					
Jerry	'dʒeri		::杰里（男名）；杰丽（女名）::	tom and jerry::汤姆和杰里（动画片名，又译猫和老鼠）；吃喝玩乐的浪荡子¦jerry maguire::甜心先生（电影名，又名杰里·马奎尔、征服情海）		adj::偷工减料的；草率的::brief, sloppy¦n::（英）德国兵；德国人::German, Boche						
Emily	'emili	'eməlɪ	::埃米莉（女名）::	emily dickinson::n. 艾米莉·迪金森（美国十九世纪著名女诗人）	At times, Henrietta would tell me she felt slightly guilty that Emily enjoyed staying with her so much.::有时，亨利埃塔会对我说，埃米莉如此喜欢和她待在一起，让她感到有些内疚。¦With my family –my wife Mona and our children Emily, Dylan, and Madeline –we’re excited to have this opportunity to serve the President and the people of the United States of America.::我和我的家人──即我的夫人蒙娜以及我们的孩子埃米莉、迪伦和梅德林──都很兴奋有这个机会为美国总统及美国人民效劳。							
material	mə'tɪrɪəl	mə'tɪərɪəl	n::衣料，布料；材料，原料::cloth used for making clothes, curtains etc	raw material::原料¦teaching material::教学内容；教学资料¦new material::新材料¦building material::建筑材料¦composite material::复合材料¦main material::[经]主要材料¦material resources::物质资源¦material science::材料科学¦material flow::n. 物料流，物质流；原料周转¦packing material::包装材料；填充材料¦construction material::建筑材料¦packaging material::n. 包装材料，包装物¦insulation material::[电]绝缘材料¦base material::基础材质¦material handling::原料处理；物料运输¦material management::材料管理¦material consumption::物料消耗；材料耗用¦plastic material::塑性材料，塑料¦basic material::基本原料¦reference material::参考资料；参考材料	curtain material::窗帘布¦scraps of material::碎布料¦a cape made of a soft material::用柔软布料制成的披肩¦Crude oil is used as the raw (= basic) material for making plastics.::原油是制造塑胶的原料。	adj::重要的；[物]物质的，实质性的；肉体的::crucial, important, considerable, big, major¦n::[材]材料，原料；[经]物资；布料::stuff, ingredient	adv::materially::实质地；物质上；极大地¦n::materialism::唯物主义；唯物论；物质主义¦n::materiality::物质性，重要性；物质¦n::materialist::唯物主义者；实利主义者¦n::materiel::（法）物资；军备¦n::materialization::物质化；实体化；具体化¦vi::materialize::实现，成形；突然出现¦vi::materialise::突然出现（等于materialize）¦vt::materialize::使具体化，使有形；使突然出现；使重物质而轻精神¦vt::materialise::物质化（等于materialize）		所有的材料(material)都属于物质(matter)			
chopsticks	'tʃɑp,stɪks	'tʃɒpstɪks	n::筷子::a pair of narrow sticks that are used for eating East Asian food	disposable chopsticks::一次性筷子	We still lack a pair of chopsticks.::还少一双筷子。¦Before lunch he taught the foreigner how to use chopsticks.::午饭前他教那个外国人怎样使筷子。				chop(砍) +sticks(棍) →砍成两半的棍子→筷子			
coin	kɔɪn	kɒɪn	n::硬币::a piece of metal, usually flat and round, that is used as money	gold coin::金币；小钱¦false coin::n. 假币¦silver coin::银币¦copper coin::n. 铜币¦flip a coin::抛钱币（决定）¦toss a coin::抛硬币决定问题；掷硬币猜正反面的赌博¦coin money::vi. 暴富；获暴利¦current coin::◎通货(指铸币)¦coin purse::装硬币的钱包；钱包；零钱袋¦commemorative coin::纪念币	Toss a coin to see who goes first.::抛硬币决定谁先来。	vt::铸造（货币）；杜撰，创造::invent, to create¦n::硬币，钱币::piece, specie	n::coinage::造币；[金融] 货币制度；新造的字及其语等¦n::coiner::创造者；伪造货币者；造币者					
fork	fɔrk	fɔːk	n::餐叉，叉子::a tool you use for picking up and eating food, with a handle and three or four points	knife and fork::刀叉¦tuning fork::音叉¦fork lift::铲车，叉车；叉式装卸车；万能装卸车¦fork out::v. 支付；放弃¦fork in the road::岔路，三岔路口¦fork truck::叉车；叉式运货车¦fork lift truck::叉车，叉式装卸车；堆高机¦fork lifter::叉车；叉式升降机¦dinner fork::餐叉¦front fork::前叉¦fork and spoon::叉子与勺子¦salad fork::生菜叉；糕点叉¦shifting fork::变速叉，换挡拨叉；齿轮换档叉¦fish fork::鱼叉；吃鱼用叉	Put the knives and forks on the table.::把刀叉摆放在桌子上。	n::叉；餐叉；耙::harrow¦vi::分叉；分歧::branch off, diverge	adj::forked::有叉的；不真诚的¦v::forked::成叉状；用叉（或耙）干活（fork的过去分词形式）		for(给)+k(音似： 客)→给客人用的餐具→餐叉			
blouse	blaʊs	'blaʊz	n::（女士）短上衣；衬衫::a shirt for women		a silk blouse::丝质女衬衫							
sliver	'slɪvɚ	'slɪvə; 'slaɪ-	n::小块，薄片；碎片，裂片::a small pointed or thin piece that has been cut or broken off something		a sliver of glass ＃::一块玻璃碎片	n::梳毛，梳棉；裂片::combing, lobe			注意不要和silver(n. 银)相混			
glass	ɡlæs	glɑːs	n::玻璃::a transparent solid substance used for making windows, bottles etc	glass fiber::玻璃纤维¦a glass of::一杯¦glass in::用玻璃把…围(或封)住¦glass products::n. 玻璃制品¦glass transition::[物]玻璃转化¦float glass::[化]浮法玻璃¦a glass of water::一杯水¦glass fibre::玻璃纤维¦water glass::n. [化]水玻璃；硅酸钠；盛水的玻璃容器；古代计时用的滴漏¦glass transition temperature::玻璃化温度；玻璃转换温度¦optical glass::光学玻璃¦tempered glass::钢化玻璃；强化玻璃；回火玻璃；淬火玻璃¦glass bottle::玻璃瓶¦insulating glass::中空玻璃¦broken glass::被打碎的玻璃¦glass door::n. 玻璃门¦glass curtain wall::玻璃幕墙¦magnifying glass::n. 放大镜¦glass tube::n. 玻璃管¦quartz glass::石英玻璃	a glass bowl::玻璃碗¦a piece of broken glass::一块碎玻璃片¦the cathedral’s stained glass windows::教堂的彩色玻璃窗	n::[玻璃]玻璃；玻璃制品；镜子::mirror, vitrum¦vt::反映；给某物加玻璃::image, to reflect	adj::glassy::像玻璃的；光亮透明的；呆滞的¦n::glassblower::吹玻璃的人或机器¦n::glassmaker::玻璃工人					
cotton	'kɑtn	'kɒt(ə)n	n::棉；棉花::cloth or thread made from the white hair of the cotton plant	cotton fabric::棉布；棉纤物¦cotton yarn::棉纱；棉纱线¦cotton fiber::棉纤维¦cotton spinning::棉纺；棉纺工艺¦cotton cloth::棉布¦cotton textile::棉纺织品¦raw cotton::原棉；未加工棉¦cotton ball::棉球；硼钠钙石¦cotton wool::原棉；棉绒；脱脂棉¦cotton fibre::棉纤维¦cotton goods::棉制品；棉纺织品；应交税的商品¦cotton thread::棉线¦white cotton::白棉花¦cotton pad::化装棉；棉褥¦cotton piece goods::棉布匹¦combed cotton::精梳棉；精棉；精梳棉纱¦organic cotton::有机棉¦cotton mill::n. 纺织厂¦cotton canvas::棉帆布；棉质油画布¦cotton bollworm::棉铃虫	a white cotton shirt::白色棉布衬衫¦Made from 100% cotton.::百分之百纯棉制作。¦..a large cotton plantation in Tennessee.::…位于田纳西州的一个大棉花种植园。	n::棉花；[纺]棉布；棉线::algodon, Baumwolle¦vi::一致；理解；和谐；亲近::square, identify, coincide	adj::cottony::棉的；像棉样的；起毛的；柔软的					
steel	stil	stiːl	n::钢；钢铁::strong metal that can be shaped easily, consisting of iron and  carbon	stainless steel::不锈钢¦iron and steel::钢铁¦steel industry::钢铁工业；钢铁业；炼钢工业¦carbon steel::[化]碳钢，碳素钢¦steel pipe::钢管¦steel structure::钢结构¦steel wire::钢丝¦steel plate::[冶]钢板¦steel tube::钢管¦alloy steel::合金钢¦iron and steel industry::钢铁工业¦steel production::钢铁生产；炼钢¦stainless steel products::不锈钢制品（stainless steel product的复数）¦steel sheet::钢片；薄钢板¦molten steel::钢水¦steel bar::钢筋；棒材；型钢；条钢¦steel plant::钢铁厂；炼钢厂¦steel fiber::钢纤维；金属纤维¦cast steel::铸钢，坩埚钢¦special steel::特殊钢	a steel bridge::钢铁大桥¦stainless steel (= steel that does not change colour ) knives::不锈钢小刀	n::钢铁；钢制品；坚固::durability, tightness¦vt::钢化；使冷酷::indurate¦adj::钢制的；钢铁业的；坚强的::strong, tough	adj::steely::似钢的，钢铁般的；钢制的；严格的¦n::steelmaker::钢铁制造商；炼钢工					
grass	ɡræs	grɑːs	n::草；草地::a very common plant with thin leaves that covers the ground in fields and gardens and is often eaten by animals	on the grass::在草地上¦green grass::绿色草，青草¦forage grass::饲草¦grass carp::草鱼，鲩鱼¦grass land::草地；草滩¦keep off the grass::不践踏草地；小心¦grass root::基层；草根¦dry grass::干草¦grass seed::牧草种子；草籽¦grass green::n. 草绿色¦lemon grass::（柠檬）香茅¦tall grass::茂草；高茎草¦artificial grass::人造草皮¦leaves of grass::草叶集（惠特曼的诗集）¦sea grass::海草¦go to grass::◎(牲畜)被放牧在草场上，放牧，放草¦pasture grass::牧草¦grass cloth::夏布¦grass court::草地网球场¦bahia grass::[植]百喜草；巴哈雀稗	She enjoyed the feel of grass beneath her feet.::她喜欢踩在草上的感觉。¦I walked across the grass.::我走在草地上。¦Keep off the grass.::请勿践踏草地。	n::[植]草；草地，草坪::lawn, herba¦vt::放牧；使……长满草；使……吃草::feed, range	adj::grassy::长满草的；草绿色的¦adj::grassless::无草的					
leaf.	lif	liːf	n::叶；叶子::one of the flat green parts of a plant that are joined to its stem or branches	leaf blade::叶片¦in leaf::有叶子的；叶茂的；长满叶子的¦leaf area::叶面积；叶面¦tobacco leaf::烟叶¦lotus leaf::荷莲叶¦maple leaf::n. 枫叶¦leaf surface::叶面¦tea leaf::茶叶¦leaf spot::[植物病理学]叶斑病¦leaf spring::弹簧片，钢板弹簧¦mulberry leaf::桑叶¦leaf sheath::叶鞘¦gold leaf::n. 金叶；金箔¦leaf margin::叶缘¦red leaf::红叶病；红色的叶子¦leaf base::叶基¦leaf node::叶节点¦door leaf::门扉，门扇¦loquat leaf::枇杷叶，枇杷叶粉末¦leaf through::迅速翻阅	a flowering bush with large shiny leaves::叶子大而油亮的开花灌木	n::叶子；（书籍等的）一张；扇页::foliage¦vi::生叶；翻书页::page	adj::leafy::多叶的；叶状的；叶茂盛的¦adj::leafed::有叶子的¦adj::leafless::无叶的¦adj::leaflike::像叶子的；成薄片的¦n::leafage::（总称）叶子¦v::leafed::生叶，翻...的页（leaf的过去式和过去分词形式）					
produce	prəˈdus;(for n.)ˈprɒdus; prɑdus	prəˈdju:s;(for n.)ˈprɒdju:s	v::引起；造成；产生；制造；生产；出产::to cause a particular result or effect	farm produce::农产品¦dairy produce::乳制品¦produce electricity::发电¦produce results::产生结果¦native produce::土特产品，土产品¦capacity to produce::生产能力¦produce evidence::提出证据¦mass produce::批量生产¦produce grain::生产粮食；谷物制造¦produce department::生产部	New drugs are producing remarkable results .::新药正在产生显著的效果。¦a rise in sea level produced by climatic change::由气候变化引起的海平面升高¦As a policy, it did not produce the desired effect .::作为一项政策，它并未产生预期的效果。¦The factory produces an incredible 100 cars per hour.::那家工厂一小时生产100辆汽车，令人难以置信。¦This region produces the grapes used in champagne.::该地区出产酿造香槟酒用的葡萄。	vt::生产；引起；创作::attract, cause, operate, occasion, induce¦n::农产品，产品::manufacture, work, agricultural products¦vi::生产，创作::turn out, bring in	adj::productive::能生产的；生产的，生产性的；多产的；富有成效的¦adj::produced::引长的；畸形地伸长的¦n::production::成果；产品；生产；作品¦n::productivity::生产力；生产率；生产能力¦n::producer::制作人，制片人；生产者；发生器¦n::productiveness::赢利性；生产率，生产能力；多产性¦v::produced::产生；制造（produce的过去式和过去分词）；创作					
widely	'waɪdli	'waɪdlɪ	adv::广泛地；普遍地::in a lot of different places or by a lot of people		Organic food is now widely available.::现在有机食品很多地方都可买到。¦an author who had travelled widely in East Asia::曾游历东亚各地的一位作家¦a widely used method::广泛使用的方法¦These laws were widely regarded as too strict.::人们普遍认为这些法令太苛刻。¦This view was not widely held.::这种观点并不普遍。	adv::广泛地::far and wide, diffusely	adj::wide::广泛的；宽的，广阔的；张大的；远离目标的¦adj::widespread::普遍的，广泛的；分布广的¦adj::widish::稍宽的；较广的¦adv::wide::广泛地；广阔地；充分地¦n::width::宽度；广度¦n::wide::大千世界					
process	proˈsɛs;(for n.)prɑsɛs	prəˈses;(for n.)ˈprəʊses	v::加工；处理::to make food, materials, or goods ready to be used or sold, for example by preserving or improving them in some way	process of::…的过程¦in the process of::在…的过程中¦in the process::在过程中；在进行中¦in process::过程中的；在进行中¦production process::生产流程¦development process::发展进程，显色法；开发流程，开发程序¦technological process::工艺流程¦process control::过程控制；程序控制¦manufacturing process::制造过程；制造工艺；生产过程¦design process::设计过程，设计程序；设计加工¦forming process::成形工序，成形过程；成形法¦new process::新工艺¦process flow::工序流程¦working process::工作过程；制作过程¦business process::业务流程；业务处理¦in process of::正在；在…过程中¦developing process::发展过程；展开法¦welding process::焊接过程；熔接法¦process technology::加工工艺学¦process conditions::工艺条件；生产过程条件	Goats’ cheese may be processed in many ways.::山羊奶干酪可以有多种加工方法。¦Two million workers are employed processing goods for electronic firms.::200 万名工人受雇为电子公司加工产品。¦All university applications are processed through this system. ＃::所有大学入学申请都是由这个系统处理的。	vt::处理；加工::manufacture, cope with¦n::过程，进行；方法，步骤；作用；程序；推移::going on, course, system, method, approach	adj::procedural::程序上的¦adj::processible::适合加工的；可处理的¦adj::processional::游行的；列队行进的¦n::procedure::程序，手续；步骤¦n::proceeding::进行；程序；诉讼；事项¦n::procession::队伍，行列；一列，一排；列队行进¦n::processor::[计] 处理器；处理程序；加工者¦n::processional::游行圣歌¦v::proceeding::开始；继续做；行进（proceed的ing形式）¦vi::proceed::开始；继续进行；发生；行进¦vi::procession::列队行进¦vt::procession::沿著……行进		pro(向前) ＋ cess(走) → 向前走 → 过程			
France		frɑːns	::法国::	tour de france::环法自行车赛¦france telecom::法国电信公司	Germany borders on France.::德国与法国接壤。¦Red wine made in France is famous for its high quality.::法国出产的红葡萄酒以质优而闻名。							
no matter			::不论；无论::		The effect of pushing the button is the same no matter who does it.::不论是什么人去按电钮， 其效果都是一样的。	::不论怎样；不要紧::don't worry, no biggie						
local	ˈloʊkl	'ləʊk(ə)l	adj::当地的；本地的::relating to the particular area you live in, or the area you are talking about	local government::地方政府；[总称]地方政府官员（或工作人员）¦local area network::n. 局域网¦local culture::本土文化；地方文化¦local community::本地社区；区域群落¦local time::当地时间¦local network::区域网络，局部网络；本地网络；市话网络¦local tax::地方税¦local authority::地方当局；地方政权¦local minimum::局部最小值¦local finance::地方财政¦local optimum::局部最优¦local color::乡土特色；地域色彩（等于local colour）¦local knowledge::局部知识¦local level::地方层面；当地水平面¦local information::本地信息，当地信息；地方情报¦local product::土产¦local bank::地方银行；本地银行¦local official::当地官方¦local police station::当地警察派出所¦local currency::n. 本国货币	local hospital::当地医院¦local residents::本地居民	n::[计]局部；当地居民；本地新闻::native¦adj::当地的；[计]局部的；地方性的；乡土的::partial, regional, provincial	adj::localized::局部的；地区的；小范围的¦adj::localised::局限性的，局部的¦adv::locally::局部地；在本地¦n::locality::所在；位置；地点¦n::localization::[计] 定位；局限；地方化¦n::localisation::本土化；定位¦n::localism::有地方色彩，地方主义；方言¦v::localized::定位（localize的过去分词）¦v::localised::使地方化；定位；局限（localise的过去分词）¦vi::localize::局部化；集中¦vt::localize::使地方化；使局部化；停留在一地方¦vt::localise::使地方化；定位；集中		loc(地方)+al(…的)→地方性的			
even though			::虽然；即使::despite the fact or belief that; no matter whether		I have friends even though I am a man of few words. ＃::虽然我是个寡言的人，但我也有自己的朋友。	::虽然，即使::even if/though, be it that						
