adrift	ə'drɪft	əˈdrɪft	adj::漫无目的地； 漂浮着::a boat that is adrift is not fastened to anything or controlled by anyone		Several of the lifeboats were still afloat a month after being cast adrift .::放漂一个月后，有几艘救生艇还在漂流。	adj::漂泊的；漂浮着的::vagrom, anchorless						
gasp	ɡæsp	gɑ:sp	v::倒抽气::to breathe in suddenly in a way that can be heard, especially because you are surprised or in pain	last gasp::最终喘息；奄奄一息¦gasp for breath::呼吸十分困难， 上气不接下气	‘My leg!’ he gasped. ‘I think it’s broken!’::“我的腿！”他倒抽一口气喊道，“我觉得腿断了！”	vi::喘气；喘息；渴望::blow, rare¦vt::气喘吁吁地说；喘着气说话::puff out¦n::喘气::broken wind, pursiness	adj::gasping:: 喘气的；痉挛的¦adv::gaspingly:: 喘气地¦v::gasping:: 喘气；渴望（gasp的ing形式）					
gossip	'ɡɑsɪp	ˈgɒsɪp	n::流言飞语::information that is passed from one person to another about other people’s behaviour and private lives, often including unkind or untrue remarks	gossip girl::绯闻少女（美国一青春偶像剧）	What’s the latest gossip ?::最近有些什么传闻？¦Do you want to hear some juicy gossip ?::你想听些有趣的传闻吗？¦She had no time for idle gossip .::她没有时间说长道短。¦It was common gossip how he felt about her.::他对她的看法，大家都在议论纷纷。¦You miss a lot of office gossip when you have a day off work.::请一天假，你就会错过办公室里的许多小道消息。¦On Sundays all the men gather in the square to exchange local gossip .::每到星期天，男人们就聚集在广场上，飞短流长地说一些当地的新闻。	n::小道传闻；随笔；爱说长道短的人::essay, quidnunc¦vi::闲聊；传播流言蜚语::chat about, make conversation	n::gossiper:: 爱闲聊的人；搬弄是非者（gossip的名词形式）¦n::gossipmonger:: 爱说闲话的人，饶舌人					
impose	ɪm'poz	im'pəuz	v::利用；欺骗；施加影响::	impose on::利用；欺骗；施加影响于¦impose a fine::处以罚款		vi::利用；欺骗；施加影响::do with, trade on¦vt::强加；征税；以…欺骗::force, levy tax	adj::imposed:: 强加的；施加的；应用的¦adj::imposing:: （建筑物等）壮观的；威风的；（仪表）堂堂的；给人深刻印象的¦n::imposition:: 征收；强加；欺骗；不公平的负担¦n::imposture:: 欺诈，欺骗；冒牌¦v::imposed:: 欺骗（impose的过去分词）；把…强加于¦v::imposing:: impose的ing形式					
infinite	'ɪnfɪnət	ˈɪnfɪnət	adj::无限的::without limits in space or time	infinite loop::无限循环¦infinite space::无限空间¦infinite variety::多种多样¦infinite bus::无限大容量母线；无限汇流排¦infinite dimensional::无限维的¦infinite medium::无限介质，无限媒质¦infinite distance::无限远距离，无穷远	The universe is infinite.::宇宙是无限的。	adj::无限的，[数]无穷的；无数的；极大的::huge, tremendous, thousand, million, boundless¦n::无限；[数]无穷大；无限的东西（如空间，时间）::Mugen, immenseness	adj::infinitive:: 不定式的¦adj::infinitesimal:: 无穷小的；无限小的；极小的¦adv::infinitely:: 无限地；极其¦n::infinity:: 无穷；无限大；无限距¦n::infinitive:: 不定式¦n::infinitesimal:: 无限小；极微量；极小量¦n::infinitude:: 无限；无穷¦n::infiniteness:: 无限；无限性					
insult	ɪn'sʌlt	ɪnˈsʌlt	v::侮辱::to offend someone by saying or doing something they think is rude	add insult to injury::雪上加霜；伤害之外又加侮辱	Nobody insults my family and gets away with it!::谁也别想侮辱了我的家人之后就这么算了！¦I hope Andy won’t be insulted if I don’t come.::如果我不来，希望安迪不要介意。	vt::侮辱；辱骂；损害::hurt, abuse¦n::侮辱；凌辱；无礼::despite, contumely	adj::insulting:: 侮辱的，无礼的；污蔑的；损害人体的¦adv::insultingly:: 侮辱地；无礼地¦v::insulting:: 侮辱；损害（insult的ing形式）					
load	lod	ləʊd	n::负荷::a large quantity of something that is carried by a vehicle, person etc	dynamic load::动载荷，动力载荷¦heavy load::重负载¦static load::静负载¦load capacity::负载能力，载重能力¦load balancing::[计]负载平衡¦load distribution::载荷分布；负载分配¦load test::负荷试验；加载试验¦work load::工作负载¦load bearing::承载；承重¦wind load::风力载荷¦axial load::轴向载荷；轴向负荷；轴向荷载¦load balance::负载平衡¦impact load::冲击荷载；冲击负载¦a load of::大量；许多¦load transfer::[计]负载转换¦heat load::热负荷¦peak load::[经]最大负载¦critical load::临界负载¦full load::满载；全负荷¦vertical load::垂直荷载；垂直加载	The lorry hadshed its load(= the load had fallen off ).::卡车上的货掉下来了。¦The plane was carrying afull loadof fuel.::飞机载满燃料。	n::负载，[电]负荷；工作量；[交]装载量::charge, working capacity¦vi::[力]加载；[交]装载；装货::charge up¦vt::使担负；[军]装填::chamber	adj::loaded:: 负荷的；装填子弹的；装好胶卷的；喝醉了的（美国俚语）；阔绰的（美国俚语）¦n::loading:: 装载；装货；装载的货¦n::loader:: 装货的人；载入程序；装货设备；装填器¦v::loading:: 装载，装填，担负（load的ing形式）； 装入¦v::loaded:: 装载（load的变形）					
mechanical	mɪ'kænɪkəl	məˈkænɪkl	adj::机械的::affecting or involving a machine	mechanical property::机械性能；力学性质¦mechanical equipment::机械设备¦mechanical engineering::机械工程；机械工程学¦mechanical model::力学模型；机械式模型¦mechanical strength::机械强度¦mechanical design::机械设计；构造设计；机械设定¦mechanical behavior::机械特性；力学特征；机械行为¦mechanical structure::机械结构¦mechanical seal::[机]机械密封¦mechanical analysis::机械分析，粒度分析¦mechanical system::机械系统；力学系统；力学体系¦mechanical and electrical products::机电产品¦mechanical ventilation::机械通风；强制通风¦mechanical transmission::机械传动；机械性传播¦mechanical device::机械装置¦mechanical energy::[物]机械能¦mechanical vibration::机械振动¦mechanical engineer::机械工程师¦mechanical drawing::机械制图；机械画¦mechanical alloying::机械合金化	The flight has been cancelled due to mechanical failure .::因机械故障航班被取消了。¦The plane had to make an emergency landing because of mechanical problems.::飞机因机械故障不得不紧急降落。	adj::[机]机械的；[力]力学的；呆板的；无意识的；手工操作的::wooden, automatic, dead	adj::mechanic:: 手工的¦adj::mechanistic:: 机械论的；机械学的¦adj::mechanized:: 机械化的；呆板的¦adv::mechanically:: 机械地；呆板地；物理上地¦n::mechanism:: 机制；原理，途径；进程；机械装置；技巧¦n::mechanic:: 技工，机修工¦n::mechanics:: 力学（用作单数）；结构；技术；机械学（用作单数）¦n::mechanization:: 机械化；机动化¦n::mechanisation:: 机械化¦n::mechanist:: 机械论者；机械技师¦v::mechanized:: 使机械化；用机械操作（mechanize的过去式和过去分词）¦vt::mechanize:: 使机械化；机动化；用机械装置¦vt::mechanise:: 使……用机械装置；使……机械化					
monarchy	'mɑnɚki	'mɔnəki	n::君主制，君主政体::the system in which a country is ruled by a king or queen	constitutional monarchy::[法]君主立宪制度¦absolute monarchy::专制君主国；君主专制政体	the abolition of the monarchy::君主制的废除	n::君主政体；君主国；君主政治::Caesarism	adj::monarchical:: 君主的，国王的；君主政治的¦adj::monarchal:: 君主的，君主政治的；国王的¦adj::monarchic:: 君主政体的；君主的；赞成君主政体的¦n::monarch:: 君主，帝王；最高统治者¦n::monarchism:: 君主主义；君主政体¦n::monarchist:: 君主主义者					
monsoon	,mɑn'sun	ˌmɒnˈsu:n	n::雨季;季风::the season, from about April to October, when it rains a lot in India and other southern Asian countries	monsoon climate::季风气候¦monsoon season::季风季节¦subtropical monsoon climate::亚热带季风性气候¦monsoon rainfall::季风降雨；季风降水；季风雨量¦monsoon rain::季风雨	...the end of the monsoon.::…雨季的结束。	n::[气候]季风；（印度等地的）雨季；季候风::rainy season, raining period						
preinstall		'pri:ɪn'stɔ:l	vt::预装::		The teaching in fact is the preinstall and the production harmonious entity.::教学实际上就是预设和生成的和谐统一体。¦As of Friday, Microsoft will no longer allow PC manufacturers to preinstall Windows XP on new netbook PCs, which are really the only remaining new plaforms where XP has any traction any more.::在上周五，微软不再允许电脑制造商在新的上网本里预装Windows XP，上网本是目前唯一被允许预装XP的设备。							
proprietor	prə'praɪətɚ	prəˈpraɪətə(r)	n::所有者，经营者::	sole proprietor::独资企业；独资经营者	For example, many states require a sole proprietor to use their own name for the business name unless they formally file another name as a trade name, or fictitious name.::举例来说，许多国家要求独资经营者使用自己的名称为业务名称，除非他们正式文件中有另一个名字作为商标名或化名。	n::[工经]业主；[经]所有者；经营者::operator, building owner	adj::proprietary:: 所有的；专利的；私人拥有的¦n::proprietary:: 所有权；所有人¦n::proprietorship:: 所有权¦n::proprietress:: 女业主；女所有人					
receipt	rɪ'sit	ri'si:t	n::收据::a piece of paper that you are given which shows that you have paid for something	on receipt of::在收到…后¦official receipt::正式收据¦acknowledge receipt::证实收到¦acknowledge receipt of::收到¦in receipt of::已收到…¦deposit receipt::存单，存款收据¦warehouse receipt::仓单；栈单；仓库收据¦courier receipt::专递收据；快邮收据¦trust receipt::信托收据¦tax receipt::税单；报税收据¦place of receipt::收货地；收货地点¦return receipt::回执¦cargo receipt::货运收据¦goods receipt::货物收据¦acknowledgement of receipt::回执，接收确认¦bank receipt::水单；银行收据	Keep your receipt in case you want to bring it back.::保留收据以备退货之需。¦Can you give me a receipt?::你能给我一个收条吗？	n::收到；收据；收入::income, proceeds, earning¦vt::收到::receive from, to hand						
rehearse	rɪ'hɝs	rɪˈhɜ:s	v::彩排，预演::to practise or make people practise something such as a play or concert in order to prepare for a public performance		I think we need to rehearse the first scene again.::我想我们需要把第一场再排练一次。	vt::排练；预演::dry run, go though¦vi::排练；演习::dry run, go though	n::rehearsal:: 排演；预演；练习；训练；叙述					
release	rɪ'lis	rɪˈli:s	v::发布，发行;释放::to let someone go free, after having kept them somewhere	release rate::释放率；释放速度¦controlled release::控释；长效¦press release::新闻稿；通讯稿¦release from::解除；豁免¦heat release::放热；热放出¦news release::n. 通讯社或政府机构发布的新闻稿（等于press release）¦energy release::能量放出¦release agent::脱模剂；隔离剂¦release date::发布日期；发行日期；出厂日期¦release mechanism::释放机构；安全机构；分离机构；脱开机械装置¦day release::职工脱产学习时间¦quick release::快拆杆；快速断路¦block release::脱产进修（英国和欧洲大陆提高企业人员水平的）¦release valve::泄气阀；放气阀¦pressure release::[物]压力释放¦release lever::解锁手柄；分离杆¦stress release::应力释放；应力消除¦release pressure::释放压力¦release paper::[化]剥离纸，防粘纸¦release time::释放时间	Police arrested several men, who were later released.::警察逮捕了几个人，后来都释放了。¦The bears are eventually released into the wild.::这些熊最后被放回野生环境中。	vt::释放；发射；让与；允许发表::deliver, send, free, project, convey¦n::释放；发布；让与::liberation, issuance	n::releasing:: 释放；松释动作；脱扣释放¦v::releasing:: 释放；排放（release的现在分词）					
reliability	rɪ,laɪə'bɪləti	rɪˌlaɪə'bɪlətɪ	n::可靠性::	high reliability::高可靠性；高可靠度¦reliability analysis::可靠性分析¦system reliability::系统可靠性¦reliability design::可靠性设计¦reliability theory::可靠性理论¦software reliability::软件可靠性¦reliability test::[计]可靠性测试¦reliability engineering::可靠性工程¦operational reliability::使用可靠性¦reliability testing::可靠性测试¦reliability growth::可靠性增长¦safe reliability::安全可靠性¦reliability prediction::[经]可靠性预计¦reliability estimation::可靠性估算¦degree of reliability::可靠程度¦mechanical reliability::机械可靠性¦reliability allocation::可靠性分配¦reliability coefficient::可靠性系数¦reliability function::可靠性函数¦inherent reliability::固有可靠性；本质可靠性	I can assure you of the reliability of the information.::我可以向你保证这消息是可靠的。¦You have to work at it and design it in to your systems from the beginning, just like you have to design in scalability, performance, reliability and security.::您从一开始就得学习它并将其设计到您的系统中，就像您在可伸缩性、性能、可靠性和安全性方面进行的设计一样。¦How will that affect reliability and other factors?::将如何影响可靠性和其他因素？	n::[自]可靠性::dependability, relable	adj::reliable:: 可靠的；可信赖的¦adv::reliably:: 可靠地；确实地¦n::reliable:: 可靠的人¦vi::rely:: 依靠；信赖					
render	'rɛndɚ	ˈrendə(r)	v::给予，提供::to give something to someone or do something, because it is your duty or because someone expects you to	account rendered::[经]结欠清单¦render services::提供服务¦render an account::报帐；开送账单	an obligation to render assistance to those in need::为有困难的人提供援助的义务¦a bill of $3,200 for services rendered::一张3,200美元服务费的账单	vt::致使；提出；实施；着色；以…回报::introduce, present, prefer, file, advance¦n::打底；交纳；粉刷::cosmetic brush	n::rendering:: 翻译；表现；表演；描写；打底；（建筑物等）透视图¦vi::rendering:: 给予补偿（rendr的ing形式）¦vt::rendering:: 致使；表演；打底（render的ing形式）					
resolutely	'rɛzə,lʊtli	'rezəlu:tlɪ	adv::坚决地::		The international community should work hard to strengthen cooperation and resolutely fight all forms of terrorism.::国际社会必须继续努力，加强合作，坚决打击一切形式的恐怖主义。	adv::坚决地；毅然地::firmly, stoutly	adj::resolute:: 坚决的；果断的¦n::resolution:: [物] 分辨率；决议；解决；决心¦n::resolve:: 坚决；决定要做的事¦vi::resolve:: 解决；决心；分解¦vt::resolve:: 决定；溶解；使…分解；决心要做…					
respectable	rɪ'spɛktəbl	ri'spektəbl	adj::值得尊敬的；人格高尚的::someone who is respectable behaves in a way that is considered socially acceptable		hard-working, respectable people::勤勉可敬的人¦a respectable family::正经人家¦Put a tie on - it’ll make you look more respectable.::戴上领带，这样显得更体面。	adj::值得尊敬的；人格高尚的；相当数量的::venerable, honourable	adj::respectful:: 恭敬的；有礼貌的¦adv::respectfully:: 尊敬地¦adv::respectably:: 相当好地；体面地；可敬地¦n::respect:: 尊敬，尊重；方面；敬意¦n::respectability:: 体面；可尊敬；有社会地位¦n::respecter:: 尊敬的人；势利的人¦vt::respect:: 尊敬，尊重；遵守					
safe	sef	seɪf	n::保险箱::a strong metal box or cupboard with special locks where you keep money and valuable things	safe operation::安全操作¦safe and sound::安然无恙¦on the safe side::安全可靠，稳妥¦safe from::免于；没有…的危险¦safe mode::安全模式¦have someone safe::对某人采取防范措施，使某人不能为害¦safe haven::安全港；容许幅度标准¦safe distance::安全距离[化]¦safe driving::安全驾驶¦safe working::安全操作；安全开采¦safe water::安全饮用水；安全给水¦safe sex::安全性行为（通常特别指利用避孕套来避免受爱滋病等传播）¦safe deposit::保险箱¦intrinsically safe::本质安全；真正安全¦safe area::安全区¦safe harbor::安全港；避风港¦safe landing::安全着陆¦safe deposit box::银行的保管箱¦safe passage::安全通行，安全通道¦safe guard::安全设备，安全措施；安全护板；护轨	The files are now in a safe to which only he has the key.::那些文件如今在一个保险柜里，只有他有钥匙。	adj::[安全]安全的；可靠的；平安的::responsible, secure, honest, reliable, tried¦n::[安全]保险箱；[制冷]冷藏室；纱橱::peter, strongbox	adv::safely:: 安全地¦n::safety:: 安全；保险；安全设备；保险装置；安打¦n::safekeeping:: 安全保护，妥善保管¦n::safecracker:: 保险箱窃贼¦n::safeness:: 安全；平安；保险¦v::safekeeping:: 保护（safekeep的ing形式）	unsure				
scorn	skɔrn	skɔ:n	n::轻蔑vt.轻蔑；藐视::the feeling that someone or something is stupid or does not deserve respect		Researchers greeted the proposal with scorn.::研究者们对这个提议报以轻蔑的态度。	n::轻蔑；嘲笑；藐视的对象::floccinaucinihilipilification, disparagement¦vt::轻蔑；藐视；不屑做::spurn at, sneeze at¦vi::表示轻蔑；表示鄙视::flout	adj::scornful:: 轻蔑的¦adv::scornfully:: 轻蔑地；藐视地¦n::scorner:: 轻蔑者；藐视者；嘲笑者					
seal	sil	si:l	v::（密）封::to close an entrance or a container with something that stops air, water etc from coming in or out of it	seal of::证明；保证¦mechanical seal::[机]机械密封¦oil seal::油封¦seal in::封入¦seal ring::n. 印章戒指¦rubber seal::n. 橡胶密封圈；橡皮垫；橡胶塞；橡皮密封¦shaft seal::轴封，轴封装置；主轴密封¦gas seal::气封¦seal up::密封住¦seal with::用…密封¦official seal::公章；单位印章¦water seal::水封¦packing seal::密封垫，填料密封¦seal face::压紧面¦under seal::盖上公章；密封¦seal oil::海豹油；密封用油¦pressure seal::加压密封；压力封闭¦seal off::封闭；把…封锁起来¦labyrinth seal::迷宫式密封；曲径密封垫片¦face seal::面密封	The window was sealed shut.::这扇窗户被封了起来。¦Dried milk is kept in hermetically sealed (= very tightly closed ) containers.::奶粉储藏在完全密封的容器里。	n::[机]密封；印章；[皮革][脊椎]海豹；封条；标志::symbol, print¦vt::[机]密封；盖章::pressure, air proof	adj::sealed:: 密封的；未知的¦n::sealing:: 封闭，[机] 密封；补铸件的漏洞；猎捕海豹业¦n::sealant:: [机] 密封剂¦n::sealer:: 盖印人；检验员；密封层；捕海豹的船或猎人¦n::sealskin:: 海豹皮；海豹皮衣¦v::sealed:: 封闭；盖印（seal的过去分词）					
seize	siz	siːz	v::up（机器等）卡住::If you seize something, you take hold of it quickly, firmly, and forcefully	seize the opportunity::抓住机遇，抓住机会¦seize opportunities::抓住机遇；把握时机¦seize the day::把握今天¦seize the moment::把握时机；抓住机会；把握此刻；活在当下¦seize on::抓住；占有¦seize up::失灵；中止；（机器）卡住¦seize the present::抓住现在（歌词）¦seize hold of::v. 抓住；占领¦seize upon::抓住，利用¦seize any opportunity::无孔不入；把握任何机遇	"Leigh," he said seizing my arm to hold me back.::“莉，”他说着便抓住我的胳膊把我拉了回来。	vt::抓住；夺取；理解；逮捕::grasp, absorb, see, read, noble¦vi::抓住；利用；（机器）卡住::lock, do with	adj::seized:: 查封的¦n::seizure:: 没收；夺取；捕获¦n::seizing:: 抓；夺；捆绑¦v::seized:: 逮住；咬住（seize的过去分词）¦v::seizing:: 抓住；利用（seize的ing形式）；理解					
shield	ʃild	ʃi:ld	n::防护物，盾牌::a large piece of metal or leather that soldiers used in the past to protect themselves when fighting	heat shield::热屏；（航天器的）防热罩¦sword and shield::剑与盾¦wind shield::遮风屏；减阻帽¦water shield::莼菜；防水罩，挡泥板；密封条¦protective shield::防护屏；防护板¦hydraulic shield::液压防护装置¦radiation shield::辐射防护屏¦cable shield::电缆包皮；电缆的输入套管；电缆护套¦shield gas::保护气体¦tax shield::税收挡避¦under shield::[废语]在鏖战中¦thermal shield::隔热，热屏蔽¦canadian shield::加拿大地盾¦shield cable::屏敝电缆；屏蔽线	He used his left hand as a shield against the reflecting sunlight.::他用左手遮挡反射过来的阳光。	n::盾；防护物；保护者::dong, fendering¦vt::遮蔽；包庇；避开；保卫::avoid, shadow, guard, curtain¦vi::防御；起保护作用::protect sb./sth. from sth.	adj::shielding:: 屏蔽的；防护的¦n::shielding:: [电子] 屏蔽；防护¦v::shielding:: 保护（shield的ing形式）					
slack	slæk	slæk	adj::萧条的::with less business activity than usual	slack off::偷懒；懈怠¦slack season::淡季¦slack wax::疏松石蜡；粗蜡¦slack adjuster::松紧调整器；空隙调整器；拉紧螺钉¦slack water::静水；缓慢流动的水；憩流¦slack coal::粉煤；煤屑	Business remained slack throughout the day.::一整天生意都很冷清。	adj::松弛的；疏忽的；不流畅的::laid, flabby¦vi::松懈；减弱::relax, fall, lower¦n::煤末；峡谷::canyon, glen¦vt::放松；使缓慢::relax, lighten up¦adv::马虎地；缓慢地::slowly, lentamente	adv::slackly:: 松弛地；懈怠地；不活跃地¦n::slackness:: 松弛；懈怠；不活跃¦vi::slacken:: 松劲，懈怠；变松弛；变缓慢¦vt::slacken:: 使缓慢；使松弛					
slot	slɑt	slɔt	n::狭缝；狭槽::a long narrow hole in a surface, that you can put something into	time slot::时间空档；（电视或广播电台的）播放时段¦slot machine::自动售贷机¦slot antenna::缝隙天线；槽孔天线¦key slot::n. 键槽¦single slot::单插槽；单翼缝¦slot width::齿缝宽度¦stator slot::定子槽¦card slot::板槽，插卡槽¦slot wedge::槽楔；槽边缘¦expansion slot::扩充槽，扩充插槽¦rotor slot::转子线槽	Alan dropped another quarter into the slot on the pay phone.::艾伦往付费电话的投币口里又塞了一枚 25 分的硬币。	n::位置；狭槽；水沟；硬币投币口::location, situation, site, lie¦vt::跟踪；开槽于::dog, follow up the scent						
spite	spaɪt	spaɪt	n::恶意，怨恨::a feeling of wanting to hurt or upset people, for example because you are  jealous  or think you have been unfairly treated	in spite of::尽管；不管，不顾¦in spite of oneself::adv. 不由自主地¦in spite::尽管¦out of spite::出于恶意；为泄恨	I refused her a divorce, out of spite I suppose.::我拒绝了她离婚的要求，我想是出于怨恨。	n::不顾；恶意；怨恨::regardless of, hatred¦vt::刁难；使恼怒::make a difficulty, exasperate	adj::spiteful:: 怀恨的，恶意的¦adv::spitefully:: 怀恨地；怀有恶意地¦n::spitefulness:: 怀恨在心；充满恶意					
suspending	sə'spɛnd	səs'pendɪŋ	v::延迟::	suspending liquid::悬浮液¦suspending agent::悬浮剂		n::悬浮；停赛，悬置::weighing						
suspension	sə'spɛnʃən	səˈspenʃn	n::暂令,停止，停学，停赛等::when something is officially stopped for a period of time	suspension bridge::吊桥¦suspension system::悬架系统；悬挂装置；悬浮体系；悬置系统¦in suspension::悬浮中¦magnetic suspension::磁悬浮，悬磁性¦active suspension::主动制导悬架系统（一种由计算机控制的机动车悬架系统）¦cell suspension::细胞悬液¦air suspension::空气弹簧；空气悬挂¦suspension culture::悬浮培养；悬液培养¦front suspension::前悬架；前悬挂；前悬吊¦rear suspension::后悬吊，后悬吊系统；后悬挂装置¦independent suspension::独立悬架，独立悬挂¦active suspension system::主动式悬吊系统；主动减震系统¦suspension cable::悬缆；吊索¦aqueous suspension::水性悬液；水中悬浮体¦suspension arm::吊臂；弹簧吊架；悬挂臂，悬架臂¦spring suspension::弹簧悬置¦suspension bearing::吊轴承¦temporary suspension::暂停¦pulp suspension::浆料悬浮液¦suspension spring::悬簧；托簧；悬挂弹簧	He received a six-month suspension for unprofessional behaviour.::他因有违职业道德的行为被停职六个月。	n::[化工][化学][物化]悬浮；暂停；停职::hang, weighing	adj::suspended:: 悬浮的；暂停的，缓期的（宣判）¦adj::suspenseful:: 悬疑的；令人紧张的；焦急不安的¦adj::suspensive:: 暂停的；悬而不决的；可疑的；暧昧的¦adj::suspensory:: 悬吊的；暂时中止的；支持的¦n::suspense:: 悬念；悬疑；焦虑；悬而不决¦n::suspender:: 袜吊；吊裤带；悬挂物¦n::suspensor:: [植] 胚柄；囊柄；悬带；吊绷带¦n::suspensory:: 悬吊式；悬带¦vt::suspend:: 延缓，推迟；使暂停；使悬浮；vi. 悬浮；禁赛					
tactic	'tæktɪk	'tæktik	n::把戏；战术；策略，战略::			n::策略，战略::strategy, device	adj::tactical:: 战术的；策略的；善于策略的¦adv::tactically:: 战术性地；策略高明地¦n::tactics:: 策略；战术；用兵学					
tailor	'telɚ	ˈteɪlə(r)	v::使适应（特定需要）::		You can tailor this to fit the scope of your project.::您可以对此方法进行定制以适应项目的范围。	n::[服装]裁缝::dressmaker, needlecraft, sartor, seamster	adj::tailored:: 定做的；裁缝做的；剪裁讲究的¦n::tailoring:: [服装] 剪裁，做衣服；裁缝业，成衣业¦v::tailored:: 裁制；调整使适应（tailor的过去式和过去分词）					
tape	tep	teɪp	v::系，捆::	adhesive tape::胶布¦tape recorder::磁带录音机¦on the tape::行情显示¦red tape::n. 繁文缛节；官样文章¦magnetic tape::磁带，录音带¦paper tape::纸带¦video tape::录像磁带¦sealing tape::密封带；胶粘带¦sticky tape::胶带¦duct tape::布基胶带；管带¦tape measure::卷尺（等于tapeline）¦mica tape::云母带¦masking tape::遮蔽胶带，护条¦cassette tape::盒式录音带，盒式磁带¦steel tape::卷尺；钢卷尺；钢合尺；传力片¦electrical tape::电工胶带；绝缘带¦tape recording::n. 录音带；磁带录音¦audio tape::录音磁带¦tape dispenser::胶带座；胶纸座；胶带分割器¦tape drive::磁带驱动器；纸带机		n::胶带；[计]磁带；带子；卷尺::magnetictape, mylar¦vt::录音；用带子捆扎；用胶布把…封住::sound recording, make a record	n::taping:: 磁带录音¦n::taped:: 录播，压胶¦v::taping:: 用磁带录音（tape的ing形式）¦v::taped:: 用带子捆扎；在磁带上记录（tape的过去分词）					
tenant	'tɛnənt	'tenənt	n::承租人；房客；佃户::someone who lives in a house, room etc and pays rent to the person who owns it		The desk was left by the previous tenant.::书桌是上一个房客留下来的。	n::[租赁]承租人；房客；佃户；居住者::lessee, renter¦vt::租借（常用于被动语态）::rent	n::tenantry:: 承租人；佃农；租出的财产；租赁					
tip	tɪp	tɪp	n::小费 v.给....小费::a small amount of additional money that you give to someone such as a  waiter  or a taxi driver	crack tip::裂纹尖端，裂纹端¦root tip::根尖¦tip in::用手指将球送入蓝中；在书页间装订处粘附插面¦tip of the iceberg::冰山一角；事物的表面部分¦tip clearance::叶尖间隙；尖端间隙；齿顶间隙¦pile tip::桩端；桩头¦filter tip::过滤嘴；香烟的滤嘴¦blade tip::叶尖；叶梢¦finger tip::指尖；（射箭等用的）指尖套¦tip over::使翻倒¦tip the balance::起决定性作用，扭转局势，改变局面，举足轻重¦electrode tip::电极头，电极端；电极端片¦tip of the day::每日提示；每日一帖¦wing tip::（飞机的）翼尖；翼波状盖饰男皮鞋¦leave a tip::付小费；给小费¦tip vortex::梢涡，翼尖涡流¦tip off::向…透露消息，泄密；暗中通知某人¦shoot tip::茎尖¦tip angle::顶锥角，顶圆锥角；顶端角，顶尖角¦tip radius::齿顶圆角半径	Did you leave a tip ?::你留小费了吗？¦a $5 tip::5 美元的小费	vi::[经]给小费；翻倒；倾覆::upset, keel over¦vt::[经]给小费；倾斜；翻倒；装顶端::slope, keel over¦n::[经]小费；尖端::fee, point, apex	adj::tipped:: 焊接在尖头上的，镶齿的¦adj::tippy:: 不安定的；容易倾斜的¦n::tipper:: 给小费的人；翻斗卡车；倾卸车之搬运夫¦n::tipsiness:: 倾斜；喝酒¦v::tipped:: 使倾斜（tip的过去分词）；轻拍					
typify	'tɪpɪfaɪ	ˈtɪpɪfaɪ	v::作为...的典型::to be a typical example of something		the features which typify a Scottish Highland landscape::苏格兰高地典型的地貌特征¦non-violent protest, typified by Gandhi::以甘地为典型代表的非暴力抗议	vt::代表；作为…的典型；具有…的特点::to stand for, represent for	adj::typical:: 典型的；特有的；象征性的¦adj::typic:: 典型的；正规的；象征性的¦adv::typically:: 代表性地；作为特色地¦n::typicality:: 典型性¦n::typification:: 典型化；代表；象征					
undertaking	'ʌndɚ'tekɪŋ	ˌʌndəˈteɪkɪŋ	n::工作，任务::an important job, piece of work, or activity that you are responsible for		Starting a new business can be a risky undertaking.::创办新企业有时是一件有风险的事情。	n::事业；企业；保证；殡仪业::career, enterprise, assurance, certification, commitment¦v::同意；担任；许诺（undertake的ing形式）::holding, promising, agreeing, granting	n::undertaker:: 承担者；承办人；殡仪业者¦vt::undertake:: 承担，保证；从事；同意；试图					
virtually	ˈvɜrtʃuəli	ˈvɜ:tʃuəli	adv::几乎::almost		Virtually all the children come to school by bus.::几乎所有的孩子都乘公交车上学。¦He was virtually unknown before running for office.::他在参加竞选之前几乎不为人知。	adv::事实上，几乎；实质上::actually, really, almost, nearly, most	adj::virtual:: [计] 虚拟的；有效的；实质上的，事实上的					
warranty	'wɔrənti	'wɔrənti	n::保证；担保；保修单::a written agreement in which a company selling something promises to repair it if it breaks within a particular period of time	warranty period::保修期；保证期间¦limited warranty::有限质量保证；有限保固¦product warranty::产品保证¦under warranty::在保修期内¦warranty card::保修卡；保证卡；联保单¦implied warranty::[经]默认保证；[经]默示担保¦breach of warranty::违反保证；违背诺言¦extended warranty::保修保险，延长保修；延长的保证期¦warranty claim::担保请求权	a three-year warranty::三年的保修期	n::[贸易]保证；[法]担保；授权；（正当）理由::assurance, guarantee, certification, commitment, security	adj::warranted:: 保证的；担保的¦n::warrant:: 根据；证明；正当理由；委任状¦n::warrantee:: 被保证人；被担保人¦n::warranter:: 担保人¦n::warrantor:: 保证人；担保人¦v::warranted:: 批准（warrant的过去分词）；授权¦vt::warrant:: 保证；担保；批准；辩解					
wholesome	'holsəm	ˈhəʊlsəm	adj::有益健康的::likely to make you healthy		good wholesome fun::健康有益的娱乐	adj::健全的；有益健康的；合乎卫生的；审慎的::healthy, calculating, sound	adj::whole:: 完整的；纯粹的¦adv::wholly:: 完全地；全部；统统¦adv::wholesomely:: 卫生地；有益健康地；审慎地；安全地¦n::whole:: 整体；全部¦n::wholeness:: 完整；完全；全体¦n::wholesomeness:: 有益于身心健康；增进健康					
