ability	ə'bɪləti	ə'bɪlɪtɪ	n::能力，能耐；才能::the state of being able to do something	innovation ability::创新能力¦ability for::在…的能力¦learning ability::学习能力¦practical ability::实践能力；实际能力¦technical ability::技术能力¦reading ability::阅读能力¦management ability::管理能力¦writing ability::写作能力；书写能力¦working ability::工作能力，加工能力¦physical ability::体能，体质能力；身体能力¦cognitive ability::认知能力¦service ability::工作能力¦ability to pay::支付能力¦combining ability::配合力¦develop ability::发挥才能¦executive ability::执行力；行政能力¦natural ability::本能¦administrative ability::行政能力；经营才能¦unique ability::独有能力¦adaptive ability::自适应能力	The test measures your mathematical ability.::这种测试考查的是数学能力。	n::能力，能耐；才能::capacity, competence, talent, quality, power			 来自able(adj. 能够…的)			
bus	bʌs	bʌs	n::公共汽车::a large vehicle that people pay to travel on	by bus::搭乘公共汽车¦bus stop::公共汽车站¦bus station::n. 公交车站¦on the bus::在公车上¦field bus::现场总线；场地总线¦shuttle bus::班车（在较短距离之间往返的交通车）；豪华轿车¦bus driver::公交车司机¦take bus::乘公共汽车¦take a bus::坐公共汽车；乘公车¦city bus::城市客车；市区公共汽车¦school bus::校车¦miss the bus::坐失良机；事业失败¦bus system::总线系统；汇流排系统¦data bus::[计]数据总线¦at the bus stop::在公共汽车站，在公交车站¦bus ride::乘公共汽车¦bus line::总线；公共汽车线路¦last bus::末班车¦airport bus::机场巴士；机场班车¦bus interface::总线接口；汇流排介面	I took a bus to San Francisco.::我乘公共汽车去旧金山。¦Buses run at 15 and 30 minutes past the hour.::公共汽车在每小时的15分和30分时发车。	n::[车辆][公路]公共汽车::motorcoach, autobus	n::busboy:: （美）餐馆工（等于bus boy）					
business	ˈbɪznəs	ˈbɪznɪs	n::商业；[贸易] 生意；[贸易] 交易；事情::the activity of making money by producing or buying and selling goods, or providing services	business card::名片；商务名片¦in business::经商；在经营；在商界¦business philosophy::经营理念，经营哲学¦business management::企业管理；商务管理¦business development::商业开发¦business enterprise::工商企业；企业机构¦international business::国际商业；国际企业¦do business::经商¦business process::业务流程；业务处理¦new business::新业务¦business model::商业模式；经营模式；业务模式¦business scope::营业范围¦good business::好生意；有意义的业务往来¦on business::为了公事，出差¦small business::小型企业，小本生意¦business accounting::经济核算；商业会计¦business administration::企业管理；经营管理¦doing business::做生意；经营商业¦business strategy::经营策略；商业策略；企业发展战略¦business center::商业中心	Students on the course learn about all aspects of business.::这门课程的学生要学习商业活动的各个方面。¦Carl began in the music business by running a recording studio.::卡尔是从经营录音棚开始干音乐这一行的。¦We do business with a number of Italian companies.::我们和一些意大利公司做生意。¦He has a wide range of business interests.::他的生意面很广。	n::商业；生意；[贸易]交易；事情::commerce, thing, trade, affair, truck	n::businessmen:: 生意人					
busy	'bɪzi	'bɪzɪ	adj::忙碌的；热闹的；正被占用的::if you are busy, you are working hard and have a lot of things to do¦v::使忙于::to use your time dealing with something¦n::(Busy)人名；(匈)布希；(法)比西::	get busy::忙碌；开始工作¦busy with::忙于…¦so busy::如此繁忙¦busy in::忙于…¦busy day::忙碌的一天¦busy season::旺季¦busy time::繁忙时间；被占时刻¦busy as a bee::像蜜蜂一样忙碌，忙得不可开交¦busy line::占用线路；忙线路¦busy tone::忙音¦be busy doing::忙着做某事¦be busy doing sth::忙着做某事¦busy signal::占线信号；忙碌信号	She’s busy now – can you phone later?::她现在正忙，你稍后打来好吗？¦a busy mother of four::一个忙忙碌碌、育有四个孩子的妈妈¦There were lots of activities to keep the kids busy .::有很多活动可以让孩子们不闲着。	adj::忙碌的；热闹的；正被占用的::engaged, abustle¦vt::使忙于::employ	adv::busily:: 忙碌地，起劲地¦n::bustle:: 喧闹；活跃；裙撑；热闹的活动¦n::busyness:: 忙碌，繁忙¦vi::bustle:: 喧闹；忙乱；充满¦vt::bustle:: 使忙碌；催促	indolent				
but	bʌt	bʌt; bət	conj::但是；而是；然而::used to connect two statements or phrases when the second one adds something different or seems surprising after the first one¦adv::仅仅，只::only¦prep::除…以外::apart from¦n::(But)人名；(俄、罗)布特；(越)笔::used to emphasize a word or statement	but now::刚刚¦but for::conj. 要不是；如果没有¦but what::而不…；但是…¦but only::[加强语气]但是¦but just::仅；只得，唯此而已¦anything but::根本不，决不¦all but::几乎，差一点¦but few::只有几个，不多几个¦but too::很遗憾地¦but good::[美国口语]彻底地，完全；狠狠地；有力地；毫无疑问¦cannot but::不得不，禁不住¦but yet::adj. 但还是（可是还）¦can but::conj. 只能¦but and::[古苏格兰英语]另外，而且也	It’s an old car, but it’s very reliable.::这是一辆旧车，但是性能非常可靠。¦They rushed to the hospital, but they were too late.::他们急忙赶到医院，但是已经太迟了。¦We’ve invited the boss, but she may decide not to come.::我们邀请过老板，但她有可能决定不来。¦an expensive but extremely useful book::价钱很贵却是非常有用的一本书¦‘Has he got any experience?’ ‘No, but he’s keen to learn.’::“他有经验吗？”“没有，但他非常好学。”	conj::但是；而是；然而::granted, and, yet, whereas, only¦adv::仅仅，只::merely, simply, only, just, barely¦prep::除…以外::barring						
butter	'bʌtɚ	'bʌtə	v::涂黄油于；讨好::to spread butter on something¦n::黄油；奶油；奉承话::a solid yellow food made from milk or cream that you spread on bread or use in cooking	peanut butter::花生酱¦bread and butter::涂黄油的面包；基本生活资料；生计¦shea butter::乳木果；牛油树脂¦cocoa butter::n. 可可油¦melted butter::溶化牛油；溶化奶油；黄油溶液¦butter up::对…说好话；恭维，阿谀奉承¦butter cream::n. 奶油夹心饼；加糖奶豆浆¦butter oil::奶油制酌油；乳脂肪¦butter knife::涂抹黄油用的餐刀	buttered toast::涂了黄油的烤面包片	vt::涂黄油于；讨好::kiss up to, soft-sawder¦n::[食品]黄油；奶油；奉承话::cream, beurre	adj::buttery:: 谄媚的，奉承的；涂用黄油的；像黄油样的¦n::butterscotch:: （咸味）奶油糖果¦n::buttery:: 食品室；配膳室；酒贮藏室					
butterfly	'bʌtɚflaɪ	'bʌtəflaɪ	n::蝴蝶；蝶泳；举止轻浮的人；追求享乐的人::a type of insect that has large wings, often with beautiful colours	butterfly valve::蝶形阀¦butterfly effect::蝴蝶效应¦social butterfly::交际花¦set a butterfly::张开蝴蝶的两翼，置于玻璃盒中(作为标本)¦butterfly stroke::蝶泳¦monarch butterfly::黑脉金斑蝶，王蝶	Gwen’s a real social butterfly .::格温是个十足的交际花。	n::[昆]蝴蝶；蝶泳；举止轻浮的人；追求享乐的人::scalewing, papilio						
by	baɪ	baɪ	prep::通过；被；依据；经由；在附近；在……之前::used especially with a  passive  verb to say who or what does something or makes something happen¦adv::通过；经过；附近；[互联网] 白俄罗斯的国家代码顶级域名::past someone or something	by oneself::独自地，单独¦by and large::大体上，总的来说¦by and by::不久以后	I was attacked by a dog.::我被一条狗袭击。¦a church designed by the famous architect, Sir Christopher Wren::著名建筑师克里斯托弗·雷恩爵士设计的一座教堂¦We are all alarmed by the rise in violent crime.::我们都对暴力罪案的增加感到忧虑。¦interference by the state in the affairs of the Church::国家对教会事务的干预¦his appointment by the BBC as a producer::英国广播公司委任他为制片人	prep::通过；被；依据；经由；在附近；在……之前::via, THRU through¦adv::通过；经过；附近；白俄罗斯::past						
bye	baɪ	baɪ	int::再见::goodbye¦n::轮空；次要的东西::¦adj::次要的::	bye bye bye::再见再见再见	Bye, Dave.::再见，戴夫。	int::再见::adios, tatas, pippip, bye-bye¦n::轮空；次要的东西::marginalia¦adj::次要的::secondary, minor, supporting, peripheral						
cabbage	ˈkæbɪdʒ	ˈkæbɪdʒ	n::卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）::a large round vegetable with thick green or purple leaves	chinese cabbage::大白菜（等于celery cabbage）¦red cabbage::红叶卷心菜；红球甘蓝¦pickled cabbage::大白菜泡菜；醋渍甘蓝菜								
cake	kek	keɪk	n::蛋糕；块状物；利益总额::a soft sweet food made by baking a mixture of flour, butter, sugar, and eggs¦v::使结块::if a substance cakes, it forms a thick hard layer when it dries	birthday cake::生日蛋糕¦piece of cake::轻而易举的事情；轻松愉快的事¦moon cake::n. 月饼¦icing on the cake::锦上添花¦chocolate cake::巧克力蛋糕¦sell like hot cakes::热销¦filter cake::滤饼¦wedding cake::n. 结婚蛋糕¦sponge cake::松糕¦rice cake::年糕¦cheese cake::n. 干酪饼；富于性感的半裸体美女照¦bean cake::豆饼；豆糟¦cakes and ale::n. 欢乐¦tea cake::茶点¦make a cake::制做蛋糕¦take the cake::得奖；坏到极点¦bake a cake::烘蛋糕¦cream cake::奶油蛋糕¦cake flour::n. 细面粉¦seed cake::种子饼；香饼	We had cake and ice cream.::我们吃了蛋糕和冰激凌。¦a chocolate cake::巧克力蛋糕	n::[食品]蛋糕；块状物；利益总额::Swiss roll, torta¦vt::使结块::agglomerate	adj::caky:: 凝固的；饼状的					
call	kɔl	kɔːl	v::呼叫；拜访；叫牌::to say or shout something loudly so that someone can hear you¦n::电话；呼叫；要求；访问::when you speak to someone on the telephone	call for::要求；需要；提倡；邀请；为…叫喊¦phone call::电话¦call on::访问，拜访；号召，请求¦will call::（大商店的）预订零售部¦call of::邀…同去¦call in::召集；召来¦call center::客户服务中心¦telephone call::电话呼叫¦call back::vi. 回电；收回¦make a phone call::打电话¦give me a call::给我打电话¦call upon::号召；要求；拜访¦call up::打电话给；召集；使想起；提出¦call at::拜访，访问；停靠（车站）¦call home::由教堂公布结婚人姓名；自动通报¦wake-up call::警钟；叫醒服务；电话叫醒服务¦call out::唤起；出动；大声叫唤¦conference call::电话会议¦function call::函数调用；函数引用¦call a taxi::打的；叫出租车	I heard someone calling in the distance.::我听到远处有人在叫。¦‘I’m coming!’ she called down the stairs.::“来啦！”她朝楼下喊道。¦Sheila was just sneaking out when her mother called her.::希拉正要溜出去，这时她妈妈叫她了。¦She heard him call her name .::她听到他叫她的名字。	vi::[通信]呼叫；拜访；叫牌::look up, make a visit to¦vt::[通信]呼叫；称呼；召集::style, name¦n::电话；[通信]呼叫；要求；访问::requirement, phone, telephone, do, visit	adj::caller:: 新鲜的¦adj::callable:: 随时可偿还的；请求即付的¦n::calling:: 职业；欲望；点名；召集；邀请¦n::caller:: 访客；[通信] 呼叫者；打电话者；召集员¦v::calling:: 召；呼唤（call的现在分词）；称之为					
camel	'kæml	'kæm(ə)l	n::[畜牧][脊椎] 骆驼；打捞浮筒；工作作风官僚::a large desert animal with a long neck and either one or two  hump s (= large raised parts )  on its back¦adj::驼色的；暗棕色的::¦vi::工作刻板平庸::	camel hair::驼绒；骆驼毛¦bactrian camel::双峰驼		n::[畜牧][脊椎]骆驼；打捞浮筒；工作作风官僚::oont						
camera	'kæmərə	'kæm(ə)rə	n::照相机；摄影机::a piece of equipment used to take photographs or make films or television programmes	digital camera::数字摄像机；数字照相机¦ccd camera::电荷耦合摄像机¦video camera::摄影机¦camera lens::摄影机镜头；摄像头¦camera calibration::相机校正¦in camera::禁止旁听地；秘密地；不公开审讯¦on camera::在电影或电视摄影机的摄影范围内；出现在电视上¦infrared camera::红外摄像机¦television camera::[电]电视摄像机¦speed camera::超速照相机¦high speed camera::高速摄影机；高速照相机¦tv camera::n. 电视摄影机¦camera bag::相机袋；摄影包；暗袋¦film camera::软片摄影机；电影摄影机；胶片摄象机¦pinhole camera::针孔照相机¦projecting camera::投影机，放映机；翻拍照相机¦camera crew::n. 电影（或电视）摄制组¦streak camera::超快扫描照相机；超高速扫描摄影机¦security camera::保安摄像机¦camera angle::摄影机物镜视角；照像镜头视角	Her grandmother lent her a camera for a school trip to Venice and Egypt.::她的祖母借给她一部相机，让她在学校组织的到威尼斯和埃及的旅行中使用。				 拿来(came)照相机(camera)照相			
camp	kæmp	kæmp	v::露营；扎营::to set up a tent or shelter and stay there for a short time¦n::露营::a place where people stay in tents, shelters etc for a short time, usually in the mountains, a forest etc	training camp::集训营¦summer camp::夏令营¦concentration camp::集中营¦refugee camp::难民营；难民收容所¦base camp::大本营；探险队等的营地；扑火营部；扑火野外指挥部¦camp david::大卫营（美总统行宫）¦camp on::得等待，预占¦boot camp::n. ［美口］海军训练新兵之营地¦prison camp::战俘集中营¦labor camp::流动工人招待所；劳改所¦camp fire::营火¦camp out::野营¦military camp::n. 军营¦camp site::露营区；施工现场¦camp bed::行军床¦death camp::（第二次世界大战期间纳粹的）死亡集中营（等于extermination camp）¦detention camp::羁留营；拘留营；隔离营¦day camp::日间夏令营¦work camp::囚犯劳动营；（青少年）劳动夏令营¦holiday camp::假日野营地；度假村	We’ll camp by the river for the night, and move on tomorrow.::我们今晚在河边露营，明天继续前进。	vi::露营；扎营::sit down, encamp¦vt::扎营；使扎营::pitch, sit down¦n::露营::encampment, bivouac	n::camping:: 露营；野营¦n::camper:: 露营者，野营者¦v::camping:: 露营；扎营；临时安顿（camp的ing形式）		 宿营(camp)帐里亮着灯(lamp)			
can	kæn	kæn	v::将…装入密封罐中保存::used with the verbs ‘see’, ‘hear’, ‘feel’, ‘taste’, and ‘smell’, and with verbs connected with thinking, to mean that someone sees something, hears something etc¦aux::能； 能够； 可以； 可能::¦n::罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头::a metal container in which food or drink is preserved without air	can be::可能；可以是¦we can::我们可以¦can do::能做到；做得到¦how can::怎么能够；哪能；怎会¦can only::只得¦can tell::能感觉到；能看出来¦how can i::我岂能…；我怎么能…¦can afford::买得起；有能力负担¦can you help me::你能帮我吗¦as you can see::正如你所看到的；你是知道的¦oil can::油壶；加油器¦can not help::禁不住，忍不住；情不自禁¦yes we can::是的，我们可以（奥巴马竞选口号）¦gas can::汽油桶，汽油罐；煤气罐¦what can you see::你能看见什么¦cannot but::不得不，禁不住¦fiber can::棉条桶；纸板桶；纤维罐；纤维板桶¦can do with::需要，希望得到；能对付，将就¦in the can::[美俚]电影杀青¦can not but::不得不	Here they are – I can see their car.::他们来了——我看到他们的汽车了。¦Can you smell something burning?::你闻到什么东西烧焦了吗？¦I can’t understand why you’re so upset.::我不明白你为何这么沮丧。¦He can’t remember where he put the tickets.::他记不起把票放在哪儿了。	n::[食品]罐头，一罐；金属容器::tin, debe	adj::canned:: 罐装的；录音的¦v::canned:: 装于罐头（can的过去分词）					
Canada	'kænədə	'kænədə	n::加拿大（北美洲国家）::	air canada::n. 加拿大航空公司¦statistics canada::加拿大统计局¦canada day::加拿大国庆日	She was domiciliated in Canada.::她在加拿大定居。¦Canada produces high-guality wheat.::加拿大出产优质小麦。¦He has lived in Canada for more than twenty years and is completely Canadianized now.::他在加拿大已经住了二十多年了，现在完全加拿大化了。							
cancel	'kænsl	'kæns(ə)l	v::取消；删去::to decide that something that was officially planned will not happen¦n::取消，撤销::	cancel button::取消按钮¦cancel out::取消；抵销¦cancel after verification::核销	Our flight was cancelled.::我们的航班取消了。¦I’m afraid I’ll have to cancel our meeting tomorrow.::恐怕我得取消我们明天的会议。¦You’ll just have to ring John and cancel.::你只能打电话给约翰取消了。	vt::[计]取消；删去::recall, call it off¦vi::[计]取消；相互抵销::call it off, declare off¦n::[计]取消，撤销::withdrawal, revocation	n::cancellation:: 取消；删除		 患了癌症(cancer)， 取消(cancel)行程			
candle	'kændl	'kænd(ə)l	n::蜡烛；烛光；烛形物::a stick of  wax  with a string through the middle, which you burn to give light¦v::对着光检查::	candle holder::烛台¦candle light::烛光¦a lighted candle::[诗歌用语]晚会；盛大的宴会¦worth the candle::[常用于否定句或疑问句]值得，合算，划得来¦candle power::n. [物理]烛光（国际单位制中的照明单位）	When the candle was only half an inch high it flickered out and the room became dark.::蜡烛只有半英寸长时，烛光忽闪忽闪地熄灭了，于是房间一片漆黑。	n::[轻]蜡烛；[光]烛光；烛形物::bougie, glim	n::candlepower:: 烛光；烛光量，烛光度					
cancer	'kænsɚ	'kænsə	n::癌症；恶性肿瘤::a very serious disease in which cells in one part of the body start to grow in a way that is not normal	breast cancer::乳腺癌¦lung cancer::肺癌¦liver cancer::肝癌¦gastric cancer::胃癌¦prostate cancer::前列腺癌¦colorectal cancer::[医]结肠直肠癌¦cancer cell::癌细胞¦skin cancer::皮肤癌¦colon cancer::结肠癌；大肠癌；直肠癌¦cervical cancer::宫颈癌¦pancreatic cancer::胰腺癌；胰脏癌¦cancer research::癌症研究；肿瘤研究¦esophageal cancer::食管癌；食道癌¦bladder cancer::膀胱癌¦rectal cancer::直肠癌¦esophagus cancer::食道癌¦stomach cancer::胃癌¦rectum cancer::直肠癌¦advanced cancer::晚期癌症¦terminal cancer::癌症晚期	A lot of cancers can now be treated successfully.::现在许多癌症可以治愈。¦She was told last year that she had cancer .::去年她得知自己患了癌症。¦He died of cancer last month.::上个月他死于癌症。¦a new treatment which effectively kills cancer cells::一种能有效杀死癌细胞的新疗法	n::[肿瘤]癌症；恶性肿瘤::malignant tumor, carcinomatosis	adj::cancerous:: 癌的；生癌的；像癌的					
candy	'kændi	'kændɪ	v::用糖煮；使结晶为砂糖；美化::¦n::糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品::Candy is sweet foods such as chocolate or toffees¦adj::新潮的（服饰）；甜言蜜语的::	candy store::糖果店¦candy bar::n. 单独包装的块状糖¦cotton candy::棉花糖¦hard candy::硬糖¦rock candy::冰糖¦eye candy::花瓶角色；华而不实¦sugar candy::冰糖；甜蜜的东西¦candy cane::柺杖糖；甘蔗	...a piece of candy.::…一块糖果。	vt::用糖煮；使结晶为砂糖；美化::glorify, glamorize¦n::[食品]糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品::drug, sweet¦adj::新潮的（服饰）；甜言蜜语的::together, honeylipped	adj::candied:: 甜蜜的；糖制的；甜言蜜语的¦v::candied:: 把…制成糖果；美化（candy的过去分词）					
cap	kæp	kæp	n::盖；帽子::a protective covering that you put on the end or top of an object¦v::脱帽致意::	cap rock::[地质]冠岩；盖岩¦bottle cap::瓶盖¦pile cap::桩帽¦cap in hand::毕恭毕敬地；谦恭地¦baseball cap::棒球帽¦to cap it all::更加；更有甚者¦gas cap::气顶；气冠；油箱门¦ice cap::[地]冰盖；冰冠¦salary cap::工资上限¦end cap::管端盖板；后盖¦toe cap::鞋头¦screw cap::螺帽¦put a cap on::限制；控制；制止¦root cap::根冠¦valve cap::阀盖¦shower cap::n. 淋浴时用的塑胶浴帽¦spherical cap::球冠¦swimming cap::泳帽¦bubble cap::泡罩；泡帽¦cap screw::有头螺钉	Make sure you put the cap back on the pen.::一定要把笔帽套上。¦a bottle cap::瓶盖	n::[机]盖；帽子::hat, operculum¦vi::脱帽致意::uncap¦vt::覆盖；胜过；给…戴帽；加盖于::invest, overcome, house, sheet, roof	adj::capped:: 包过的；加盖的；去蒂的¦adj::capless:: 无帽的；免盖的；无电容的¦adj::cappy:: 如帽般的¦n::capper:: 封口机；帽商；制造器具的盖子的人；诱饵；装盖的人；托儿¦v::capped:: 给…戴帽；去蒂；覆以…；除去盖子；胜过（cap的过去分词形式）		 盖上车(car)盖(cap)			
capital	'kæpɪtl	'kæpɪt(ə)l	n::首都，省会；资金；大写字母；资本家::an important city where the main government of a country, state etc is¦adj::首都的；重要的；大写的::a capital letter is one that is written or printed in its large form	capital market::资本市场¦foreign capital::外国资本，外资¦human capital::人力资本，技能资本¦venture capital::风险资本，风险投资¦capital investment::资本投资¦capital structure::资本结构¦social capital::n. 社会资本（指交通、卫生、通信等基本设施）¦capital construction::基本建设¦capital city::首都¦provincial capital::省会¦registered capital::注册资本；登记资本额¦capital fund::资本基金¦private capital::私人资本¦capital flow::资本流动；资金流量¦working capital::营运资本；运用资本¦capital account::资本性帐户；固定资产帐户¦intellectual capital::知识资本；智慧资本¦national capital::国家资本¦capital cost::[经]资本成本¦financial capital::[经]金融资本	Washington D.C., the capital of the United States::美国首都华盛顿特区	n::首都，省会；[会计]资金；大写字母；资本家::fund, upper case¦adj::首都的；重要的；大写的::crucial, important, considerable, material, big	adj::capitalist:: 资本主义的；资本家的¦adj::capitalistic:: 资本主义的；资本家的¦adv::capitally:: 极佳地¦n::capitalism:: 资本主义¦n::capitalist:: 资本家；资本主义者¦n::capitalization:: 资本化；资本总额；用大写¦n::capitalisation:: 市值（等于capitalization）；（英）资本化¦vi::capitalize:: 利用；积累资本¦vi::capitalise:: 利用（等于capitalize）¦vt::capitalize:: 使资本化；以大写字母写；估计…的价值¦vt::capitalise:: 用大写字母书写；投资于					
captain	ˈkæptən	'kæptɪn	n::队长，首领；船长；上尉；海军上校::the sailor in charge of a ship, or the pilot in charge of an aircraft¦v::指挥；率领::to lead a group or team of people and be their captain	sea captain::船长¦captain cook::库克船长（英国探险家和航海家）¦captain of industry::大企业之首脑	The captain and crew welcome you aboard.::机长和全体机组人员欢迎各位乘坐本次航班。	n::队长，首领；[水运]船长；上尉；海军上校::leader, chief, boss, officer¦vt::指挥；率领::officer, boss, lead	n::captainship:: 首领或队长之职；统帅之才；将帅的资格					
car	kɑr	kɑː	n::汽车；车厢::a vehicle with four wheels and an engine, that can carry a small number of passengers	by car::乘汽车¦car accident::车祸；交通事故¦car rental::汽车出租¦car park::停车场¦passenger car::客车；轿车；小客车¦car body::车身¦electric car::电车¦sports car::n. 跑车¦drive a car::驾车；开小汽车¦police car::警察巡逻车¦cable car::（美）缆车¦used car::二手车¦car seat::车辆座椅¦private car::私人汽车¦motor car::汽车；电动车¦car crash::车祸；汽车碰撞¦toy car::玩具车¦freight car::运货车厢¦company car::公司汽车¦luxury car::豪华车	Dan got out of the car and locked the door.::丹下了车，锁上车门。¦He isn’t old enough to drive a car.::他还未到可以开车的年龄。¦Coughlan was killed in a car accident.::科赫兰死于一场车祸。	n::[车辆]汽车；车厢::automobile, motor						
card	kɑrd	kɑːd	n::卡片；纸牌；明信片::a small piece of plastic or paper containing information about a person or showing, for example, that they belong to a particular organization, club etc¦v::记于卡片上::	business card::名片；商务名片¦credit card::信用卡；记帐卡¦ic card::智能卡¦id card::身份证（等于identity card）¦smart card::智能卡¦identity card::身份证¦name card::名片¦card number::卡号¦bank card::银行信用卡¦memory card::记忆卡，存储插件¦red card::n. [足球]红牌¦card reader::读卡机，读卡器¦debit card::借记卡；签帐卡；提款卡¦card system::卡片系统；卡片式帐簿¦greeting card::贺卡¦green card::（美）绿卡（指允许外国人进入美国工作的绿色许可证）；（英）绿色保险证¦report card::成绩单¦sound card::音效卡，声卡¦network card::网卡¦card account::总帐科目分类表	Employees must show their identity cards at the gate.::雇员在大门口必须出示自己的身份卡。¦I haven’t got my membership card yet.::我还没拿到会员卡。	n::[计]卡片；纸牌；明信片::solitaire, postcard						
care	kɛr	keə	n::关怀；照料；谨慎；忧虑::the process of looking after someone, especially because they are ill, old, or very young¦v::照顾；关心；喜爱；顾虑::to be concerned about what happens to someone, because you like or love them	take care::注意；小心¦take care of::照顾；注意；抚养¦care of::由…转交¦health care::卫生保健¦take care of oneself::照顾自己；颐养¦care about::v. 担心，关心¦care for::关心，照顾；喜欢¦medical care::医疗护理¦don't care::不管，不在意¦nursing care::护理¦skin care::护肤品；皮肤护理¦take good care::好好照顾；珍重¦take good care of::照顾好；好好照看¦with care::小心地¦personal care::个人护理；个人护理用品¦health care products::保健品¦child care::儿童保育¦health care system::保健系统；医疗制度¦intensive care::重病特别护理¦take care of yourself::照顾好你自己；自己多保重	high standards of medical care::高水平的医疗护理¦They shared the care of the children.::他们共同照顾孩子。¦Care facilities for the elderly are inadequate.::老年人的护理设施很缺乏。	n::关怀；照料；谨慎；忧虑::disturbance, worries¦vi::照顾；关心；喜爱；顾虑::tend, attend, think of	adj::careful:: 仔细的，小心的¦adj::careless:: 粗心的；无忧无虑的；淡漠的¦adj::caring:: 有同情心的；表示或感到关怀或关心的¦adv::carefully:: 小心地¦adv::carelessly:: 粗心地；不注意地；无忧无虑地¦n::carelessness:: 粗心大意¦n::caregiver:: 照料者，护理者¦n::carefulness:: 仔细；慎重¦v::caring:: 关心；照顾（care的现在分词）	indifference				
careful	'kɛrfl	'keəfʊl; -f(ə)l	adj::仔细的，小心的::used to tell someone to think about what they are doing so that something bad does not happen	careful in::在…方面小心¦careful consideration::深思熟虑；细心考虑¦be careful with::小心；照顾¦be careful about::当心，注意¦be careful of::小心，注意；当心…，对…仔细	Be careful - the floor’s slippery.::小心——地板很滑。	adj::仔细的，小心的::aborative, elaborative	adj::careless:: 粗心的；无忧无虑的；淡漠的¦adj::caring:: 有同情心的；表示或感到关怀或关心的¦adv::carefully:: 小心地¦adv::carelessly:: 粗心地；不注意地；无忧无虑地¦n::care:: 关怀；照料；谨慎；忧虑¦n::carelessness:: 粗心大意¦n::carefulness:: 仔细；慎重¦v::caring:: 关心；照顾（care的现在分词）¦vi::care:: 照顾；关心；喜爱；顾虑¦vt::care:: 在意；希望或喜欢	lax	 care(关心， 注意)+ful(形容词后缀)→小心的			
careless	'kɛrləs	'keələs	adj::粗心的；无忧无虑的；淡漠的::not paying enough attention to what you are doing, so that you make mistakes, damage things etc¦n::(Careless)人名；(英)凯尔利斯::	careless of::不顾；不关心；不在乎；不感兴趣；无忧无虑¦careless driving::不小心驾驶；粗心驾车¦careless mistake::粗心错误，疏忽¦careless about::对…粗心	It was careless of him to leave the door unlocked.::他忘了锁门，真是粗心大意。¦a careless mistake::粗心造成的错误¦careless driving::粗心驾驶¦Careless talk can be disastrous for a business.::谈话不慎有时会给企业带来灾难性的损失。	adj::粗心的；无忧无虑的；淡漠的::unwary, sloppy	adj::careful:: 仔细的，小心的¦adj::caring:: 有同情心的；表示或感到关怀或关心的¦adj::carefree:: 无忧无虑的；不负责的¦adv::carefully:: 小心地¦adv::carelessly:: 粗心地；不注意地；无忧无虑地¦n::care:: 关怀；照料；谨慎；忧虑¦n::carelessness:: 粗心大意¦v::caring:: 关心；照顾（care的现在分词）¦vi::care:: 照顾；关心；喜爱；顾虑¦vt::care:: 在意；希望或喜欢		 care(关心)+less(不， 无)→不关心的			
carry	'kæri	'kærɪ	v::拿，扛；携带；支持；搬运::to hold something in your hand or arms, or support it as you take it somewhere¦n::运载；[计] 进位；射程::the distance a ball or bullet travels after it has been thrown, hit, or fired	carry out::vt. 执行，实行；贯彻；实现；完成¦carry on::继续¦carry forward::发扬；推进¦carry through::贯彻；完成；坚持下去¦carry in::携带；输入¦carry with::进行¦carry on with::继续；与…调情¦carry around::随身携带¦carry away::运走；使失去自制力¦carry off::夺去；获得；使丧命；成功地处理¦carry over::..留到以后处理；继续存在¦fetch and carry::做杂务，打杂¦carry trade::套利交易；套息交易；利差交易；息差交易¦carry about::带着；随身携带¦carry the torch::开战；奋斗；单恋¦carry weight::有影响；重要；有分量¦carry up::建高（房屋），追溯¦carry back::vt. 运回；拿回；使回想；使回忆起¦carry bag::n. 手提袋；厚纸袋¦carry the can::代人受过；背黑锅；单独承担困难的任务	Gina was carrying a small bunch of flowers.::吉娜拿着一小束花。¦Angela carried the child in her arms.::安杰拉把小孩抱在怀里。¦Let me carry that for you.::让我帮你拿吧。¦Jack carried his grandson up the stairs.::杰克把孙子抱上楼去。	vt::拿，扛；携带；支持；搬运::encourage, have, hand, second, back¦n::[交]运载；[计]进位；射程::cannon-shot	n::carriage:: 运输；运费；四轮马车；举止；客车厢					
