abandonment	ə'bændənmənt	əˈbændənmənt	n::放弃::The abandonment of a place, thing, or person is the act of leaving it permanently or for a long time, especially when you should not do so		...memories of her father's complete abandonment of her.::…她父亲对她的彻底抛弃的那些记忆。	n::[法]抛弃；放纵::rejection, loose	adj::abandoned:: 被抛弃的；无约束的；恣意放荡的；寡廉鲜耻的¦n::abandon:: 狂热；放任¦v::abandoned:: 抛弃（abandon的过去式和过去分词）¦vt::abandon:: 遗弃；放弃					
insufficient	,ɪnsə'fɪʃnt	ˌɪnsə'fɪʃnt	adj::不足的::not enough, or not great enough	insufficient funds::存款不足¦insufficient memory::内存空间不足	Insufficient resources have been devoted to the health service.::用于医疗保健服务的资源不足。	adj::不足的，不充足的::short, deficient, lacking, wanting¦n::不足::shortage, short of, lack, scarcity	adv::insufficiently:: 不够地；不能胜任地¦n::insufficiency:: 不足，不充分；机能不全；不适当			...The expert review also found insufficient evidence to recommend any drugs or dietary supplements that could prevent or slow cognitive decline...::2016.6/CET6/听力题/第一套¦...and many experts rightly worry about a "lost generation" of mostly Hispanic Texans with insufficient skills for the demands of the knowledge economy...::2014.6/CET6/阅读理解/第二套¦...to which Google has arguably paid insufficient attention...::2011.12/CET6/阅读理解/		
integrity	ɪn'tɛɡrəti	ɪnˈtegrəti	n::正直::the quality of being honest and strong about what you believe to be right	territorial integrity::领土的完整¦moral integrity::节操；气节¦data integrity::数据完整性¦structural integrity::结构完整性¦business integrity::商业信誉¦personal integrity::正直的人品；个人诚信¦surface integrity::表面完整性；表面质量¦integrity test::完整性测试；无损试验¦referential integrity::参照完整性；引用完整性	I have always regarded him as a man of integrity.::我一直把他当作一个正直诚实的人。	n::[数]完整；正直；诚实；廉正::truth, honesty, full, righteousness, completeness	adj::integrate:: 整合的；完全的¦adj::integral:: 积分的；完整的，整体的¦adj::integrated:: 综合的；完整的；互相协调的¦adv::integrally:: 完整地，整体地；固有地¦n::integrate:: 一体化；集成体¦n::integral:: 积分；部分；完整¦n::integer:: [数] 整数；整体；完整的事物¦n::integrality:: 完整性；不可欠缺¦v::integrated:: 整合；使…成整体（integrate的过去分词）¦vi::integrate:: 求积分；取消隔离；成为一体¦vt::integrate:: 使…完整；使…成整体；求…的积分；表示…的总和		 integr(整体) ＋ ity → 一个正直的人才是完整的人 → 诚实； 完整		They have always regarded a man of ______ and fairness as a reliable friend.::3::1)robustness 2)temperament 3)integrity 4)compactness::句意： 他们一直认为诚实、 正直的人是可信赖的朋友。robustness： 精力充沛； temperament： 性情， 禀赋； compactness： 紧密， 简洁。¦Mutual respect for territorial ______ is one of the bases upon which our two countries develop relationships.::2::1)unity 2)integrity 3)entirety 4)reliability::句意： 互相尊重领土完整是我们两国发展友好关系的基础之一。unity： 团结， 联合； entirety： 全部， 完全； reliability： 可靠性。	
intelligent	ɪn'tɛlɪdʒənt	ɪnˈtelɪdʒənt	adj::聪明的::an intelligent person has a high level of mental ability and is good at understanding ideas and thinking clearly	intelligent control::智能控制¦intelligent building::智能型大楼¦intelligent system::智能系统¦intelligent management::智能管理¦intelligent controller::智能控制器¦intelligent design::智能设计¦intelligent instrument::智能仪器¦intelligent robot::智能机器人；智慧型机器人¦intelligent agent::智能代理；职能代理软件；智能主体¦intelligent sensor::智能传感器¦intelligent machine::智能机器¦intelligent car::智能汽车；无人驾驶汽车¦intelligent terminal::智能终端；智能型终端设备¦intelligent use::[化]合理使用¦intelligent behavior::智力行为	a group of highly intelligent (= very intelligent )students::一组聪明异常的学生¦Sontag was once famously described as the most intelligent woman in America.::桑塔格曾被称为美国最聪明的女人，这是众人皆知的事。	adj::智能的；聪明的；理解力强的::wise, bright, clever, smart, understanding	adj::intellectual:: 智力的；聪明的；理智的¦adj::intelligible:: 可理解的；明了的；仅能用智力了解的¦adv::intelligently:: 聪明地，明智地¦adv::intelligibly:: 易理解地¦n::intellectual:: 知识分子；凭理智做事者¦n::intelligence:: 智力；情报工作；情报机关；理解力¦n::intellect:: 智力，理解力；知识分子；思维逻辑领悟力；智力高的人¦n::intellectualization:: 智能化；理智化	dull	 intel(在…之间) ＋ lig(选择) ＋ ent(…的) → 聪明的	...robots can be made as intelligent as human beings some day...::2017.12/CET6/阅读理解/第二套¦...intelligent lighting and a wealth of sensors that control both temperature and air quality are offering an unprecedented level of control...::2017.12/CET6/阅读理解/第三套¦...intelligent lighting and a wealth of sensors that control both temperature and air quality are offering an unprecedented level of control...::2017.12/CET6/阅读理解/第二套¦...technology can deliver through connected sensors and new forms of automation coupled with intelligent energy...::2017.12/CET6/阅读理解/第三套¦...we humans are intelligent and will be able to figure out better ways to make improvements...::2012.12/CET6/写作题/第一套¦...He's very intelligent and eloquent...::2010.6/CET6/阅读理解/¦...Many respondents rate women with golden hair as less intelligent than other people and red hair as more temperamental...::2009.12/CET6/听力题/		
intensely	in'tensli	ɪn'tenslɪ	adv::强烈地::		I do not feel it intensely in my genitals alone, but I do feel it there as well as the rest of my body and…in my mouth…”.::使用男性阳具我都没有这种强烈的感觉，但是在那里及身体的其他部位..还有嘴巴..我却感觉到了。¦By 2011 debris in the center of the ring, which is about a light-year in diameter, was blazing more intensely as the supernova entered a new stage of stellar demise.::到2011年为止，因为这个超新星进入了星球消亡的新阶段，所以这环物质中心直径大约是一光年的碎片燃烧的更加强烈了。	adv::强烈地；紧张地；热情地::warmly, consumingly	adj::intense:: 强烈的；紧张的；非常的；热情的¦adj::intensive:: 加强的；集中的；透彻的；加强语气的¦adj::intensional:: 内涵的；紧张的¦n::intensity:: 强度；强烈；[电子] 亮度；紧张¦n::intensive:: 加强器¦n::intension:: 强度，烈度；加强，加剧；紧张¦vi::intensify:: 增强，强化；变激烈¦vt::intensify:: 使加强，使强化；使变激烈			...with their distinctive character—where life is stable and intensely human—are disappearing...::2016.12/CET6/阅读理解/第一套¦...must imagine intensely and comprehensively; he must put himself in the place of another and of many others; the pains and pleasures of his species must become his own...::2012.12/CET6/阅读理解/第二套¦...Professor Filreis says that he is "a little shocked" at how intensely his Wharton students respond to this unexpected deviation from the businesslike...::2012.12/CET6/阅读理解/第二套		
interact	,ɪntɚ'ækt	ˌɪntər'ækt	v::互动::if people interact with each other, they talk to each other, work together etc	interact with::与……相互作用¦interact on::作用；影响；制约	While the other children interacted and played together, Ted ignored them.::当其他孩子们相互交往、一起玩耍时，泰德却不理他们。	n::幕间剧；幕间休息::entr'acte	adj::interactive:: 交互式的；相互作用的¦adj::interactional:: 相互作用的¦n::interaction:: 相互作用；[数] 交互作用		 inter(在…之间) ＋ act(行动) → 互动 → 相互作用	...not least of which is the opportunity to interact with positive role models outside of regular school hours...::2014.12/CET6/阅读理解/第二套	Researchers have discovered that ______ with animals in an active way may lower a person’s blood pressure.::1::1)interacting 2)integrating 3)migrating 4)merging::interact： 互动。句意： 研究人员发现与动物相处是一种降低血压的有效方法。integrate： 使成整体； migrate： 移动； merge： 合并。	
interaction	,ɪntə'rækʃən	ˌɪntər'ækʃn	n::互动::a process by which two or more things affect each other	interaction with::交往；与…相互作用¦interaction design::交互设计；互动设计¦social interaction::社会互动；社会干预；社会的相互作用¦human-computer interaction::人机交互¦positive interaction::n. 正相互作用¦interaction effect::相互影响¦user interaction::用户交互；使用者互动¦interaction process::互动过程；相互作用过程¦hydrophobic interaction::n. 疏水作用¦mutual interaction::相互酌¦interaction force::相互作用力；相互酌力¦strong interaction::强相互作用（等于strong force）¦interaction energy::互作用能；相互作用能¦interaction analysis::互动分析；相互影响分件；交互分析¦human interaction::人际互动¦molecular interaction::分子间相互作用¦electrostatic interaction::静电作用；静电相互作用；静电相互酌¦interpersonal interaction::人际互动¦interaction time::交互作用时间，相互酌时间¦interaction parameter::相互作用参数；相互酌参数	But you only get the maximum benefit if you implement all of them, because their power comes from their interaction.::但您只能在实现所有方法的情况下获得最大收益，因为它们的力量来自它们之间的交互。¦But you only get the maximum benefit if you implement all of them, because their power comes from their interaction.::但您只有在实现所有方法的情况下才能获得最多的收益，因为它们的力量来自于它们之间的相互作用。¦The real power of the concept comes not from any one of these devices; it emerges from the interaction of all of them.::这个概念的很正力量并不来自于这些设备的任何一个；它来自于这些设备之间的交互。	n::[数][物]相互作用；交互作用::reciprocity, mutual effect	adj::interactive:: 交互式的；相互作用的¦adj::interactional:: 相互作用的¦n::interact:: 幕间剧；幕间休息¦vi::interact:: 互相影响；互相作用¦vt::interact:: 互相影响；互相作用		 inter(在…之间， 相互) ＋ act(行动) ＋ ion → 相互作用	...This undoubtedly mins the quality of social interaction that we need as human beings...::2016.6/CET6/写作题/第二套¦...It is due to the lack of face-to-face interaction with teachers and classmates that people will feel isolated and gradually lose basic social skills...::2016.6/CET6/写作题/第三套¦...e-learning can't offer human interaction in real life...::2016.6/CET6/写作题/第三套¦...researchers are increasingly discovering benefits of gender interaction in youth...::2014.12/CET6/阅读理解/第三套¦...The students turned what could have been a passive interaction into an active one...::2013.6/CET6/阅读理解/第二套¦...A key process in interpersonal interaction is that of social comparison...::2012.12/CET6/阅读理解/第一套		
interference	,ɪntɚ'fɪrəns	ˌɪntəˈfɪərəns	n::干涉::an act of interfering	interference in::干涉¦electromagnetic interference::电磁干扰¦interference with::干涉；妨碍，打扰¦interference fit::过盈配合；干涉配合；紧配合¦mutual interference::互相干扰；相互干涉¦interference suppression::[计]干扰抑制¦interference rejection::抗干扰能力；干扰抑制；抗干扰度；抗扰性¦interference fringe::[电]干涉条纹¦radio interference::无线电干扰；射电干扰¦interference pattern::干涉图样¦intersymbol interference::码间干扰；符号间干扰¦interference filter::干涉滤光片¦background interference::背景干扰；本底干扰¦interference microscope::干涉显微镜¦optical interference::光干涉；光波干扰¦harmonic interference::谐波干涉¦interference factor::干扰因素；干扰因子¦radio frequency interference::射频干扰；无线电频率干扰¦harmful interference::有害干扰¦destructive interference::相消干涉，相消干扰；破坏性干扰	Industrial relations should be free from state interference.::劳资关系应不受政府干预。	n::[通信][物][医]干扰，冲突；干涉::conflict, disturbance, war, obstacle, collision	adj::interfering:: 干涉的；多管闲事的¦n::interferon:: [生化][药] 干扰素¦n::interferometer:: [光] 干涉仪；干涉计¦v::interfering:: 妨碍（interfer的ing形式）¦vi::interfere:: 干涉；妨碍；打扰¦vt::interfere:: 冲突；介入			...this is playing out against the background of global warming and human interference with natural ecosystems...::2009.6/CET6/阅读理解/		
interpretation	ɪn'tɝprɪ'teʃən	ɪnˌtɜ:prɪˈteɪʃn	n::解释，理解::the way in which someone explains or understands an event, information, someone’s actions etc	simultaneous interpretation::同声传译¦judicial interpretation::司法解释¦image interpretation::图像判读，影像判读¦geological interpretation::地质判读；地质学解释¦oral interpretation::口译¦visual interpretation::目视判读；目视判释¦physical interpretation::物理解释	One possible interpretation is that they want you to resign.::一种可能的解释是，他们想要你辞职。¦It’s difficult to put an accurate interpretation on (= explain ) the survey results.::对调查结果难以作出确切的解释。¦What exactly the author meant by that statement is open to interpretation (= able to be understood or explained in different ways ).::作者这句话的确切含义可有各种理解。	n::[计]解释；[语]翻译；演出::explanation, translation, construction, account	adj::interpretive:: 解释的；作为说明的¦adj::interpretative:: 解释的；作为说明的¦adj::interpretable:: 可说明的；可判断的；可翻译的¦n::interpreter:: 解释者；口译者；注释器¦vi::interpret:: 解释；翻译¦vt::interpret:: 说明；口译					
interracial	,ɪntə'reʃl	ˌɪntəˈreɪʃl	adj::种族间的::between different races of people		interracial marriage::种族间的通婚					...Fazio’s Indiana study found that three times as many randomly assigned interracial roommates were no longer living together at the end of the semester...::2012.6/CET6/听力题/¦...That same study found that randomly assigned interracial roommates at Ohio State broke up before the end of the quarter about twice as often as same-race roommates...::2012.6/CET6/听力题/¦...The interracial roommates spent less time together...::2012.6/CET6/听力题/¦...an Ohio State psychology professor who has studied interracial roommates there and at Indiana University...::2012.6/CET6/听力题/¦...Because interracial roommate relationships are often problematic...::2012.6/CET6/听力题/¦...What did the study find about randomly assigned interracial roommates at Ohio State University...::2012.6/CET6/听力题/¦...more interracial roommates split up...::2012.6/CET6/听力题/		
intervene	,ɪntɚ'vin	ˌɪntə'vi:n	v::干涉::to become involved in an argument, fight, or other difficult situation in order to change what happens	intervene in::干预；插手；调停	The army will have to intervene to prevent further fighting.::军队将不得不干预以阻止进一步的战斗。	vi::干涉；调停；插入::influence in, meddle in	adj::intervening:: 介于中间的¦n::intervention:: 介入；调停；妨碍¦n::intervenor:: 介入者；干涉者¦v::intervening:: 介入（intervene的ing形式）		 inter(在…之间) ＋ ven(来) ＋ e → 来到中间 → 干涉； 干扰			
intervention	,ɪntɚ'vɛnʃən	ˌɪntə'venʃn	n::干涉::the act of becoming involved in an argument, fight, or other difficult situation in order to change what happens	government intervention::政府干预；政府干涉¦surgical intervention::手术治疗；外科手术¦crisis intervention::[心]危机干预；危机处理；危机介入¦administrative intervention::行政干预¦market intervention::市场干预¦operator intervention::操作员介入¦social intervention::社会干预；社会介入；社会干涉¦intervention level::干预水平	government intervention to regulate prices::政府介入控制物价	n::介入；调停；妨碍::prevention, violation	adj::intervening:: 介于中间的¦adj::interventionist:: 干涉主义的¦n::interventionist:: 干涉主义者¦n::intervenor:: 介入者；干涉者¦n::interventionism:: 干涉主义（尤指主张干预国际事务）¦v::intervening:: 介入（intervene的ing形式）¦vi::intervene:: 干涉；调停；插入			...it was decisive government intervention that saved the day...::2012.6/CET6/阅读理解/		
intriguing	ɪn'triɡɪŋ	ɪnˈtri:gɪŋ	adj::有趣的::something that is intriguing is very interesting because it is strange, mysterious, or unexpected		The magazine carries an intriguing mixture of high fashion, gossip and racing.::这本杂志内容丰富有趣，有关时尚、花边新闻和赛马的内容都有。	adj::有趣的；迷人的::colorful, funny, killing, taking¦v::引起…的兴趣；策划阴谋；私通（intrigue的ing形式）::brewing	n::intrigue:: 阴谋；诡计；复杂的事；私通¦n::intriguer:: [法] 密谋者，阴谋者；私通者¦vi::intrigue:: 私通；密谋¦vt::intrigue:: 用诡计取得；激起...的兴趣		 in(进入) ＋ trig(=tric， 复杂) ＋ ue → 进入复杂圈套中 → 阴谋， 诡计	...discovered an intriguing academic effect...::2012.6/CET6/听力题/		
invasion	ɪn'veʒn	ɪnˈveɪʒn	n::入侵::when the army of one country enters another country by force, in order to take control of it	water invasion::水侵¦invasion of privacy::侵犯个人隐私；侵犯隐私权¦invasion depth::侵入深度	the annual invasion of teenagers for the Glastonbury Festival::每年前来参加格拉斯顿伯里音乐节的青少年的涌入	n::入侵，侵略；[医]侵袭；侵犯::violence, aggression, infringement	adj::invasive:: 侵略性的；攻击性的¦n::invader:: 侵略者；侵入物¦vi::invade:: 侵略；侵入；侵袭；侵犯¦vt::invade:: 侵略；侵袭；侵扰；涌入					
irony	'aɪrəni	'aɪrənɪ	n::讽刺::a situation that is unusual or amusing because something strange happens, or the opposite of what is expected happens or is true		Life is full of little ironies.::生活中充满了小小的讽刺。	n::讽刺；反语；具有讽刺意味的事::hit, satire¦adj::铁的；似铁的::ferrous	adj::iron:: 铁的；残酷的；刚强的¦adj::ironic:: 讽刺的；反话的¦adj::ironical:: 讽刺的（等于ironic）；用反语的¦adv::ironically:: 讽刺地；说反话地¦n::iron:: 熨斗；烙铁；坚强¦n::ironist:: 讽刺家；讽刺作家¦vi::iron:: 熨衣；烫平¦vt::iron:: 熨；用铁铸成		 iron(铁) ＋ y → 像铁一样冷冰冰的话 → 反话， 冷嘲	...What is the irony about the debate over immigration...::2011.6/CET6/阅读理解/¦...The irony is that for all the overexcited debate...::2011.6/CET6/阅读理解/		
irrelevant	ɪ'rɛləvənt	ɪˈreləvənt	adj::无关的::not useful or not relating to a particular situation, and therefore not important		We’re focussing too much on irrelevant details.::我们过于关注不相干的细节。¦Students viewed Latin as boring and irrelevant.::学生认为拉丁语无聊且无关紧要。	adj::不相干的；不切题的::inconnected, unrelated	adv::irrelevantly:: 不相干地，不切题地；不合适地¦n::irrelevance:: 离题；枝节问题；不相关的事物¦n::irrelevancy:: 离题；无关之事物；不合时宜			...Then what can we do to avoid being distracted by irrelevant information...::2013.12/CET6/写作题/第二套¦...people are easily misguided by irrelevant information and forget their original plan...::2013.12/CET6/写作题/第二套¦...yet irrelevant information by this way...::2013.12/CET6/写作题/第二套¦...low rates are irrelevant because they no longer qualify for mortgages...::2012.12/CET6/阅读理解/第二套		
irritate	'ɪrɪtet	'ɪrɪteɪt	v::激怒::to make someone feel annoyed or impatient, especially by doing something many times or for a long period of time		It really irritates me when he doesn’t help around the house.::家里的事情他一点都不帮忙，真让我恼火。	vt::刺激，使兴奋；激怒::stimulate, fan, anger, motivate, needle	adj::irritating:: 刺激的；气人的；使愤怒的¦adj::irritated:: 恼怒的，生气的¦adj::irritant:: 刺激的；刺激性的¦adj::irritative:: 刺激的；刺激性的；使发怒的¦n::irritation:: 刺激；刺激物；激怒；兴奋¦n::irritant:: [医] 刺激物，[医] 刺激剂¦n::irritability:: 过敏性；易怒；兴奋性¦v::irritating:: 刺激（irritate的ing形式）；激怒¦v::irritated:: 激怒；使…无效；使…兴奋（irritate的过去分词）				Please do not be ______ by his offensive remarks since he is merely trying to attract attention.::3::1)distracted 2)disregarded 3)irritated 4)intervened::句意： 请不要因为他无礼的言语生气， 他只是想吸引别人的注意力罢了。distract： 转移； disregard： 不理， 漠视； intervene： 干涉， 插手。	
isolation	,aɪsə'leʃən	ˌaɪsəˈleɪʃn	n::隔绝，隔离::when one group, person, or thing is separate from others	vibration isolation::[机]隔振¦in isolation::孤立地；绝缘¦isolation method::[医]隔离法；分间隔离治疗法¦social isolation::社交孤立；社会隔离¦isolation ward::n. 隔离病房¦shock isolation::冲霍离；震荡隔离；震动/冲击隔离¦geographical isolation::地理隔离¦thermal isolation::热绝缘¦isolation belt::隔离带¦isolation valve::隔离阀¦isolation transformer::隔离变压器¦reproductive isolation::生殖隔离	Because of its geographical isolation, the area developed its own unique culture.::由于地理上的隔绝，该地区发展了自己独特的文化。¦The mansion sits in splendid isolation on top of the hill (= it is far from everything and looks impressive ).::宅邸位于山顶，远离尘嚣。¦a patient’s isolation period::病人的隔离期	n::[电子]隔离；孤立；[电]绝缘；[化学]离析::insulation, segregation	adj::isolate:: 隔离的；孤立的¦adj::isolated:: 孤立的；分离的；单独的；[电] 绝缘的¦adj::isolating:: 孤立的；绝缘的¦adj::isolationist:: 孤立主义的；孤立主义者的¦adj::isolable:: 可孤立的；可隔离的¦n::isolate:: [生物] 隔离种群¦n::isolationism:: 孤立主义¦n::isolationist:: 孤立主义者¦v::isolated:: 使孤立；使绝缘；脱离（isolate的过去分词）¦v::isolating:: 使隔离；使绝缘（isolate的ing形式）¦vi::isolate:: 隔离；孤立¦vt::isolate:: 使隔离；使孤立；使绝缘					
judicial	dʒʊ'dɪʃəl	dʒuˈdɪʃl	adj::司法的::relating to the law, judges, or their decisions	judicial practice::判例；司法程序¦judicial system::司法制度；法院系统¦judicial review::n. 司法审查；复审¦judicial interpretation::司法解释¦judicial power::司法权；审判权¦judicial authority::司法机关¦judicial process::司法程序；审判程序¦judicial assistance::司法援肋¦judicial fairness::司法公正¦judicial decision::司法裁决¦judicial precedent::司法判例¦supreme judicial court::最高上诉法院；最高法院¦judicial investigation::司法调查；法院调查¦judicial proceeding::司法程序¦judicial action::司法行为¦judicial police::司法警察	...an independent judicial system.::…一个独立的司法体系。	adj::公正的，明断的；[法]法庭的；审判上的::just, candid	adj::judging:: 决断型¦adj::judgmental:: 审判的¦adj::judicable:: 应受审判的；可被审判的¦adj::judicatory:: 司法的；判决的¦adv::judiciously:: 明智而审慎地；明断地¦adv::judicially:: 依法判决地；公正地¦n::judge:: 法官；裁判员¦n::judgement:: 意见；判断力；[法] 审判；评价¦n::judicatory:: 法庭；法院系统¦vi::judge:: 审判；判决¦vi::judging:: 判断（judge的现在分词）；评判¦vt::judge:: 判断；审判¦vt::judging:: 判断；审判（judge的现在分词）					
jury	'dʒʊri	'dʒʊərɪ	n::陪审团::a group of 12 ordinary people who listen to the details of a case in court and decide whether someone is guilty or not	grand jury::[法]大陪审团¦jury trial::陪审团审案¦trial by jury::陪审审判¦judge and jury::法官与陪审团¦jury duty::在陪审团作陪审员时间；陪审员的义务	the members of the jury::陪审团成员¦The jury found him not guilty.::陪审团裁定他无罪。¦the right to trial by jury::由陪审团进行审理的权利	adj::应急的::quick-fix, lash-up	n::juror:: 审查委员，陪审员¦n::juryman:: 陪审员¦n::jurywoman:: 女陪审员		 jur(法律) ＋ y → 陪审团	...Jackson spent five years in prison after a jury wrongly convicted him of raping two women...::2012.6/CET6/听力题/¦...The jury believed the testimony of the two victims...::2012.6/CET6/听力题/		
justifiable	'dʒʌstɪfaɪəbl	ˈdʒʌstɪfaɪəbl	adj::理所应当的::actions, reactions, decisions etc that are justifiable are acceptable because they are done for good reasons		justifiable anger::情有可原的愤怒¦Are these experiments morally justifiable?::这些实验合乎道德准则吗？	adj::可辩解的，有道理的；可证明为正当的::explainable, excusable	adj::just:: 公正的，合理的；正直的，正义的；正确的；公平的；应得的¦adj::justified:: 有正当理由的；合乎情理的；事出有因的¦adj::justificative:: 认为正当的；起辩护作用的¦adj::justificatory:: 辩护的；认为正当的¦adv::just:: 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要¦adv::justifiably:: 无可非议地；言之有理地¦adv::justly:: 公正地；正当地；恰当地；正直地¦n::justification:: 理由；辩护；认为有理，认为正当；释罪¦n::justifier:: 辩护者；辩解者；证明者；整版工人¦n::justness:: 公正；正确，精确¦v::justified:: 调整（justify的过去分词）；证明…正当¦vi::justify:: 证明合法；整理版面¦vt::justify:: 证明…是正当的；替…辩护					
justified	'dʒʌstɪfaɪd	'dʒʌstɪfaɪd	adj::正当的::having an acceptable explanation or reason		In the Chief Constable’s view, the use of force was fully justified.::在警察局局长看来，使用武力是完全正当的。	v::调整（justify的过去分词）；证明…正当::adjusted, oriented	adj::just:: 公正的，合理的；正直的，正义的；正确的；公平的；应得的¦adj::justifiable:: 可辩解的，有道理的；可证明为正当的¦adj::justificative:: 认为正当的；起辩护作用的¦adj::justificatory:: 辩护的；认为正当的¦adv::just:: 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要¦adv::justifiably:: 无可非议地；言之有理地¦adv::justly:: 公正地；正当地；恰当地；正直地¦n::justification:: 理由；辩护；认为有理，认为正当；释罪¦n::justifier:: 辩护者；辩解者；证明者；整版工人¦n::justness:: 公正；正确，精确¦vi::justify:: 证明合法；整理版面¦vt::justify:: 证明…是正当的；替…辩护		 just(正义) ＋ ify(使…) → 证明…是正当的	...while this may seem justified by a noble goal...::2013.6/CET6/阅读理解/第三套		
keen	kin	ki:n	adj::浓厚的；敏锐的::a keen sense of smell or keen sight or hearing is an extremely good ability to smell etc	keen on::喜爱；热衷于…¦keen competition::剧烈竞争¦keen interest::强烈的兴趣	Dogs have a very keen sense of smell.::狗的嗅觉十分灵敏。¦She has a keen eye for (= is good at noticing ) talent.::她擅于发掘人才。	adj::敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的::acute, intense, eager, pointed, burning¦n::痛哭，挽歌::elegy, dirge	adv::keenly:: 敏锐地；强烈地；锐利地¦n::keenness:: 敏锐；锐利			...She has a keen understanding of financial markets...::2015.6/CET6/阅读理解/第一套		
kidnap	'kɪdnæp	'kɪdnæp	v::绑架::to take someone somewhere illegally by force, often in order to get money for returning them		Police appealed for wit­nesses after a woman was kidnapped at gunpoint.::一名妇女遭到持枪绑架，警方呼吁目击者挺身而出。	vt::绑架；诱拐；拐骗::spirit, abduct	n::kidnapper:: 绑匪；诱拐者¦n::kidnaper:: 绑匪；拐子		 kid(小孩) ＋ nap(小睡) → 将熟睡的小孩抱走 → 绑架， 诱拐	...Are cities and towns less safe and kids more vulnerable to crimes like child kidnap and sexual abuse than they were in previous generations...::2009.6/CET6/阅读理解/		
lack	læk	læk	v::缺少::to not have something that you need, or not have enough of it	lack of::没有，缺乏；不足，不够¦for lack of::因缺乏…；因缺少…；因没有…¦lack in::缺少…；在…缺乏¦lack of power::乏力；缺乏动力¦by lack of::因没有...；因缺乏...¦from lack of::因没有...；因缺乏...¦lack of money::缺钱¦lack of time::缺乏时间¦lack of capital::缺乏资金¦lack for::缺乏¦through lack of::因缺乏¦lack of faith::不信教，不信神¦lack of fusion::未熔合；未焊透；熔解不足¦lack of penetration::未焊透¦lack of rainfall::缺雨，少雨¦lack of labor::劳动力缺乏	Alex’s real problem is that he lacks confidence.::亚历克斯的真正问题是缺乏信心。	vt::缺乏；不足；没有；需要::ask, claim¦vi::缺乏；不足；没有::fail, low in¦n::缺乏；不足::shortage, short of, deficiency, need, drought	adj::lacking:: 缺乏的；没有的；不足的¦v::lacking:: 缺少；不足（lack的ing形式）			...as around 75% of the local harvest goes to waste thanks to a lack of proper storage facilities...::2017.12/CET6/阅读理解/第一套¦...People from broken homes often lack stable lives...::2016.6/CET6/听力题/第三套¦...We aren't suffering from a shortage of needed skills; we're suffering from a lack of policy resolve...::2016.6/CET6/阅读理解/第三套¦...But the lack of work opportunities in Bucks County limits how much she can help...::2016.6/CET6/听力题/第二套¦...More than 80% of those cases can be attributed to contact with contaminated water and a lack of proper sanitation...::2016.6/CET6/阅读理解/第二套¦...What did the company lack before the man's scheme was implemented...::2016.6/CET6/听力题/第二套¦...It is due to the lack of face-to-face interaction with teachers and classmates that people will feel isolated and gradually lose basic social skills...::2016.6/CET6/写作题/第三套¦...Most pop singers suffer from three things: lack of training...::2016.6/CET6/听力题/第三套¦...these areas lack advanced water-treatment facilities...::2016.6/CET6/阅读理解/第二套¦...American scientists complain about lack of sufficient money and equipment for their expansion in Antarctica...::2016.12/CET6/阅读理解/第一套¦...Many top firms will not even look at applications from those who lack a 2...::2016.12/CET6/阅读理解/第一套¦...that lack of enthusiasm could stem from concerns about privacy and security...::2016.12/CET6/阅读理解/第二套¦...And because a failure to accept these increased demands indicates a lack of commitment to one's work...::2016.12/CET6/阅读理解/第三套¦...If we lack the air necessary for a healthy life...::2015.6/CET6/阅读理解/第一套¦...It was this lack of information that prompted the launch of I'm First in 2013...::2015.12/CET6/阅读理解/第一套¦...which documented the lack of intellectual growth experienced by many people enrolled in college...::2015.12/CET6/阅读理解/第二套¦...if we lack the ability to distinguish the true information from the misleading one...::2015.12/CET6/写作题/第三套¦...Arum and Roksa placed the blame for students' lack of learning on a watered-down college curriculum and lowered undergraduate work standards...::2015.12/CET6/阅读理解/第二套¦...there tends to be a lack of information and support to help students think bigger and broader...::2015.12/CET6/阅读理解/第一套¦...Due to the lack of experience and determined will...::2014.6/CET6/写作题/第三套¦...which might be explained by the lack of opportunity to learn about relationships during their formative years...::2014.12/CET6/阅读理解/第三套¦...Take another common obstacle: lack of money...::2013.12/CET6/阅读理解/第二套¦...But many papers lack interest in reporting something positive like peace...::2012.6/CET6/阅读理解/¦...and lack communication with people around them...::2012.6/CET6/写作题/¦...But the apparent lack of progress is misleading for two reasons...::2012.12/CET6/阅读理解/第二套¦...This scenario is common in newsrooms that lack a systematic way to filter story suggestions...::2011.6/CET6/阅读理解/¦...but instead go to community colleges and low-rated state schools that lack the resources to help them...::2011.6/CET6/阅读理解/		
