internship	'ɪntɝnʃɪp	ˈɪntɜ:nʃɪp	n::<美>实习医师::a job that lasts for a short time, that someone, especially a student, does in order to gain experience	internship programs::实习计划；实习课程	...an internship in surgery in New York.::…一个在纽约做外科实习的职位。	n::实习生；（美）实习期；实习医师职位::trainee, probationer	n::intern:: 实习生，实习医师¦n::interne:: 实习医师¦vi::intern:: 作实习医师¦vt::intern:: 拘留，软禁					
divergent	daɪ'vɝdʒənt	daɪ'vɜːdʒ(ə)nt; dɪ-	adj::相异的，分歧的；散开的::Divergent things are different from each other	divergent thinking::发散思维，扩散思考	Two people who have divergent views on this question are George Watt and Bob Marr.::在这个问题上意见相左的两个人是乔治·瓦特和鲍勃·马尔。	adj::相异的，[光]分歧的；[心理][数]散开的::alien, dissimilative	adj::diverging:: 发散的；分歧的；岔开的（等于divergent）¦adj::divaricate:: 分叉的¦n::divergence:: 分歧¦n::divarication:: 分歧；分叉；意见不同；分支¦n::divergency:: 分离；分歧¦v::diverging:: 分叉；背离（diverge的现在分词）¦vi::diverge:: 分歧；偏离；分叉；离题¦vi::divaricate:: 叉开；分歧¦vt::diverge:: 使偏离；使分叉¦vt::divaricate:: 使分成两叉					
diverse	daɪ'vɝs	daɪ'vɜːs; 'daɪvɜːs	adj::不同的；多种多样的；变化多的::If a group of things is diverse, it is made up of a wide variety of things		The building houses a wide and diverse variety of antiques.::这栋楼里摆放着大量各式各样的古董。	adj::不同的；多种多样的；变化多的::different, unlike, varying, another, dissimilar	adj::diversified:: 多样化的；各种的¦adv::diversely:: 不同地；各色各样地¦n::diversity:: 多样性；差异¦n::diversification:: 多样化；变化¦n::divarication:: 分歧；分叉；意见不同；分支¦n::diverseness:: 多样性；不同¦v::diversified:: 使…多样化（diversify的过去分词）¦vt::diversify:: 使多样化，使变化；增加产品种类以扩大					
diversify	daɪˈvɜrsəˌfaɪ	daɪˈvɜːsɪˌfaɪ	v::使多样化，使变化；增加产品种类以扩大::if a business, company, country etc diversifies, it increases the range of goods or services it produces		We need to diversify the economy.::我们要使经济多元化。	vt::使多样化，使变化；增加产品种类以扩大::vary, variegate	adj::diverse:: 不同的；多种多样的；变化多的¦adj::diversified:: 多样化的；各种的¦adj::divers:: 不同种类的，各式各样的¦n::diversity:: 多样性；差异¦n::diversification:: 多样化；变化¦n::diverseness:: 多样性；不同¦v::diversified:: 使…多样化（diversify的过去分词）					
diversion	dəˈvɝʒən; dəˈvɝʃən; daɪˈvɝʒən; daɪˈvɝʃən	daɪ'vɜːʃ(ə)n; dɪ-	n::转移；消遣；分散注意力::a change in the direction or use of something, or the act of changing it	south-to-north water diversion::南水北调¦diversion tunnel::导流洞；导流隧洞¦river diversion::导流；河流改道¦trade diversion::贸易转移，贸易转向；贸易多样化¦diversion channel::分水渠，泄水渠	Two prisoners created a diversion to give the men time to escape.::两名囚犯想办法分散了大家的注意力，使那些人有时间逃跑。	n::转移；消遣；分散注意力::entertainment, transfer, occupation, recreation, metastasis	adj::diverting:: 有趣的；令人快乐的¦adj::diversionary:: 转换注意力的；牵制性的¦adv::divertingly:: 消遣地；有趣地；消愁解闷地¦n::diversionist:: 阴谋破坏者；敌后工作者；背离党规者；进行牵制活动者¦v::diverting:: 使转移；使得到消遣（divert的现在分词）¦vi::divert:: 转移¦vt::divert:: 转移；使…欢娱；使…转向					
diversity	dɪˈvəsɪti	daɪ'vɜːsɪtɪ; dɪ-	n::多样性；差异::the fact of including many different types of people or things	species diversity::物种多样性；歧异度¦biological diversity::生物多样性；生物差异¦diversity index::多样性指数；歧异度指数¦diversity gain::分集增益¦frequency diversity::频率分隔¦ecological diversity::生态多样性；生态分岐度¦diversity management::多样性管理	...the cultural diversity of Latin America.::…拉丁美洲文化的多样性。	n::多样性；差异::difference, multiplicity	adj::diverse:: 不同的；多种多样的；变化多的¦adj::diversified:: 多样化的；各种的¦adj::divers:: 不同种类的，各式各样的¦n::diversification:: 多样化；变化¦n::diverseness:: 多样性；不同¦v::diversified:: 使…多样化（diversify的过去分词）¦vt::diversify:: 使多样化，使变化；增加产品种类以扩大					
divert	dɪˈvɚt	daɪ'vɜːt; dɪ-	v::转移；使…欢娱；使…转向::if you divert your telephone calls, you arrange for them to go directly to another number, for example because you are not able to answer them yourself for some time¦n::(Divert)人名；(法)迪韦尔::	divert attention from::把注意力从…转移开来；分散注意力¦divert from::转移	Remember to divert your phone when you are out of the office.::你不在办公室的时候要记得设定电话转移。	vt::转移；使…欢娱；使…转向::shift, distract from¦vi::转移::transfer, metastasize	adj::diverting:: 有趣的；令人快乐的¦n::diversion:: 转移；消遣；分散注意力¦v::diverting:: 使转移；使得到消遣（divert的现在分词）					
divide	dɪ'vaɪd	dɪ'vaɪd	v::划分；除；分开；使产生分歧::if something divides, or if you divide it, it separates into two or more parts¦n::[地理] 分水岭，分水线::a line of high ground between two river systems	divide into::把……分成¦digital divide::数字鸿沟¦divide the work::分工¦divide by::除以；用…除¦divide up::瓜分；分割；分配¦divide and conquer::分而治之；各个击破¦continental divide::美国大陆洛矶山脉分水岭¦be divided against itself::(团体)分裂而自我削弱，内部分裂，发生派系斗争，发生内讧 [《马可福音》3：25]¦divide out::分配；除，约去	The physical benefits of exercise can be divided into three factors.::锻炼对身体的好处可以分成3个方面。	vt::划分；除；分开；使产生分歧::distribute, part¦vi::分开；意见分歧::differ, come between¦n::[地理]分水岭，分水线::shed, watershed	adj::divided:: 分裂的；分开的；有分歧的¦adj::divisive:: 分裂的；区分的；造成不和的¦adj::divisible:: 可分的；可分割的¦adj::dividing:: 区分的；起划分作用的¦adj::divisional:: 分区的；分割的¦adj::dividable:: 可分的¦n::division:: [数] 除法；部门；分割；师（军队）；赛区¦n::divider:: [计] 除法器；分隔物；圆规¦n::divisibility:: 可分性；[数] 可除性¦v::divided:: 分开（divide的过去分词）；分离¦v::dividing:: 分开（divide的ing形式）					
dividend	'dɪvɪdɛnd	'dɪvɪdend	n::红利；股息；[数] 被除数；奖金::a part of a company’s profit that is divided among the people with  share s  in the company	dividend policy::股息分配方针¦cash dividend::现金股利¦dividend distribution::股息分配¦stock dividend::股票的股息¦dividend yield::股息生息率（每股股利与目前价格的比率）¦dividend income::股利收益¦interim dividend::期中股利；暂时股息¦final dividend::期末股息¦dividend rate::股利率，股息率¦dividend tax::[经]纯益税	The first quarter dividend has been increased by nearly 4 percent.::第一季度的股息增加了近4％。	n::股息；[数]被除数；奖金::bonus, stake						
divine	dɪ'vaɪn	dɪ'vaɪn	adj::神圣的；非凡的；天赐的；极好的::coming from or relating to God or a god¦v::占卜；预言；用占卜勘探::¦n::牧师；神学家::	divine comedy::n. 神曲（意大利诗人但丁作的叙事诗）¦divine law::神法¦divine service::祭礼；礼拜	divine power::神的力量¦divine love::上帝的慈爱	adj::神圣的；非凡的；天赐的；极好的::remarkable, extraordinary, wonderful, excellent, famous¦vt::占卜；预言；用占卜勘探::predict, prognosticate¦vi::占卜；预言；使用占卜勘探矿::soothsay¦n::牧师；神学家::minister, priest, preacher	adj::divinatory:: 占卜的；预见的¦adv::divinely:: 凭神的力量；象神一样地；庄严地；极好地¦n::divinity:: 神；神性；神学¦n::divination:: 预测，占卜¦n::diviner:: 预言者；占卜者；推测者					
divinity	dɪ'vɪnəti	dɪ'vɪnɪtɪ	n::神；神性；神学::the study of God and religious beliefs	divinity school::神学院	a graduate of Harvard divinity school::哈佛大学神学院的毕业生	n::神；神性；神学::deity, holy one	adj::divine:: 神圣的；非凡的；天赐的；极好的¦adv::divinely:: 凭神的力量；象神一样地；庄严地；极好地¦n::divine:: 牧师；神学家¦vi::divine:: 占卜；预言；使用占卜勘探矿¦vt::divine:: 占卜；预言；用占卜勘探					
divisible	də'vɪzəbl	dɪ'vɪzɪb(ə)l	adj::可分的；可分割的::able to be divided, for example by a number	divisible letter of credit::可分割信用状	Twenty-eight is divisible by seven.::二十八可以被七整除。	adj::[数]可分的；可分割的::partible, dissectible	adj::divided:: 分裂的；分开的；有分歧的¦adj::divisive:: 分裂的；区分的；造成不和的¦adj::dividing:: 区分的；起划分作用的¦adj::divisional:: 分区的；分割的¦adj::dividable:: 可分的¦n::division:: [数] 除法；部门；分割；师（军队）；赛区¦n::divide:: [地理] 分水岭，分水线¦n::divider:: [计] 除法器；分隔物；圆规¦n::divisibility:: 可分性；[数] 可除性¦v::divided:: 分开（divide的过去分词）；分离¦v::dividing:: 分开（divide的ing形式）¦vi::divide:: 分开；意见分歧¦vt::divide:: 划分；除；分开；使产生分歧					
division	də'vɪʒən	dɪ'vɪʒ(ə)n	n::[数] 除法；部门；分配；分割；师（军队）；赛区::the act of separating something into two or more different parts, or the way these parts are separated or shared	division of labor::劳动力的分工¦frequency division::分频；频率划分¦administrative division::行政区域¦frequency division multiplexing::频分复用；分频多路传输¦cell division::细胞分裂¦division of labour::分工¦code division multiple access::码分多址联接方式¦time division::时分；时间分割；时间划分¦wavelength division::波分¦division method::除法¦first division::甲级（由联赛中较强的队组成）¦division of work::[经]分工¦second division::乙级联赛；乙级队¦project division::n. 计划部门¦time division multiplexing::时分多路复用；时分多路转换¦airborne division::空降师¦lower division::低年级；低组别¦mesh division::分格¦manufacturing division::制造部门，制造部¦division algorithm::辗转相除法；除法算则，除法算式；带余除法	the traditional division of labour (= the way that particular tasks are shared ) between husband and wife::夫妻之间传统的分工	n::师（军队）；[管理]部门；分割；[数]除法::ministry, department, sector, segmentation, dom	adj::divided:: 分裂的；分开的；有分歧的¦adj::divisive:: 分裂的；区分的；造成不和的¦adj::divisible:: 可分的；可分割的¦adj::dividing:: 区分的；起划分作用的¦adj::divisional:: 分区的；分割的¦adj::dividable:: 可分的¦adj::divisionist:: 新印象画派的¦n::divide:: [地理] 分水岭，分水线¦n::divider:: [计] 除法器；分隔物；圆规¦n::divisibility:: 可分性；[数] 可除性¦n::divisionist:: 反对统一者¦v::divided:: 分开（divide的过去分词）；分离¦v::dividing:: 分开（divide的ing形式）¦vi::divide:: 分开；意见分歧¦vt::divide:: 划分；除；分开；使产生分歧					
divisive	di'vaisiv	dɪ'vaɪsɪv	adj::分裂的；区分的；造成不和的::causing a lot of disagreement between people		The strike was a divisive issue in the community.::这场罢工导致社区内部分歧。	adj::分裂的；区分的；造成不和的::partite, schismatical	adj::divided:: 分裂的；分开的；有分歧的¦adj::divisible:: 可分的；可分割的¦adj::dividing:: 区分的；起划分作用的¦adj::divisional:: 分区的；分割的¦adj::dividable:: 可分的¦n::division:: [数] 除法；部门；分割；师（军队）；赛区¦n::divide:: [地理] 分水岭，分水线¦n::divider:: [计] 除法器；分隔物；圆规¦n::divisibility:: 可分性；[数] 可除性¦v::divided:: 分开（divide的过去分词）；分离¦v::dividing:: 分开（divide的ing形式）¦vi::divide:: 分开；意见分歧¦vt::divide:: 划分；除；分开；使产生分歧					
divulge	dɪ'vʌldʒ	daɪ'vʌldʒ; dɪ-	v::泄露；暴露::to give someone information that should be secret		Officials refuse to divulge details of the negotiations.::官员们拒绝透露谈判的细节。	vt::泄露；暴露::reveal, ooze out						
dizzy	'dɪzi	'dɪzɪ	adj::晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的::feeling unable to stand steadily, for example because you are looking down from a high place or because you are ill¦v::使头晕眼花；使混乱；使茫然::¦n::(Dizzy)人名；(英)迪齐::	feel dizzy::头晕；感到晕眩	The heat and the champagne made him feel dizzy .::高温和香槟酒使他感到眩晕。¦She started to suffer from dizzy spells (= a short period when you feel dizzy ) .::她开始感到一阵阵的眩晕。	adj::晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的::swimming, foolish, stupid¦vt::使头晕眼花；使混乱；使茫然::cloud, confuse	adv::dizzily:: 使人眼花地；头昏眼花地¦n::dizziness:: 头晕；头昏眼花					
do	du	duː	n::要求；规定；C大调音阶中的第一音::¦v::做；干；学习；研究；进行；完成；解答；整理；算出；引起；行过::used instead of repeating a verb that has already been used¦aux::助动词（构成疑问句和否定句）；（代替动词）；（用于加强语气）::used instead of repeating a verb that has already been used	do a::[口语]仿效，模仿，学…的样子¦do well::做得好；进展好¦do so::如此做¦do in::使精疲力竭¦do right::做得对¦do it all::服无期徒刑；多才多艺；包办一切¦do wrong::v. 作恶¦have to do with::与…有关¦make do::凑合着用；以…权充；设法达成¦have done with::做完；和…无关¦do by::对待¦do well for oneself::[口语]兴旺，发达，昌盛，成功；变得富裕起来；改善自己的社会地位¦do well for::获得大量的…；有很多的…供应，得到…充足的供给¦do one's bit::尽自己的一份力量¦do up::整理；刷新；修缮；使精疲力尽¦do or die::决一死战¦nothing doing::不行；办不到¦do it up::[美国俚语]干净利落¦do to death::◎杀死；处死；谋杀¦dos and don'ts::执政党与在野党；注意事项，行为准则	‘Will Kay come?’ ‘She may do.’::“凯来吗？” “或许吧。”¦So now you know as much as I do.::那么现在你知道的和我一样多了。¦‘You forgot all about it.’ ‘No, I didn’t.’::“你把这事忘记得一干二净。” “没有，我没忘记。”¦‘I want to go home.’ ‘So do I.’::“我想回家。” “我也是。”¦I didn’t believe the story and neither did he.::我不相信这个故事，他也不信。	n::要求；规定；C大调音阶中的第一音::requirement, provision, need, desire, demand¦vt::做；进行；完成；解答::accomplish, carry out, come, achieve, perform¦vi::做；进行；完成::progress, wage	adj::doable:: 可做的¦n::doer:: 实干家；行为者¦n::doing:: 活动；所作所为¦v::doing:: 做；干（do的ing形式）					
docile	ˈdoʊˌsaɪl	'dəʊsaɪl	adj::温顺的，驯服的；容易教的::quiet and easily controlled		Labradors are gentle, docile dogs.::拉布拉多犬温和驯服。	adj::温顺的，驯服的；容易教的::quiet, meek	n::docility:: 温顺；顺从					
dock	dɑk	dɒk	n::码头；船坞；被告席；尾巴的骨肉部分::a place in a port where ships are loaded, unloaded, or repaired¦v::使靠码头；剪短::if a ship docks, or if the captain docks it, it sails into a dock so that it can unload	dock in::进坞¦loading dock::n. 码头；灌油码头；装货码头¦in the dock::在受审¦dry dock::干船坞¦floating dock::n. 浮动船坞¦in dry dock::失业	A crowd was waiting at the dock to greet them.::一群人在码头等着迎接他们。	n::[水运]码头；[船]船坞；被告席；尾巴的骨肉部分::landing, pier¦vt::使靠码头；剪短::crop, bob	adj::docking:: 入坞的¦n::docking:: 入坞¦n::docker:: 码头工人¦n::dockage:: 船坞使用费；[水运] 码头费；扣除；削减¦n::dockworker:: 码头工人¦v::docking:: 入港；为…设置船坞（dock的ing形式）					
dockyard	'dɑk'jɑrd	'dɒkjɑːd	n::[船] 造船厂；海军工厂::a place where ships are repaired or built			n::[船]造船厂；海军工厂::shipyard, navy yard						
doctor	'dɑktɚ	'dɒktə	v::修理；篡改，伪造；为…治病；授以博士学位::to dishonestly change something in order to gain an advantage¦n::医生；博士::someone who is trained to treat people who are ill		He had doctored his passport to pass her off as his daughter.::他窜改了护照，谎称她是他的女儿。¦There are concerns that some players have been doctoring the ball.::有人担心说一些选手在球上做手脚。	n::[医]医生；博士::medical, hakeem¦vt::修理；窜改，伪造；为…治病；授以博士学位::repair, perform maintenance¦vi::就医；行医::practice medicine	adj::doctoral:: 博士的；博士学位的；有博士学位的¦adj::doctorial:: 博士的；学者的（等于doctorel）¦n::doctorate:: 博士学位；博士头衔¦n::doctoral:: 博士论文					
doctorate	'dɑktərət	'dɒkt(ə)rət	n::博士学位；博士头衔::a university degree of the highest level	doctorate degree::博士学位¦post doctorate::博士后	Professor Lanphier obtained his doctorate in social psychology from the University of Michigan.::兰菲尔教授从密歇根大学获得了社会心理学博士学位。	n::博士学位；博士头衔::doctoral degree	adj::doctoral:: 博士的；博士学位的；有博士学位的¦adj::doctorial:: 博士的；学者的（等于doctorel）¦n::doctor:: 医生；博士¦n::doctoral:: 博士论文¦vi::doctor:: 就医；行医¦vt::doctor:: 修理；窜改，伪造；为…治病；授以博士学位					
doctrine	'dɑktrɪn	'dɒktrɪn	n::主义；学说；教义；信条::a set of beliefs that form an important part of a religion or system of ideas	monroe doctrine::门罗主义；类似门罗主义的策略¦truman doctrine::n. 杜鲁门主义	traditional doctrines of divine power::神力的传统教义¦Marxist doctrine::马克思主义学说	n::主义；学说；教义；信条::principle, theory, belief, teaching	adj::doctrinal:: 学说的，教义的；教诲的					
document	dɑkjəmənt	'dɒkjʊm(ə)nt	n::文件，公文；[计] 文档；证件::a piece of paper that has official information on it¦v::用文件证明::	document management::文件管理；资料管理¦document retrieval::[计]文档检索¦official document::官方文件，公文¦transport document::运输单据¦relevant document::相关文件；关联文件¦electronic document::电子文件¦original document::原始文件；[计]源文献；正本单据¦document delivery::文档传递¦new document::n. 新建文档¦document control::文件控制；文档控制¦bidding document::标书¦design document::设计文件¦document processing::文件处理；材料审查¦shipping document::船务文件¦source document::源文档¦related document::相关文件；有关单证¦html document::HTML文件¦identity document::身份证件；身分证明文件¦tender document::投标文件；提供证件¦travel document::旅行证件	She produces legal documents for a downtown Seattle law firm.::她为西雅图市区的一家法律事务所撰写法律文件。	n::文件，公文；[计]文档；[管理]证件::file, paper	adj::documentary:: 记录的；文件的；记实的¦adj::documental:: 文件的，公文的¦n::documentation:: 文件材料¦n::documentary:: 纪录片¦n::documenter:: 资料员					
documentary	'dɑkjə'mɛntri	dɒkjʊ'ment(ə)rɪ	adj::记录的；文件的；记实的::documentary films, programmes, photographs etc give or show information about a particular subject¦n::纪录片::a film or television or a radio programme that gives detailed information about a particular subject	documentary film::纪录片；文献片¦documentary credit::押汇信用证¦documentary evidence::证明文件；书面证明¦documentary draft::跟单汇票；押汇汇票¦documentary letter of credit::跟单信用证；跟单信用状¦documentary proof::文件证明¦documentary collection::跟单托收	documentary films::纪录影片	adj::记录的；文件的；记实的::recorded	adj::documental:: 文件的，公文的¦n::document:: 文件，公文；[计] 文档；证件¦n::documentation:: 文件材料¦vt::document:: 用文件证明					
dodge	dɑdʒ	dɒdʒ	n::躲闪；托词::¦v::躲避，避开::to move quickly to avoid someone or something		He ran across the courtyard, dodging a storm of bullets.::他跑过院子，躲避雨点般的子弹。	n::躲闪；托词::subterfuge¦vi::躲避，避开::escape, stay away from¦vt::躲避，避开::avoid, shun	adj::dodgy:: 狡猾的，逃避的；善于骗人的；躲闪的¦n::dodging:: 避开；音调改变¦n::dodger:: 欺瞒者；躲避者¦vt::dodging:: 闪避（dodge的现在分词）					
dog	dɔɡ	dɒg	n::狗；丑女人；卑鄙的人；(俚)朋友::a common animal with four legs, fur, and a tail. Dogs are kept as pets or trained to guard places, find drugs etc.¦v::跟踪；尾随::to follow close behind someone	let sleeping dogs lie::[口语]莫惹是非，别惹麻烦，不自找麻烦；别多事[亦作 don't wake a sleeping dog]¦little dog::n. [天]小犬座（等于Canis Minor）¦hot dog::热狗（面包夹熏红肠）¦pet dog::宠物狗；宠物犬¦dog food::狗食；一文不值，分文不值¦rain cats and dogs::下倾盆大雨¦big dog::看门狗；[美俚]大人物¦lazy dog::懒汉，懒家伙¦black dog::沮丧¦wild dog::野狗；大洋洲野犬¦lucky dog::[俚]幸运儿¦dog my cats::[美国口语] 我可赌咒；见鬼¦barking dog::狂吠的狗，吠犬¦police dog::警犬¦get the dog::[英国英语]赢，胜¦guide dog::导盲犬¦dog in the manger::自己不能享用也不让他人享用的人¦shepherd dog::牧羊犬（等于sheepdog）¦dog days::三伏天；大热天¦dog training::训狗	I could hear a dog barking .::我听到了狗吠声。¦He’s taken the dog for a walk .::他去遛狗了。¦We used to have a dog when I was young.::我小时候我们养过狗。¦the most popular breed of dog::最受人喜欢的犬种	n::狗；丑女人；卑鄙的人；雄兽；坏蛋::insect, chien¦vt::跟踪；尾随::shadow, tail after¦adj::狗的；雄的；劣等的::jack, dogly¦adv::非常；彻底地::extremely, badly, thoroughly, highly, entirely, greatly, completely	adj::dogged:: 顽强的；顽固的¦adj::doggy:: 像狗的；时髦的；装阔气的¦adj::doglike:: 忠实的，像狗的¦n::doggy:: 小狗；幼犬¦n::doghood:: 狗性¦vt::dogged:: 跟踪；尾随（dog的过去式）					
dogged	'dɔɡɪd	'dɒgɪd	adj::顽强的；顽固的::dogged behaviour shows that you are very determined to continue doing something¦vt::跟踪；尾随（dog的过去式）::	let sleeping dogs lie::[口语]莫惹是非，别惹麻烦，不自找麻烦；别多事[亦作 don't wake a sleeping dog]¦little dog::n. [天]小犬座（等于Canis Minor）¦hot dog::热狗（面包夹熏红肠）¦pet dog::宠物狗；宠物犬¦dog food::狗食；一文不值，分文不值¦rain cats and dogs::下倾盆大雨¦big dog::看门狗；[美俚]大人物¦lazy dog::懒汉，懒家伙¦black dog::沮丧¦wild dog::野狗；大洋洲野犬¦lucky dog::[俚]幸运儿¦dog my cats::[美国口语] 我可赌咒；见鬼¦barking dog::狂吠的狗，吠犬¦police dog::警犬¦get the dog::[英国英语]赢，胜¦guide dog::导盲犬¦dog in the manger::自己不能享用也不让他人享用的人¦shepherd dog::牧羊犬（等于sheepdog）¦dog days::三伏天；大热天¦dog training::训狗	a dogged determination to succeed::不屈不挠的成功决心	adj::顽强的；顽固的::resistant, stubborn	adv::doggedly:: 顽强地；固执地¦n::dog:: 狗；；丑女人；卑鄙的人；（俚）朋友；vt. 跟踪；尾随¦n::doggedness:: 顽强；坚持不懈					
dogma	'dɔɡmə	'dɒgmə	n::教条，教理；武断的意见::a set of firm beliefs held by a group of people who expect other people to accept these beliefs without thinking about them		Their political dogma has blinded them to the real needs of the country.::他们的政治教条使他们对国家的真正需求视而不见。	n::教条，教理；武断的意见::credendum	adj::dogmatic:: 教条的；武断的¦adj::dogmatical:: 教理的；武断的¦adv::dogmatically:: 武断地；教条主义地¦n::dogmatism:: 教条主义；独断，武断¦vi::dogmatize:: 武断；武断地提出¦vt::dogmatize:: 把…作为教条阐述；武断地提出					
dogmatic	dɔɡ'mætɪk	dɒg'mætɪk	adj::教条的；武断的::someone who is dogmatic is completely certain of their beliefs and expects other people to accept them without arguing		Her staff find her bossy and dogmatic.::她的员工认为她爱指挥别人而且自以为是。	adj::教条的；武断的::artificial, arbitrary	adj::dogmatical:: 教理的；武断的¦adv::dogmatically:: 武断地；教条主义地¦n::dogma:: 教条，教理；武断的意见¦n::dogmatism:: 教条主义；独断，武断¦n::dogmatist:: 教条主义者；独断家；独断论者¦vi::dogmatize:: 武断；武断地提出¦vt::dogmatize:: 把…作为教条阐述；武断地提出					
doldrums	'doldrəmz	'dɒldrəmz	n::忧郁；赤道无风带::if you are in the doldrums, you are feeling sad		Fay is in the doldrums today.::今天费伊情绪低落。	n::忧郁；[气象]赤道无风带::hyp, cafard	adj::doleful:: 寂寞的；悲哀的；阴沉的；忧郁的					
dole	dol	dəʊl	n::失业救济金；赈济物；施舍品::money given by the government in Britain to people who are unemployed¦v::发放救济；以小份发给::to distribute, esp in small portions 	dole out::少量发放¦on the dole::领取救济金	The number claiming dole went up by 3,500.::申请领取救济金者增加了3,500人。	n::[劳经]失业救济金；赈济物；施舍品::unemployment benefit, unemployment pension						
doleful	'dolfl	'dəʊlfʊl; -f(ə)l	adj::寂寞的；悲哀的；阴沉的；忧郁的::very sad		a doleful song about lost love::一首关于逝去的爱情的哀歌	adj::寂寞的；悲哀的；阴沉的；忧郁的::lonely, sad, dark, heavy, blue	adv::dolefully:: 悲哀地；寂寞地¦n::doldrums:: 忧郁；赤道无风带¦n::dolefulness:: 悲哀；寂寞					
doll	dɑl	dɒl	n::洋娃娃；玩偶；无头脑的美丽女人::a child’s toy that looks like a small person or baby¦v::把…打扮得花枝招展::	barbie doll::芭比娃娃；没有头脑的人；徒有其表的人¦rag doll::布洋娃娃；碎布制玩偶¦baby doll::婴儿娃娃；小布娃娃	a small wooden doll::一个小木玩偶	n::洋娃娃；玩偶；无头脑的美丽女人::babydoll, Living Doll	n::dolly:: 洋娃娃；手推车；移动式摄影车；洗衣搅棒¦vi::dolly:: 移动摄影车¦vt::dolly:: 用移动车移动					
dollar	'dɑlɚ	'dɒlə	n::美元::the standard unit of money in the US, Canada, Australia, and some other countries, divided into 100  cent s  : symbol $	us dollar::美元¦hong kong dollar::港元¦dollar bill::美元钞票¦australian dollar::澳币¦silver dollar::银元¦american dollar::美元¦gold dollar::金元¦dollar depreciation::美元贬值¦dollar sign::美元符；货币符号¦new zealand dollar::新西兰元¦dollar standard::美元本位制¦half dollar::半元银币（美元）¦dollar loan::美元借款	It cost three dollars.::它要三美元。¦a ten-dollar bill::一张十元钞票¦You can pay in dollars or euros at the airport.::在机场你可以使用美元或欧元。	n::美元::peso						
dollop	'dɑləp	'dɒləp	n::团，块::a small amount of soft food, usually dropped from a spoon¦vt::厚厚地涂抹::¦vi::啪地落下；噗通一声坠落::		She put a dollop if ice-cream in each bowl.::她在每个碗里放了一团冰淇淋。¦It is a sweet soup made of beets, onion, a bit of sugar, and lemon juice. Cold borscht is often garnished with a dollop of sour cream at the center of the bowl.::它是用甜菜、洋葱、少许糖和柠檬汁做成的一种甜汤，通常会在碗中间放一块酸奶油作装饰。	n::团，块::mass, piece, block						
dolphin	'dɑlfɪn	'dɒlfɪn	n::海豚::a very intelligent sea animal like a fish with a long grey pointed nose		By hunting or gathering away from the group, both chimpanzee and dolphin moms ensure that what they find goes to their young.::黑猩猩和海豚妈妈们远离群体打猎和收集食物，并保证他们所找到的食物都给孩子们。¦Daniel: Yes, like a dolphin.::丹尼尔: 嗯，像海豚一样。	n::[脊椎]海豚::sea hog, porpoise						
domain	do'men	də(ʊ)'meɪn	n::领域；域名；产业；地产::an area of activity, interest, or knowledge, especially one that a particular person, organization etc deals with	domain name::网域名称¦time domain::时域，时间域¦frequency domain::[化]频域；频率范围¦public domain::公共域；公有土地¦domain knowledge::领域知识¦spatial domain::空间域¦domain decomposition::域分解；区域分解¦domain model::域模型；领域模型¦domain name system::［计］域名系统¦domain controller::域控制器¦domain name service::域名服务¦top-level domain::一级域名¦domain theory::领域理论；畴理论¦eminent domain::[律]土地征用权；国家最高支配权¦single domain::单域；单畴；单一网域¦domain wall::畴壁¦magnetic domain::磁畴；磁场范围¦complex domain::复数域¦digital domain::数字领域¦cognitive domain::认知领域	Looking after the house was viewed as a woman’s domain.::料理家务被认为是女性的份内之事。	n::领域；域名；产业；地产::province, territory, world, industry, kingdom, universe, field						
dome	dom	dəʊm	n::圆屋顶::a round roof on a building¦vi::成圆顶状::¦vt::加圆屋顶于…上::	dome structure::穹状构造；穹隆构造；穹窿构造¦geodesic dome::网格状球顶¦dome light::穹顶天窗孔；座舱顶灯	...the dome of the Capitol.::…国会大厦的穹顶。	n::[建]圆屋顶::cupola	adj::domed:: 半球形的；有穹顶的¦n::doming:: 凸起；[矿业] 成拱作用¦v::domed:: 在…上加穹顶；隆起成穹顶状（dome的过去分词）¦v::doming:: 在…上加穹顶（dome的ing形式）					
